task,model,macro_f1,accuracy,ci95_lower,ci95_upper
coarse,DropCascade,0.32649451937506957,0.5019762736600035,0.30143016040562404,0.35169905769219667
coarse,Flat FT-style Transformer,0.3229217642634949,0.5067911949407394,0.3017340633362067,0.34495465900229105
coarse,FT-style Transformer + HCE,0.3333485393439262,0.5030044887670263,0.31211886332384803,0.35449762177559474
coarse,XGBoost,0.32204425863573916,0.5166117548204493,0.30025382312839805,0.34453494899655474
coarse,Linear SVM,0.31063138363461346,0.412665288342473,0.2957612270873408,0.3255852837687256
coarse,Logistic Regression,0.2994478031215871,0.3478573323898815,0.28336472712537186,0.315093857710206
coarse,Random Forest,0.25035691811651956,0.5000912126304617,0.22841453288953528,0.2716954453017297
coarse,Reference Correlation,0.17155078475040933,0.2093937953299133,0.15048364348370497,0.1892387775113285
fine,DropCascade,0.15219459584616504,0.30525274190695206,0.12899155709746024,0.1658352665282324
fine,Flat FT-style Transformer,0.14672121904248303,0.31508159384397666,0.12118894578490247,0.16131062617329336
fine,FT-style Transformer + HCE,0.15068132142367113,0.30638598973996106,0.12847091879295897,0.1668442573089781
fine,XGBoost,0.14344618335716552,0.322842959490536,0.12833760866395125,0.1584044768659178
fine,Linear SVM,0.11058898725707957,0.17935167167875465,0.09333135722949086,0.1261154527089546
fine,Logistic Regression,0.13231599895559526,0.1664658146117106,0.11213736787784939,0.146362236120497
fine,Random Forest,0.09189437526390044,0.31889041217052894,0.08144146635152603,0.09951530187142578
fine,Reference Correlation,0.0724604946615852,0.09175437820626216,0.05462991408739592,0.0827102582362003
