task,comparison,point_difference,ci95_lower,ci95_upper,direction
coarse,DropCascade - Flat FT-style Transformer,0.003572755111574677,-0.007843770430831306,0.014605707296222393,not_significant
coarse,DropCascade - FT-style Transformer + HCE,-0.0068540199688566505,-0.01538386358734444,0.002628124188641807,not_significant
coarse,DropCascade - XGBoost,0.004450260739330414,-0.0036753030736471916,0.012062206375137904,not_significant
coarse,DropCascade - Linear SVM,0.015863135740456114,-0.005731588073860122,0.03561887990047188,not_significant
coarse,DropCascade - Logistic Regression,0.027046716253482483,0.0021953592864456875,0.051941075233202925,dropcascade_better
coarse,DropCascade - Random Forest,0.07613760125855001,0.05661613204436941,0.0971866603581091,dropcascade_better
coarse,DropCascade - Reference Correlation,0.15494373462466024,0.12308135463422577,0.18966917756805984,dropcascade_better
fine,DropCascade - Flat FT-style Transformer,0.005473376803682012,-0.002102477175643039,0.012499442888411217,not_significant
fine,DropCascade - FT-style Transformer + HCE,0.0015132744224939099,-0.008342590717089374,0.004657854992829686,not_significant
fine,DropCascade - XGBoost,0.008748412488999519,-0.0117567444170196,0.01611063204230039,not_significant
fine,DropCascade - Linear SVM,0.04160560858908548,0.013895942794435685,0.0627004778029045,dropcascade_better
fine,DropCascade - Logistic Regression,0.019878596890569783,-0.004797276198062403,0.04111206693126549,not_significant
fine,DropCascade - Random Forest,0.0603002205822646,0.04212785305491892,0.07172276549692781,dropcascade_better
fine,DropCascade - Reference Correlation,0.07973410118457984,0.059426169800676214,0.09916343866804668,dropcascade_better
