model,task,fold,stage,seed,patient_count,cell_count,validation_patients,validation_cells,test_patients,test_cells,preprocessing,selection,refit,sampling,supervision,ci_type,bootstrap_seed,bootstrap_replicates,prediction_metric,artifact_source,config_source,log_source,checkpoint_source,manifest_source,details
logistic_regression,coarse,0,final_fit,unavailable / not applicable; see details,32,294812,0,0,8,66980,"provided apt_expression, train-only mean/std; source evidence, original scaler unavailable",fixed recipe in surviving source; original search history unavailable,no separate selection stage in surviving source,all fit cells; LR class_weight=balanced,coarse labels only,P,42,2000,subject-normalized pooled fixed-class Macro-F1,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/coarse/logistic_regression/pooled_oof_predictions.csv,unavailable,unavailable,unavailable,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/fold_assignment.json,"{""input_features_status"": ""current keyed matrix and surviving source; original estimator feature snapshot unavailable"", ""seed_status"": ""unavailable original CLI; source default 42, LR lbfgs has no RNG seed"", ""test"": {""cell_count"": 66980, ""patient_count"": 8}, ""validation"": {""cell_count"": 0, ""patient_count"": 0}}"
logistic_regression,coarse,1,final_fit,unavailable / not applicable; see details,32,293411,0,0,8,68381,"provided apt_expression, train-only mean/std; source evidence, original scaler unavailable",fixed recipe in surviving source; original search history unavailable,no separate selection stage in surviving source,all fit cells; LR class_weight=balanced,coarse labels only,P,42,2000,subject-normalized pooled fixed-class Macro-F1,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/coarse/logistic_regression/pooled_oof_predictions.csv,unavailable,unavailable,unavailable,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/fold_assignment.json,"{""input_features_status"": ""current keyed matrix and surviving source; original estimator feature snapshot unavailable"", ""seed_status"": ""unavailable original CLI; source default 42, LR lbfgs has no RNG seed"", ""test"": {""cell_count"": 68381, ""patient_count"": 8}, ""validation"": {""cell_count"": 0, ""patient_count"": 0}}"
logistic_regression,coarse,2,final_fit,unavailable / not applicable; see details,32,275553,0,0,8,86239,"provided apt_expression, train-only mean/std; source evidence, original scaler unavailable",fixed recipe in surviving source; original search history unavailable,no separate selection stage in surviving source,all fit cells; LR class_weight=balanced,coarse labels only,P,42,2000,subject-normalized pooled fixed-class Macro-F1,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/coarse/logistic_regression/pooled_oof_predictions.csv,unavailable,unavailable,unavailable,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/fold_assignment.json,"{""input_features_status"": ""current keyed matrix and surviving source; original estimator feature snapshot unavailable"", ""seed_status"": ""unavailable original CLI; source default 42, LR lbfgs has no RNG seed"", ""test"": {""cell_count"": 86239, ""patient_count"": 8}, ""validation"": {""cell_count"": 0, ""patient_count"": 0}}"
logistic_regression,coarse,3,final_fit,unavailable / not applicable; see details,32,292943,0,0,8,68849,"provided apt_expression, train-only mean/std; source evidence, original scaler unavailable",fixed recipe in surviving source; original search history unavailable,no separate selection stage in surviving source,all fit cells; LR class_weight=balanced,coarse labels only,P,42,2000,subject-normalized pooled fixed-class Macro-F1,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/coarse/logistic_regression/pooled_oof_predictions.csv,unavailable,unavailable,unavailable,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/fold_assignment.json,"{""input_features_status"": ""current keyed matrix and surviving source; original estimator feature snapshot unavailable"", ""seed_status"": ""unavailable original CLI; source default 42, LR lbfgs has no RNG seed"", ""test"": {""cell_count"": 68849, ""patient_count"": 8}, ""validation"": {""cell_count"": 0, ""patient_count"": 0}}"
logistic_regression,coarse,4,final_fit,unavailable / not applicable; see details,32,290449,0,0,8,71343,"provided apt_expression, train-only mean/std; source evidence, original scaler unavailable",fixed recipe in surviving source; original search history unavailable,no separate selection stage in surviving source,all fit cells; LR class_weight=balanced,coarse labels only,P,42,2000,subject-normalized pooled fixed-class Macro-F1,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/coarse/logistic_regression/pooled_oof_predictions.csv,unavailable,unavailable,unavailable,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/fold_assignment.json,"{""input_features_status"": ""current keyed matrix and surviving source; original estimator feature snapshot unavailable"", ""seed_status"": ""unavailable original CLI; source default 42, LR lbfgs has no RNG seed"", ""test"": {""cell_count"": 71343, ""patient_count"": 8}, ""validation"": {""cell_count"": 0, ""patient_count"": 0}}"
logistic_regression,fine,0,final_fit,unavailable / not applicable; see details,32,294812,0,0,8,66980,"provided apt_expression, train-only mean/std; source evidence, original scaler unavailable",fixed recipe in surviving source; original search history unavailable,no separate selection stage in surviving source,all fit cells; LR class_weight=balanced,fine labels only,P,42,2000,subject-normalized pooled fixed-class Macro-F1,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/fine/logistic_regression/pooled_oof_predictions.csv,unavailable,unavailable,unavailable,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/fold_assignment.json,"{""input_features_status"": ""current keyed matrix and surviving source; original estimator feature snapshot unavailable"", ""seed_status"": ""unavailable original CLI; source default 42, LR lbfgs has no RNG seed"", ""test"": {""cell_count"": 66980, ""patient_count"": 8}, ""validation"": {""cell_count"": 0, ""patient_count"": 0}}"
logistic_regression,fine,1,final_fit,unavailable / not applicable; see details,32,293411,0,0,8,68381,"provided apt_expression, train-only mean/std; source evidence, original scaler unavailable",fixed recipe in surviving source; original search history unavailable,no separate selection stage in surviving source,all fit cells; LR class_weight=balanced,fine labels only,P,42,2000,subject-normalized pooled fixed-class Macro-F1,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/fine/logistic_regression/pooled_oof_predictions.csv,unavailable,unavailable,unavailable,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/fold_assignment.json,"{""input_features_status"": ""current keyed matrix and surviving source; original estimator feature snapshot unavailable"", ""seed_status"": ""unavailable original CLI; source default 42, LR lbfgs has no RNG seed"", ""test"": {""cell_count"": 68381, ""patient_count"": 8}, ""validation"": {""cell_count"": 0, ""patient_count"": 0}}"
logistic_regression,fine,2,final_fit,unavailable / not applicable; see details,32,275553,0,0,8,86239,"provided apt_expression, train-only mean/std; source evidence, original scaler unavailable",fixed recipe in surviving source; original search history unavailable,no separate selection stage in surviving source,all fit cells; LR class_weight=balanced,fine labels only,P,42,2000,subject-normalized pooled fixed-class Macro-F1,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/fine/logistic_regression/pooled_oof_predictions.csv,unavailable,unavailable,unavailable,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/fold_assignment.json,"{""input_features_status"": ""current keyed matrix and surviving source; original estimator feature snapshot unavailable"", ""seed_status"": ""unavailable original CLI; source default 42, LR lbfgs has no RNG seed"", ""test"": {""cell_count"": 86239, ""patient_count"": 8}, ""validation"": {""cell_count"": 0, ""patient_count"": 0}}"
logistic_regression,fine,3,final_fit,unavailable / not applicable; see details,32,292943,0,0,8,68849,"provided apt_expression, train-only mean/std; source evidence, original scaler unavailable",fixed recipe in surviving source; original search history unavailable,no separate selection stage in surviving source,all fit cells; LR class_weight=balanced,fine labels only,P,42,2000,subject-normalized pooled fixed-class Macro-F1,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/fine/logistic_regression/pooled_oof_predictions.csv,unavailable,unavailable,unavailable,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/fold_assignment.json,"{""input_features_status"": ""current keyed matrix and surviving source; original estimator feature snapshot unavailable"", ""seed_status"": ""unavailable original CLI; source default 42, LR lbfgs has no RNG seed"", ""test"": {""cell_count"": 68849, ""patient_count"": 8}, ""validation"": {""cell_count"": 0, ""patient_count"": 0}}"
logistic_regression,fine,4,final_fit,unavailable / not applicable; see details,32,290449,0,0,8,71343,"provided apt_expression, train-only mean/std; source evidence, original scaler unavailable",fixed recipe in surviving source; original search history unavailable,no separate selection stage in surviving source,all fit cells; LR class_weight=balanced,fine labels only,P,42,2000,subject-normalized pooled fixed-class Macro-F1,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/fine/logistic_regression/pooled_oof_predictions.csv,unavailable,unavailable,unavailable,/home/mayiling/projs/apt_agent/cell_JEPA/outputs/classical_baselines_kfold5/fold_assignment.json,"{""input_features_status"": ""current keyed matrix and surviving source; original estimator feature snapshot unavailable"", ""seed_status"": ""unavailable original CLI; source default 42, LR lbfgs has no RNG seed"", ""test"": {""cell_count"": 71343, ""patient_count"": 8}, ""validation"": {""cell_count"": 0, ""patient_count"": 0}}"
