subtype,lineage,cell_count,patient_count,mean_cells_per_patient,regime,dropcascade_f1,xgboost_f1,dropcascade_ci_lower,dropcascade_ci_upper,xgboost_ci_lower,xgboost_ci_upper
Erythrocyte,Other,65,6,10.833333333333334,Tail,0.25287356321839083,0.13333333333333333,0.0,0.39463360274965753,0.0,0.5454545454545454
Atypical Memory B,B,781,34,22.970588235294116,Tail,0.004968944099378882,0.005031446540880503,0.0,0.013918673202126629,0.0,0.01403632320237212
CD4 Monocyte-4,Myeloid,1405,35,40.142857142857146,Tail,0.027219701879455604,0.014445173998686802,0.006116052243128609,0.05294610296948966,0.0,0.03292753998118531
platelet,Other,1574,38,41.421052631578945,Tail,0.07783882783882784,0.06253489670575098,0.016165282091258892,0.1249521119842829,0.015325946460239732,0.10612198227137526
Tcm,T,2121,36,58.916666666666664,Tail,0.0,0.0044069041498347415,0.0,0.0,0.0,0.01642738600883238
Memory B-2,B,2130,33,64.54545454545455,Tail,0.01735357917570499,0.01079136690647482,0.004282047346288695,0.033425891603872125,0.0,0.02356748094792694
Plasma,B,2173,40,54.325,Tail,0.6113207547169811,0.5992448759439051,0.5220648753497688,0.6842200304131114,0.49631051220820527,0.6852717330853663
pDC,Myeloid,2615,40,65.375,Mid,0.02911931818181818,0.019012797074954298,0.009739977708184796,0.0605801217686982,0.004629362329997434,0.03977639286684062
CD14 Monocyte-3,Myeloid,2977,32,93.03125,Mid,0.2579800294647242,0.1768516897215899,0.17039718004843796,0.3058192649322331,0.10334563515331287,0.2108522872023414
CD8 + CTL-3,T,3244,27,120.14814814814815,Mid,0.01999487310945911,0.02264946010007901,0.0040027181331529155,0.035048971810117485,0.007971712466231623,0.04304573575833553
GCB,B,3283,31,105.90322580645162,Mid,0.03905979951607328,0.047127061808954145,0.007096370816051334,0.07105938006085098,0.0013741239634462573,0.07299118868084384
Cycling T,T,3667,40,91.675,Mid,0.028021748222501044,0.011730205278592375,0.01501082606808991,0.04328004868060115,0.0028276368883229422,0.022235394655027024
CD14 Monocyte-2,Myeloid,3931,40,98.275,Mid,0.07523039307880383,0.07772350817583351,0.046489138515354696,0.10228557319243584,0.05603882721369194,0.09682467200923478
CD8 + CTL-2,T,4049,33,122.6969696969697,Mid,0.069335014182162,0.07803065490013934,0.017005700618676244,0.11566130904315457,0.01510804562040492,0.11317827974676278
CD16 Monocyte-2,Myeloid,5142,40,128.55,Mid,0.11063075047112293,0.11711930164888458,0.06396398866183414,0.1614952699299282,0.06266033531134202,0.1643627953006966
CD8 + CTL-1,T,7303,40,182.575,Mid,0.009119696010132995,0.0021647950209714517,0.0,0.024063051733504964,0.0006247567581815824,0.004254309285189016
cDC2,Myeloid,7376,40,184.4,Mid,0.1321282547880353,0.1252375051631557,0.09912763597451155,0.18140275013323665,0.07921449828223974,0.16729806137762007
CD8 Tem-2,T,10548,40,263.7,Mid,0.019247003207833867,0.017386676128803336,0.005152949152187692,0.03755569677411269,0.007945579389221837,0.029510631720139673
CD16 Monocyte-1,Myeloid,14678,40,366.95,Mid,0.15229321049469258,0.11807455923915482,0.11072369156118816,0.19828336953423573,0.09029494148626836,0.15037891324069655
CD4 + Tcm-2,T,16861,39,432.3333333333333,Mid,0.1883805179122501,0.18792789022093337,0.11113608428131173,0.23563549200322098,0.136407355385264,0.21999306281940503
Naive T,T,17960,40,449.0,Head,0.1308964052783255,0.14888412178691054,0.06749960053622055,0.18266559251142736,0.0733672643679719,0.19909969813126455
Memory B-1,B,23722,40,593.05,Head,0.03401287167871139,0.031880429980857015,0.019657055627660406,0.04837419671452515,0.016513842848051248,0.04707296910002059
CD8 Tem-1,T,26714,40,667.85,Head,0.1869522181229191,0.16193881264852597,0.1276911783052156,0.25007244184384814,0.1073739280709088,0.22055845279137345
CD14 Monocyte-1,Myeloid,29871,40,746.775,Head,0.4374705117023862,0.4508388634128095,0.3779451534715075,0.49530505103379935,0.3924543700246483,0.5072987256175271
CD56 NK,NK,38442,40,961.05,Head,0.397776738870708,0.4369606859436286,0.3200541163311091,0.4360959197875896,0.3730994998876985,0.48011967289329843
CD16 NK,NK,58507,40,1462.675,Head,0.38299647533586473,0.3763751750222756,0.32600459091779044,0.4338294923850589,0.3168696352423338,0.4293482671291009
CD4 + Tcm-1,T,70653,40,1766.325,Head,0.41703288728919335,0.4353447597875497,0.36832318195429437,0.4601984429483527,0.3932469406094642,0.4729375438191748
