comparison,metric,estimate,ci95_low,ci95_high
parent-plain,fine_sb_macro_f1,-4.815173120564786e-05,-0.005801828195842546,0.005576263942245492
parent-plain,cross_lineage_error_rate,0.005417539014422379,-0.002816041966466505,0.01409645853385303
parent-plain,hierarchy_gap,6.742549099286732e-05,-0.006828868482691077,0.00493505770450604
parent_cons-plain,fine_sb_macro_f1,0.0029911563758894533,-0.002644605090101399,0.008183611357153868
parent_cons-plain,cross_lineage_error_rate,0.003807228063800072,-0.00376090011768439,0.011718239796824431
parent_cons-plain,hierarchy_gap,-0.0016341123385064105,-0.00821583749165416,0.003566019904183778
kd-plain,fine_sb_macro_f1,0.004022771365571137,-0.0018158870981066313,0.008702265820756162
kd-plain,cross_lineage_error_rate,0.001074251928162795,-0.005407395971437764,0.0067820677410973
kd-plain,hierarchy_gap,0.0014381114272360718,-0.0061796844017512715,0.0076429270701523205
parent_kd-plain,fine_sb_macro_f1,0.002952705010764528,-0.001246322612081625,0.0079050490258459
parent_kd-plain,cross_lineage_error_rate,0.0015688566405622772,-0.007569376864216988,0.012146054551038753
parent_kd-plain,hierarchy_gap,-0.005986525812943205,-0.012812116099669004,0.0020018313703765245
full-plain,fine_sb_macro_f1,0.0015181832355238012,-0.0024531615700311695,0.006000239042957265
full-plain,cross_lineage_error_rate,0.0044592392001003844,-0.0005176843951314665,0.009722223619022918
full-plain,hierarchy_gap,-0.007745049216458466,-0.016987282045457956,0.0005183490897084538
