condition,seed,fine_sb_macro_f1,coarse_sb_macro_f1,cross_lineage_fraction_of_errors,within_lineage_fraction_of_errors,cross_lineage_error_rate,fine_outside_parent_given_coarse_correct,oracle_fine_sb_macro_f1,hierarchy_gap,correct_rate,within_lineage_error_rate
plain,17,0.13673633320608028,0.33940964444557,0.7465075355115298,0.2534924644884702,0.4918356415136452,0.1724800682251615,0.37992763717067796,0.24319130396459768,0.3410764305419858,0.16708792794436894
plain,29,0.13699135268089194,0.3309391976244738,0.7407503765719705,0.25924962342802943,0.4892530773787526,0.17460668436049162,0.3777280929783282,0.24073674029743627,0.34049960439592486,0.1702473182253225
plain,43,0.13430376583174827,0.3341265628563507,0.7440595852853893,0.25594041471461076,0.49167162730533426,0.17961736744817014,0.37742623082246735,0.24312246499071907,0.3396925746380995,0.1686357980565662
parent,17,0.1328900238101249,0.33946818924266176,0.7479462257073105,0.2520537742926895,0.4991017138380062,0.18237711449014501,0.3742101071167311,0.24132008330660618,0.3330314308736762,0.16786685528831752
parent,29,0.13541841383139322,0.33107419578304925,0.7492482632814239,0.2507517367185761,0.4978970830792269,0.18702277171967607,0.3802920779655943,0.24487366413420106,0.336556677369143,0.16554623955163
parent,43,0.13957855888358536,0.3320621815167158,0.7429905445503515,0.25700945544964854,0.49201416632376593,0.16673206004008922,0.3806375971685098,0.24105903828492445,0.3374196065066389,0.17056622716959513
parent_cons,17,0.13950808476375753,0.3374634657321128,0.7459049271825966,0.2540950728174033,0.49345317299495817,0.18956520500559665,0.3842917166117224,0.24478363184796487,0.3388362528820762,0.1677105741229657
parent_cons,29,0.13928533574163207,0.33815823869096695,0.7466889751015058,0.2533110248984943,0.4941541676141787,0.17865999104354285,0.37949833886925405,0.24021300312762198,0.33818844449422897,0.1676573878915923
parent_cons,43,0.13821150034099922,0.3356499223036549,0.7455195847459752,0.25448041525402476,0.4965746897799953,0.16707967032873666,0.3753630376026461,0.2371515372616469,0.3343740794761384,0.1690512307438663
kd,17,0.13739089062533424,0.33324123241040404,0.7440254837492388,0.2559745162507612,0.4937489856865941,0.170078791812298,0.38273071818520055,0.2453398275598663,0.3367026567191312,0.16954835759427464
kd,29,0.14163190112623142,0.337398273373802,0.7383663784743403,0.2616336215256598,0.487971811428514,0.1597151243501555,0.37821361755673316,0.23658171643050174,0.33972905360963807,0.17229913496184796
kd,43,0.14107697406386818,0.33511801306277367,0.7476570656361515,0.25234293436384847,0.4942623048671124,0.18717008877489033,0.3905202736079615,0.2494432995440933,0.3387170100649475,0.16702068506794018
parent_kd,17,0.14176621974792042,0.33507040388637094,0.7360558554783221,0.2639441445216778,0.4848317573290452,0.17161481107668256,0.37474466561179975,0.23297844586387934,0.3424650086244073,0.1727032340465474
parent_kd,29,0.13668607818376952,0.32782465241700104,0.7419397123237035,0.25806028767629646,0.4920457965020679,0.1683933753532599,0.3704127257546848,0.2337266475709153,0.33760257922568676,0.1703516242722453
parent_kd,43,0.13843726881932414,0.3342451886499309,0.7539637422972396,0.2460362577027603,0.5005893622883058,0.19512132958357997,0.380823107198453,0.2423858383791289,0.3362045775972611,0.16320606011443317
full,17,0.13585560353651133,0.3417057073347466,0.7479694308318959,0.2520305691681041,0.4956449675299435,0.18680609017339003,0.37197736551941557,0.23612176198290424,0.3374089096686217,0.16694612280143473
full,29,0.13853319319086035,0.333598250209428,0.7437238455647275,0.25627615443527246,0.493978140931252,0.17707426649212832,0.36395297991868913,0.22541978672782878,0.3368750278136289,0.16914683125511915
full,43,0.13819720469792016,0.3341404318244668,0.7455869380668553,0.25441306193314484,0.4965149553368377,0.17531370938055799,0.3804710175905648,0.24227381289264463,0.3346128774462079,0.16887216721695444
