condition,fold,lr,weight_decay,selected_epoch,validation_fine_sb_macro_f1,temperature,lambda_coarse,lambda_parent,lambda_consistency,lambda_kd
plain,0,0.001,1e-05,15,0.1457940921792449,1.0,0.5,0.0,0.0,0.0
plain,1,0.001,0.001,18,0.1380459695568136,1.0,0.5,0.0,0.0,0.0
plain,2,0.001,1e-05,19,0.16026853189187218,1.0,0.5,0.0,0.0,0.0
plain,3,0.001,0.001,26,0.13661775779936694,1.0,0.5,0.0,0.0,0.0
plain,4,0.001,0.001,19,0.1243464901621432,1.0,0.5,0.0,0.0,0.0
parent,0,0.001,1e-05,16,0.14592160490090006,1.0,0.5,0.5,0.0,0.0
parent,1,0.001,0.001,19,0.12917508746154846,1.0,0.5,0.5,0.0,0.0
parent,2,0.001,1e-05,30,0.1556480286021379,1.0,0.5,0.5,0.0,0.0
parent,3,0.001,0.001,12,0.13420335344008605,1.0,0.5,0.5,0.0,0.0
parent,4,0.001,0.001,28,0.12282383894002324,1.0,0.5,0.25,0.0,0.0
parent_cons,0,0.001,1e-05,26,0.14521092563643603,1.0,0.5,0.5,0.1,0.0
parent_cons,1,0.001,0.001,35,0.13303290647376015,1.0,0.5,0.5,0.25,0.0
parent_cons,2,0.001,1e-05,25,0.15830035454218952,1.0,0.5,0.5,0.25,0.0
parent_cons,3,0.001,0.001,12,0.1318509461975064,1.0,0.5,0.5,0.25,0.0
parent_cons,4,0.001,0.001,29,0.126042893630547,1.0,0.5,0.25,0.25,0.0
teacher,0,0.001,1e-05,17,0.3624814894995599,1.0,,0.0,0.0,0.0
teacher,1,0.001,1e-05,23,0.3712283549258713,1.0,,0.0,0.0,0.0
teacher,2,0.001,0.001,24,0.37595991554186425,1.0,,0.0,0.0,0.0
teacher,3,0.001,1e-05,18,0.342076628029017,1.0,,0.0,0.0,0.0
teacher,4,0.001,1e-05,35,0.3304536681679888,1.0,,0.0,0.0,0.0
kd,0,0.001,1e-05,15,0.1455841870626514,1.0,0.5,0.0,0.0,1.0
kd,1,0.001,0.001,19,0.15838553758414406,4.0,0.5,0.0,0.0,0.25
kd,2,0.001,1e-05,29,0.15734776864020658,4.0,0.5,0.0,0.0,0.25
kd,3,0.001,0.001,17,0.13996472455197695,1.0,0.5,0.0,0.0,1.0
kd,4,0.001,0.001,44,0.12319132012352584,2.0,0.5,0.0,0.0,0.5
parent_kd,0,0.001,1e-05,15,0.14433518986354718,1.0,0.5,0.5,0.0,1.0
parent_kd,1,0.001,0.001,27,0.13298944428131537,4.0,0.5,0.5,0.0,0.25
parent_kd,2,0.001,1e-05,22,0.154601405191263,4.0,0.5,0.5,0.0,0.25
parent_kd,3,0.001,0.001,18,0.13742665175656701,1.0,0.5,0.5,0.0,1.0
parent_kd,4,0.001,0.001,19,0.12113551468343363,2.0,0.5,0.25,0.0,0.5
full,0,0.001,1e-05,15,0.14692367879362458,1.0,0.5,0.5,0.1,1.0
full,1,0.001,0.001,16,0.1273881839914284,4.0,0.5,0.5,0.25,0.25
full,2,0.001,1e-05,38,0.1542711951830167,4.0,0.5,0.5,0.25,0.25
full,3,0.001,0.001,27,0.13820269000261087,1.0,0.5,0.5,0.25,1.0
full,4,0.001,0.001,20,0.12086818959664246,2.0,0.5,0.25,0.25,0.5
