mode,seed,truth,prediction,sb_cm_mass,all_cell_fraction,row_fraction,zero_truth_row
ordinary,20260912,Atypical Memory B,Atypical Memory B,0.0,0.0,0.0,False
ordinary,20260912,Atypical Memory B,GCB,0.00020299691941511077,5.074922985377769e-06,0.003801478141577654,False
ordinary,20260912,Atypical Memory B,Memory B-1,0.0008186714974580373,2.0466787436450934e-05,0.015331078972461049,False
ordinary,20260912,Atypical Memory B,Memory B-2,0.0,0.0,0.0,False
ordinary,20260912,Atypical Memory B,Plasma,0.00021937040693210486,5.484260173302622e-06,0.004108100799086881,False
ordinary,20260912,Atypical Memory B,CD14 Monocyte-1,0.023114518558435493,0.0005778629639608873,0.43286044589326267,False
ordinary,20260912,Atypical Memory B,CD14 Monocyte-2,5.5626634032374704e-05,1.3906658508093676e-06,0.0010417075981886603,False
ordinary,20260912,Atypical Memory B,CD14 Monocyte-3,0.004597397644258787,0.00011493494110646969,0.08609444272921034,False
ordinary,20260912,Atypical Memory B,CD16 Monocyte-1,0.0018847773774438809,4.711943443609702e-05,0.03529580657054849,False
ordinary,20260912,Atypical Memory B,CD16 Monocyte-2,0.0020506798160648014,5.126699540162004e-05,0.03840262462408842,False
ordinary,20260912,Atypical Memory B,CD4 Monocyte-4,0.0,0.0,0.0,False
ordinary,20260912,Atypical Memory B,cDC2,0.005044837794046515,0.00012612094485116288,0.09447355485555753,False
ordinary,20260912,Atypical Memory B,pDC,0.0,0.0,0.0,False
ordinary,20260912,Atypical Memory B,CD16 NK,0.0013580613046352947,3.395153261588237e-05,0.025432111873266217,False
ordinary,20260912,Atypical Memory B,CD56 NK,0.0026229963187606995,6.557490796901748e-05,0.049120268425439005,False
ordinary,20260912,Atypical Memory B,Erythrocyte,0.0,0.0,0.0,False
ordinary,20260912,Atypical Memory B,platelet,0.0,0.0,0.0,False
ordinary,20260912,Atypical Memory B,CD4 + Tcm-1,0.006801190259477334,0.00017002975648693335,0.12736437667432585,False
ordinary,20260912,Atypical Memory B,CD4 + Tcm-2,0.0008465324520105494,2.1163311300263735e-05,0.01585282486909843,False
ordinary,20260912,Atypical Memory B,CD8 + CTL-1,0.0,0.0,0.0,False
ordinary,20260912,Atypical Memory B,CD8 + CTL-2,0.0002811546995992797,7.028867489981992e-06,0.005265121500405061,False
ordinary,20260912,Atypical Memory B,CD8 + CTL-3,0.0,0.0,0.0,False
ordinary,20260912,Atypical Memory B,CD8 Tem-1,0.003101900283280555,7.754750708201388e-05,0.05808859640934433,False
ordinary,20260912,Atypical Memory B,CD8 Tem-2,0.0,0.0,0.0,False
ordinary,20260912,Atypical Memory B,Cycling T,0.00014206563432305724,3.551640858076431e-06,0.0026604315233183045,False
ordinary,20260912,Atypical Memory B,Naive T,0.0002566927781734427,6.417319454336068e-06,0.004807028540821029,False
ordinary,20260912,Atypical Memory B,Tcm,0.0,0.0,0.0,False
ordinary,20260912,GCB,Atypical Memory B,0.0,0.0,0.0,False
