seed,mode,subtype,lineage,cell_count,patient_coverage,sb_f1,largest_wrong_destination,wrong_destination_row_fraction,wrong_destination_all_cell_mass
20260912,ordinary,Atypical Memory B,B,781,34,0.0,CD14 Monocyte-1,0.4328604458932627,0.0005778629639608873
20260912,ordinary,GCB,B,3283,31,0.03881206778378061,CD56 NK,0.324106252185345,0.0013912744707825174
20260912,ordinary,Memory B-1,B,23722,40,0.03813556359996003,CD4 + Tcm-1,0.5000724722998597,0.031024548877065145
20260912,ordinary,Memory B-2,B,2130,33,0.0,CD56 NK,0.36963033594646133,0.001150015533659577
20260912,ordinary,Plasma,B,2173,40,0.48822602344862026,CD4 + Tcm-1,0.2543704932691921,0.00209680010644031
20260912,ordinary,CD14 Monocyte-1,Myeloid,29871,40,0.45863874795679654,CD4 + Tcm-1,0.1997190523154088,0.018226845051163974
20260912,ordinary,CD14 Monocyte-2,Myeloid,3931,40,0.1150266991732805,CD14 Monocyte-1,0.4975105276233767,0.007281025805833209
20260912,ordinary,CD14 Monocyte-3,Myeloid,2977,32,0.2596860531846241,CD14 Monocyte-1,0.39821445484787954,0.0015556233816122478
20260912,ordinary,CD16 Monocyte-1,Myeloid,14678,40,0.14663152783963068,CD4 + Tcm-1,0.40477362764680197,0.02042468538722554
20260912,ordinary,CD16 Monocyte-2,Myeloid,5142,40,0.08029114433693708,CD14 Monocyte-1,0.35715482235380486,0.004420055686368312
20260912,ordinary,CD4 Monocyte-4,Myeloid,1405,35,0.005439040688091053,CD14 Monocyte-1,0.5362690034521171,0.0015256605612977787
20260912,ordinary,cDC2,Myeloid,7376,40,0.11646002423286608,CD4 + Tcm-1,0.3792003272047953,0.009225196999651195
20260912,ordinary,pDC,Myeloid,2615,40,0.012181818132692302,CD4 + Tcm-1,0.4797453382459195,0.004066623496814192
20260912,ordinary,CD16 NK,NK,58507,40,0.3952325337958518,CD4 + Tcm-1,0.4119560848688804,0.07855693085251592
20260912,ordinary,CD56 NK,NK,38442,40,0.4287874302898033,CD16 NK,0.08439837285359396,0.005555989959750002
20260912,ordinary,Erythrocyte,Other,65,6,0.02828631635328095,Plasma,0.8158290626160232,0.00011565851957282125
20260912,ordinary,platelet,Other,1574,38,0.03634390195055849,CD56 NK,0.41633626229828413,0.0012263991049064307
20260912,ordinary,CD4 + Tcm-1,T,70653,40,0.43128623512956105,CD16 NK,0.22331734808607315,0.051783115011551084
20260912,ordinary,CD4 + Tcm-2,T,16861,39,0.1703813713670144,CD56 NK,0.4250938634267191,0.012213046867066034
20260912,ordinary,CD8 + CTL-1,T,7303,40,0.0,CD56 NK,0.5488441498275313,0.006276651391920069
20260912,ordinary,CD8 + CTL-2,T,4049,33,0.08098696041001008,CD56 NK,0.4104769372738072,0.0022046821237210043
20260912,ordinary,CD8 + CTL-3,T,3244,27,0.00554850970546291,CD56 NK,0.4965878375943514,0.002589974958658837
20260912,ordinary,CD8 Tem-1,T,26714,40,0.21319991632758972,CD4 + Tcm-1,0.4260075821061341,0.041649823852329
