subtype,lineage,cell_count,patient_coverage,ordinary_sb_f1,oracle_sb_f1,ordinary_seed_min,ordinary_seed_max,oracle_seed_min,oracle_seed_max,largest_oracle_error,oracle_error_row_fraction
Atypical Memory B,B,781,34,0.0013053747265933339,0.3467634767810576,0.0,0.0022404549169798803,0.32513736465843107,0.36158004933027704,Memory B-1,0.48074721443599816
GCB,B,3283,31,0.05048643172194714,0.40534595310195765,0.03881206778378061,0.06150989289100026,0.3889404509972966,0.42701439952265535,Memory B-1,0.46958622813159817
Memory B-1,B,23722,40,0.045823082334070085,0.9054860689622877,0.03813556359996003,0.05779122238595511,0.9039516230787068,0.9080210250932155,GCB,0.03419460851335991
Memory B-2,B,2130,33,0.0014685125323129755,0.08364725006650174,0.0,0.003364108037607239,0.07128936298144063,0.10029575748482185,Memory B-1,0.7452747314651441
Plasma,B,2173,40,0.47563441502412546,0.6925393675654169,0.46529179284966216,0.48822602344862026,0.6851465751539378,0.6982428317600416,Memory B-1,0.3564625528248205
CD14 Monocyte-1,Myeloid,29871,40,0.4575011024482971,0.6098384687526585,0.45551148941992337,0.45863874795679654,0.6072792065494526,0.6141304720681798,CD16 Monocyte-1,0.20265952597504236
CD14 Monocyte-2,Myeloid,3931,40,0.10719237414094702,0.2106672314263109,0.10142849840032678,0.1150266991732805,0.20469375723079508,0.21892518018344928,CD14 Monocyte-1,0.6134271265918921
CD14 Monocyte-3,Myeloid,2977,32,0.2482668477907722,0.3413301497834966,0.2324782336943034,0.2596860531846241,0.3297595447128222,0.3602260500401736,CD14 Monocyte-1,0.46503223717711156
CD16 Monocyte-1,Myeloid,14678,40,0.14827520939330993,0.4248506838910066,0.14657843159607573,0.15161566874422341,0.4175949592927583,0.4320917748243918,CD14 Monocyte-1,0.3938122486587487
CD16 Monocyte-2,Myeloid,5142,40,0.089900745097155,0.1925150313284031,0.08029114433693708,0.09715108647654698,0.18750715185119424,0.1966121654036383,CD14 Monocyte-1,0.49527304972010044
CD4 Monocyte-4,Myeloid,1405,35,0.0062111232351363885,0.007826980253165474,0.0038275578933213692,0.009366771123996741,0.0038239697836984564,0.012857278388501333,CD14 Monocyte-1,0.6072359544446246
cDC2,Myeloid,7376,40,0.12256259942172056,0.19206049663344918,0.11646002423286608,0.12799127647183098,0.17519750673350515,0.20483241967213348,CD16 Monocyte-1,0.4040115363348622
pDC,Myeloid,2615,40,0.012317393210263426,0.12486951418669816,0.010046444895195966,0.014723916602902004,0.12061909415051289,0.13102715578270968,CD16 Monocyte-1,0.46433379963838584
CD16 NK,NK,58507,40,0.39298125478600593,0.9386329338615867,0.3894776290645674,0.3952325337958518,0.9384258032888436,0.9389566338138029,CD56 NK,0.05059879789616488
CD56 NK,NK,38442,40,0.42566116887870836,0.8140061506491324,0.4225062517562744,0.4287874302898033,0.8119011715104181,0.8164675930476931,CD16 NK,0.21303616652177662
Erythrocyte,Other,65,6,0.045783988261175725,0.8164048477181911,0.02828631635328095,0.0655033123380809,0.7543449910820357,0.8978722284356229,platelet,0.30042051424516975
platelet,Other,1574,38,0.0509375417851882,0.9926538510333386,0.03634390195055849,0.06346582521956703,0.9905980875839326,0.9955099906522313,Erythrocyte,0.00034707255660855935
CD4 + Tcm-1,T,70653,40,0.4288002155882789,0.7211321788244426,0.4269640188189939,0.43128623512956105,0.7202562304283536,0.7226707242562916,CD8 Tem-1,0.11915051446959202
CD4 + Tcm-2,T,16861,39,0.18415099272271832,0.39391571248655904,0.1703813713670144,0.19654234603458048,0.3896416604879608,0.3963300721792856,CD4 + Tcm-1,0.1886995395819879
CD8 + CTL-1,T,7303,40,9.600623773959957e-05,0.036286477623225635,0.0,0.0002880187132187987,0.03371416590683248,0.038899366907077765,CD4 + Tcm-2,0.37770930157754606
CD8 + CTL-2,T,4049,33,0.09987975404999448,0.21592539759701576,0.08098696041001008,0.1226257047139845,0.20389508090138922,0.23850363887508766,CD4 + Tcm-2,0.3481521078912084
CD8 + CTL-3,T,3244,27,0.012508117690894082,0.025967847052014572,0.00554850970546291,0.01601717807960413,0.012207677800869727,0.03621154793191983,CD4 + Tcm-2,0.35389500572553845
CD8 Tem-1,T,26714,40,0.22059984015762157,0.34444338819086684,0.21319991632758972,0.22550079594264014,0.32715565922892503,0.35625907715439975,CD4 + Tcm-1,0.6788763429341855
CD8 Tem-2,T,10548,40,0.0078111327092668095,0.05406327872837808,0.006902006269303715,0.008275846891952671,0.04015265630489323,0.07006557956729018,CD4 + Tcm-1,0.44910962112468045
Cycling T,T,3667,40,0.021654077966305498,0.19192391176329648,0.018345283808660493,0.024889926735610118,0.1791983320876922,0.19995192641594814,CD4 + Tcm-1,0.7227088336087676
Naive T,T,17960,40,0.14371956839001743,0.3079418545298138,0.13646213439374072,0.1499722644890542,0.30158935473963816,0.31413253275715025,CD4 + Tcm-2,0.2926347625848073
Tcm,T,2121,36,0.0049953479697631,0.009670528498276971,0.0036296589171615446,0.007302630565895485,0.007420547866294252,0.012448654862006142,CD4 + Tcm-1,0.5118577041553759
