model,seed,scope,metric,mean,eligible_patients
mlp,17,-1,correct,0.3421447805873261,40
mlp,17,-1,cross,0.49231757319223357,40
mlp,17,-1,within,0.16553764622044037,40
mlp,17,-1,oracle_correct,0.6501964334276126,40
mlp,17,-1,fixed_mass,0.30805165284028657,40
mlp,17,-1,cross_among_errors,0.7482416253635229,40
mlp,17,-1,repair_among_cross,0.6337224336743228,40
mlp,17,-1,fine_cross_given_coarse_correct,0.17791088021426804,40
mlp,17,-1,fine_cross_given_coarse_wrong,0.8509852300592098,40
mlp,17,0,correct,0.07078096612338221,40
mlp,17,0,cross,0.9208379684038637,40
mlp,17,0,within,0.008381065472754223,40
mlp,17,0,oracle_correct,0.8445959816844948,40
mlp,17,0,fixed_mass,0.7738150155611127,40
mlp,17,0,cross_among_errors,0.9905569482084523,40
mlp,17,0,repair_among_cross,0.8403579772836816,40
mlp,17,0,fine_cross_given_coarse_correct,0.0630544044481394,36
mlp,17,0,fine_cross_given_coarse_wrong,0.9712119489612505,40
mlp,17,1,correct,0.26948559306161884,40
mlp,17,1,cross,0.4807696467438042,40
mlp,17,1,within,0.2497447601945769,40
mlp,17,1,oracle_correct,0.46179916572568624,40
mlp,17,1,fixed_mass,0.1923135726640674,40
mlp,17,1,cross_among_errors,0.601071151578068,40
mlp,17,1,repair_among_cross,0.3973965207063065,40
mlp,17,1,fine_cross_given_coarse_correct,0.09454268763755085,40
mlp,17,1,fine_cross_given_coarse_wrong,0.9702933066557529,40
mlp,17,2,correct,0.4128267553963584,40
mlp,17,2,cross,0.5489532614793177,40
mlp,17,2,within,0.038219983124323995,40
mlp,17,2,oracle_correct,0.9122326909620249,40
mlp,17,2,fixed_mass,0.4994059355656666,40
mlp,17,2,cross_among_errors,0.8849869975280751,40
mlp,17,2,repair_among_cross,0.8952987745897849,40
mlp,17,2,fine_cross_given_coarse_correct,0.0025688332690586547,40
mlp,17,2,fine_cross_given_coarse_wrong,0.6707132192744728,40
mlp,17,3,correct,0.014736599937841424,38
mlp,17,3,cross,0.9852634000621586,38
mlp,17,3,within,0.0,38
mlp,17,3,oracle_correct,0.9935004037263735,38
mlp,17,3,fixed_mass,0.9787638037885319,38
mlp,17,3,cross_among_errors,1.0,38
mlp,17,3,repair_among_cross,0.9933017867782429,38
mlp,17,3,fine_cross_given_coarse_correct,0.0,4
mlp,17,3,fine_cross_given_coarse_wrong,0.9941460126068415,38
mlp,17,4,correct,0.34250647053013666,40
mlp,17,4,cross,0.4327330369458065,40
mlp,17,4,within,0.2247604925240569,40
mlp,17,4,oracle_correct,0.5500591063003584,40
mlp,17,4,fixed_mass,0.20755263577022168,40
mlp,17,4,cross_among_errors,0.6063331073354675,40
mlp,17,4,repair_among_cross,0.49970422117771207,40
mlp,17,4,fine_cross_given_coarse_correct,0.28808139750205725,40
mlp,17,4,fine_cross_given_coarse_wrong,0.9113350481313478,40
mlp,29,-1,correct,0.34057654481889765,40
mlp,29,-1,cross,0.4903851504426859,40
mlp,29,-1,within,0.16903830473841647,40
mlp,29,-1,oracle_correct,0.6484066589411972,40
mlp,29,-1,fixed_mass,0.30783011412229955,40
mlp,29,-1,cross_among_errors,0.7426084983059844,40
mlp,29,-1,repair_among_cross,0.6374620003006657,40
mlp,29,-1,fine_cross_given_coarse_correct,0.17251246840264736,40
mlp,29,-1,fine_cross_given_coarse_wrong,0.8521706215795792,40
mlp,29,0,correct,0.0662209533156681,40
mlp,29,0,cross,0.9252013237087973,40
mlp,29,0,within,0.008577722975534758,40
mlp,29,0,oracle_correct,0.8449011485889161,40
mlp,29,0,fixed_mass,0.778680195273248,40
mlp,29,0,cross_among_errors,0.9902656628393182,40
mlp,29,0,repair_among_cross,0.841246946570449,40
mlp,29,0,fine_cross_given_coarse_correct,0.0688483845490793,37
mlp,29,0,fine_cross_given_coarse_wrong,0.9754804235694632,40
mlp,29,1,correct,0.27233072149004417,40
mlp,29,1,cross,0.48095717868573595,40
mlp,29,1,within,0.24671209982421996,40
mlp,29,1,oracle_correct,0.466260687959409,40
mlp,29,1,fixed_mass,0.19392996646936486,40
mlp,29,1,cross_among_errors,0.6015949412921555,40
mlp,29,1,repair_among_cross,0.40089081065603754,40
mlp,29,1,fine_cross_given_coarse_correct,0.11133346856106212,40
mlp,29,1,fine_cross_given_coarse_wrong,0.9740086757593452,40
mlp,29,2,correct,0.39092350836717016,40
mlp,29,2,cross,0.5703994652259579,40
mlp,29,2,within,0.03867702640687194,40
mlp,29,2,oracle_correct,0.9114719754481534,40
mlp,29,2,fixed_mass,0.5205484670809832,40
mlp,29,2,cross_among_errors,0.8845170655653563,40
mlp,29,2,repair_among_cross,0.8952869238805615,40
mlp,29,2,fine_cross_given_coarse_correct,0.0062888738341065325,40
mlp,29,2,fine_cross_given_coarse_wrong,0.6796398084732267,40
mlp,29,3,correct,0.011205485677871677,38
mlp,29,3,cross,0.9887945143221283,38
mlp,29,3,within,0.0,38
mlp,29,3,oracle_correct,0.9911655571760354,38
mlp,29,3,fixed_mass,0.9799600714981637,38
mlp,29,3,cross_among_errors,1.0,38
mlp,29,3,repair_among_cross,0.9909711438109131,38
mlp,29,3,fine_cross_given_coarse_correct,0.029411764705882356,3
mlp,29,3,fine_cross_given_coarse_wrong,0.995951192995635,38
mlp,29,4,correct,0.35467321757022224,40
