model,rank,true_subtype,predicted_subtype,mass,per_seed_mass,true_cells,true_patients
mlp,1,CD8 Tem-1,CD4 + Tcm-1,2.823845778746447,"[2.8197356265332814, 2.791302732936383, 2.8604989767696742]",26714,40
mlp,2,CD4 + Tcm-1,CD8 Tem-1,0.8845171244255563,"[0.8513230686132693, 0.929259995777102, 0.8729683088862974]",70653,40
mlp,3,CD16 Monocyte-1,CD14 Monocyte-1,0.8721600391072736,"[0.8814753135112374, 0.8565852496271352, 0.8784195541834482]",14678,40
mlp,4,CD14 Monocyte-1,CD16 Monocyte-1,0.6980494762888024,"[0.6762609649647833, 0.7519221401002861, 0.6659653238013381]",29871,40
mlp,5,CD56 NK,CD16 NK,0.5655465416427444,"[0.5574642181692318, 0.5638191173739394, 0.5753562893850624]",38442,40
mlp,6,CD8 Tem-2,CD4 + Tcm-1,0.4347108946593652,"[0.4351456783211699, 0.42710330506465843, 0.4418837005922672]",10548,40
mlp,7,Cycling T,CD4 + Tcm-1,0.4021241179593056,"[0.40737186926906466, 0.40188472866622216, 0.39711575594263]",3667,40
mlp,8,cDC2,CD16 Monocyte-1,0.3998499109512637,"[0.40305577908835505, 0.42044714914232817, 0.37604680462310786]",7376,40
mlp,9,cDC2,CD14 Monocyte-1,0.38990316333916825,"[0.39244325627883064, 0.3863731237810548, 0.3908931099576192]",7376,40
mlp,10,CD14 Monocyte-2,CD14 Monocyte-1,0.3860035885313678,"[0.3940215400580971, 0.3848121499190661, 0.37917707561694014]",3931,40
mlp,11,Naive T,CD4 + Tcm-2,0.37695767487449033,"[0.3635365627061265, 0.3520126448430674, 0.4153238170742773]",17960,40
mlp,12,CD16 NK,CD56 NK,0.35338959090247074,"[0.3510492433970397, 0.3542548735865593, 0.35486465572381326]",58507,40
mlp,13,Naive T,CD4 + Tcm-1,0.3038980856064841,"[0.3073713450548554, 0.29452981812929774, 0.3097930936352993]",17960,40
mlp,14,CD16 Monocyte-2,CD14 Monocyte-1,0.2683717291586743,"[0.27270666645269165, 0.2613778603752194, 0.27103066064811193]",5142,40
mlp,15,CD4 + Tcm-2,CD4 + Tcm-1,0.21894198627305242,"[0.22558772399944135, 0.2056261548940705, 0.2256120799256456]",16861,39
mlp,16,CD4 + Tcm-2,Naive T,0.18854362093922106,"[0.1906323550907054, 0.22740510695131683, 0.14759340077564106]",16861,39
mlp,17,CD8 + CTL-1,CD4 + Tcm-2,0.18740681438930729,"[0.18115986413608215, 0.17104798393098053, 0.21001259510085912]",7303,40
mlp,18,CD4 + Tcm-1,CD4 + Tcm-2,0.1827222984153544,"[0.17157416411015233, 0.17104766386390535, 0.20554506727200553]",70653,40
mlp,19,pDC,CD16 Monocyte-1,0.17190962175662863,"[0.16935255996367252, 0.1786632880569219, 0.16771301724929144]",2615,40
mlp,20,CD8 Tem-2,CD4 + Tcm-2,0.15922469569674402,"[0.15414693119213177, 0.14603906252596185, 0.1774880933721385]",10548,40
