model,seed,scope,patient,cells,correct,cross,within,oracle_correct,fixed_mass,cross_among_errors,cross_among_errors_n,repair_among_cross,repair_among_cross_n,fine_cross_given_coarse_correct,fine_cross_given_coarse_correct_n,fine_cross_given_coarse_wrong,fine_cross_given_coarse_wrong_n
mlp,17,-1,CRC11,7469,0.27540500736377027,0.5798634355335386,0.14473155710269112,0.6138706654170571,0.33846565805328693,0.8002586844050259,5412,0.583698914800277,4331,0.1201338199513382,3288,0.9414015785697202,4181
mlp,17,-1,CRC13,5062,0.39470564994073487,0.40023706045041485,0.20505728960885025,0.7105887001185303,0.31588305017779533,0.6612271540469974,3064,0.7892398815399803,2026,0.10136712237412471,2999,0.8347067377605429,2063
mlp,17,-1,CRC16,7478,0.27052687884461085,0.6024338058304359,0.1270393153249532,0.39810109654987963,0.12757421770526878,0.8258478460128322,5455,0.21176470588235294,4505,0.43381221139045667,3898,0.7860335195530727,3580
mlp,17,-1,CRC17,6427,0.2105181266531819,0.490119807063949,0.29936206628286915,0.40718842383693793,0.19667029718375603,0.6208119826566811,5074,0.4012698412698413,3150,0.2232310582341891,3194,0.7537890504175688,3233
mlp,17,-1,CRC22,5203,0.3699788583509514,0.49682875264270615,0.1331923890063425,0.6801845089371517,0.31020565058620025,0.7885906040268457,3278,0.6243713733075436,2585,0.3401360544217687,3528,0.826865671641791,1675
mlp,17,-1,CRC23,6110,0.43224222585924715,0.5129296235679215,0.05482815057283143,0.7977086743044189,0.36546644844517184,0.9034303833957913,3469,0.7125079770261646,3134,0.17304015296367112,3138,0.8718034993270525,2972
mlp,17,-1,CRC24,7254,0.3898538737248415,0.5337744692583403,0.0763716570168183,0.7730907085745795,0.3832368348497381,0.8748305467690918,4426,0.7179752066115702,3872,0.224743549891203,3217,0.7800346792172406,4037
mlp,17,-1,CRC25,7233,0.2978017420157611,0.5152772017143648,0.18692105626987418,0.6059726254666113,0.30817088345085025,0.7338058672967119,5079,0.598068151328146,3727,0.13870431893687707,3612,0.8909141121237227,3621
mlp,17,-1,GC28_P_cDNA,7320,0.41202185792349727,0.39316939890710384,0.19480874316939892,0.6691256830601093,0.257103825136612,0.6686802973977695,4304,0.6539263377345379,2878,0.12284069097888675,4689,0.8749524895477004,2631
mlp,17,-1,GC29_P_cDNA,5117,0.29216337697869843,0.49286691420754347,0.21496970881375807,0.6449091264412742,0.35274574946257575,0.6963003865267808,3622,0.7157018239492466,2522,0.06659012629161883,2613,0.9376996805111821,2504
mlp,17,-1,GC2_P_cDNA,4443,0.2849426063470628,0.5471528246680171,0.1679045689849201,0.5478280441143372,0.26288543776727435,0.7651872836008813,3177,0.4804607157548334,2431,0.2397875816993464,2448,0.9243107769423559,1995
mlp,17,-1,GC30_P_cDNA,7164,0.2868509212730318,0.5978503629257398,0.11529871580122836,0.6515912897822446,0.3647403685092127,0.8383245253474261,5109,0.6100863880457623,4283,0.21773182957393483,3192,0.9033232628398792,3972
mlp,17,-1,GC31_P_cDNA,7103,0.3401379698718851,0.4340419541038998,0.2258200760242151,0.669717020977052,0.32957905110516683,0.657776829528483,4687,0.759325332468375,3083,0.08217168011738811,4089,0.9114134041141341,3014
mlp,17,-1,GC32_P_cDNA,7179,0.2440451316339323,0.5734782003064494,0.18247666805961832,0.6539908065190138,0.4099456748850815,0.7586143357287636,5427,0.7148409035705611,4117,0.06985055230669265,3078,0.9514752499390393,4101
mlp,17,-1,GC36_P_cDNA,7234,0.33135194912911253,0.47954105612385955,0.1891069947470279,0.6874481614597733,0.35609621233066074,0.717180070291503,4837,0.7425771115595272,3469,0.05378281008749357,3886,0.973715651135006,3348
mlp,17,-1,HCC-1,7055,0.42168674698795183,0.4326009922041106,0.14571226080793764,0.6939759036144578,0.27228915662650605,0.7480392156862745,4080,0.6294233289646134,3052,0.11230073756840352,4203,0.9046283309957924,2852
mlp,17,-1,HCC-2-1_1,6913,0.45262548821061765,0.39823520902647186,0.14913930276291046,0.7135831042962535,0.2609576160856358,0.7275369978858351,3784,0.6552851434798401,2753,0.19894082431498963,4343,0.7350194552529183,2570
mlp,17,-1,HCC-2-2,7179,0.4593954589775735,0.38946928541579606,0.15113525560663044,0.7247527510795375,0.26535729210196407,0.7204328781241948,3881,0.6813304721030042,2796,0.1815308195981034,4429,0.7243636363636363,2750
mlp,17,-1,HCC-22,7019,0.46830032768200597,0.3826755948140761,0.14902407750391794,0.7904259866077789,0.3221256589257729,0.7197213290460879,3732,0.8417721518987342,2686,0.07802469135802469,4050,0.7982485685415965,2969
mlp,17,-1,HCC-24,7039,0.4328739877823555,0.4386986787896008,0.12842733342804374,0.7550788464270493,0.32220485864469384,0.7735470941883767,3992,0.7344559585492227,3088,0.12259900403130188,4217,0.9110559886605244,2822
mlp,17,-1,HCC-3-1_2,7198,0.42567379827729923,0.44026118366212835,0.1340650180605724,0.7117254792998055,0.2860516810225063,0.766569908079342,4134,0.6497317765856737,3169,0.2950265572187349,4142,0.637107329842932,3056
mlp,17,-1,HCC-3-2_1,7285,0.4501029512697323,0.4315717227179135,0.11832532601235415,0.7430336307481126,0.29293067947838025,0.7848227658512231,4006,0.6787531806615776,3144,0.11286210892236384,4315,0.8946127946127946,2970
mlp,17,-1,PBMC-1,22144,0.27172145953757226,0.521224710982659,0.20705382947976878,0.5278179190751445,0.25609645953757226,0.7156941774663608,16127,0.49133599029630914,11542,0.32613287250384027,10416,0.6944918144611187,11728
