model,seed,decoding,sb_f1
mlp,17,ordinary,0.13717092646089224
mlp,17,oracle,0.37608644014079085
mlp,29,ordinary,0.13773105720766476
mlp,29,oracle,0.37429039569151573
mlp,43,ordinary,0.1362459869187731
mlp,43,oracle,0.37633708756462775
flat,17,ordinary,0.14062733389858761
flat,17,oracle,0.3609586049226446
flat,29,ordinary,0.1537618962589484
flat,29,oracle,0.37337443589790226
flat,43,ordinary,0.14680664695433304
flat,43,oracle,0.37997146665459874
hce,17,ordinary,0.15111833554881035
hce,17,oracle,0.36825728267696234
hce,29,ordinary,0.14113052796861417
hce,29,oracle,0.3650930501997695
hce,43,ordinary,0.14651706314484464
hce,43,oracle,0.3789201256863844
cascade,17,ordinary,0.14773341690194822
cascade,17,oracle,0.3684166907902301
cascade,29,ordinary,0.1454824879452931
cascade,29,oracle,0.365065672987038
cascade,43,ordinary,0.15137055444045946
cascade,43,oracle,0.3780833718356589
