model,seed,decoding,subtype,parent,cells,patient_coverage,sb_per_class_f1,largest_error_target,largest_error_mass
mlp,17,ordinary,Atypical Memory B,0,781,34,0.0,CD14 Monocyte-1,0.02494635579828943
mlp,17,ordinary,CD14 Monocyte-1,1,29871,40,0.4597685214727664,CD4 + Tcm-1,0.8302618500128084
mlp,17,ordinary,CD14 Monocyte-2,1,3931,40,0.08663942300978757,CD14 Monocyte-1,0.3010597688097528
mlp,17,ordinary,CD14 Monocyte-3,1,2977,32,0.21833159359684326,CD14 Monocyte-1,0.07050857019879832
mlp,17,ordinary,CD16 Monocyte-1,1,14678,40,0.1247998777262943,CD4 + Tcm-1,0.8846282090980957
mlp,17,ordinary,CD16 Monocyte-2,1,5142,40,0.08418746086004651,CD14 Monocyte-1,0.17363505823925734
mlp,17,ordinary,CD16 NK,2,58507,40,0.40881589140138686,CD4 + Tcm-1,3.1450399507226052
mlp,17,ordinary,CD4 + Tcm-1,4,70653,40,0.4325186107772312,CD16 NK,2.2585038795136674
mlp,17,ordinary,CD4 + Tcm-2,4,16861,39,0.18253458884272183,CD56 NK,0.49101887439472963
mlp,17,ordinary,CD4 Monocyte-4,1,1405,35,0.0038817845105346927,CD14 Monocyte-1,0.06083658556154139
mlp,17,ordinary,CD56 NK,2,38442,40,0.43839791278813073,CD16 NK,0.23328849282130681
mlp,17,ordinary,CD8 + CTL-1,4,7303,40,0.0,CD56 NK,0.25499267099399536
mlp,17,ordinary,CD8 + CTL-2,4,4049,33,0.0707489844368122,CD56 NK,0.0830325903466297
mlp,17,ordinary,CD8 + CTL-3,4,3244,27,0.0353823562401942,CD56 NK,0.09628072515890346
mlp,17,ordinary,CD8 Tem-1,4,26714,40,0.2094620963164936,CD4 + Tcm-1,1.7059569539577226
mlp,17,ordinary,CD8 Tem-2,4,10548,40,0.0047087356511089085,CD4 + Tcm-1,0.2524208618805713
mlp,17,ordinary,Cycling T,4,3667,40,0.009740447434331117,CD4 + Tcm-1,0.23624855990453328
mlp,17,ordinary,Erythrocyte,3,65,6,0.04211809636758755,Plasma,0.004301329520593645
mlp,17,ordinary,GCB,0,3283,31,0.03256555428035013,CD56 NK,0.049544961352105475
mlp,17,ordinary,Memory B-1,0,23722,40,0.03964362870254679,CD4 + Tcm-1,1.302877910908169
mlp,17,ordinary,Memory B-2,0,2130,33,0.004988486259171332,CD56 NK,0.037911274526976
mlp,17,ordinary,Naive T,4,17960,40,0.15050109117223762,CD56 NK,0.4382893871140646
mlp,17,ordinary,Plasma,0,2173,40,0.4765182171135899,CD4 + Tcm-1,0.09428540869170143
mlp,17,ordinary,Tcm,4,2121,36,0.005617545986096239,CD56 NK,0.1865255476401604
mlp,17,ordinary,cDC2,1,7376,40,0.1203769739429536,CD4 + Tcm-1,0.39634141701428444
mlp,17,ordinary,pDC,1,2615,40,0.0023912745249168635,CD4 + Tcm-1,0.1789489610587445
mlp,17,ordinary,platelet,3,1574,38,0.05897586102995731,CD56 NK,0.04616931368061069
mlp,17,oracle,Atypical Memory B,0,781,34,0.34652663267866646,Memory B-1,0.02698696280268855
mlp,17,oracle,CD14 Monocyte-1,1,29871,40,0.6228701318862152,CD16 Monocyte-1,0.6762609649647833
mlp,17,oracle,CD14 Monocyte-2,1,3931,40,0.18801598256407495,CD14 Monocyte-1,0.39402154005809703
mlp,17,oracle,CD14 Monocyte-3,1,2977,32,0.3169671122529666,CD14 Monocyte-1,0.08616035506986466
mlp,17,oracle,CD16 Monocyte-1,1,14678,40,0.41837283908066497,CD14 Monocyte-1,0.8814753135112372
mlp,17,oracle,CD16 Monocyte-2,1,5142,40,0.18652039017996647,CD14 Monocyte-1,0.2727066664526916
mlp,17,oracle,CD16 NK,2,58507,40,0.9412414701301463,CD56 NK,0.3510492433970397
mlp,17,oracle,CD4 + Tcm-1,4,70653,40,0.732720474931408,CD8 Tem-1,0.8513230686132695
mlp,17,oracle,CD4 + Tcm-2,4,16861,39,0.40441198946276785,CD4 + Tcm-1,0.2255877239994413
mlp,17,oracle,CD4 Monocyte-4,1,1405,35,0.0038855552325638408,CD14 Monocyte-1,0.07472106767287921
mlp,17,oracle,CD56 NK,2,38442,40,0.8204528697711996,CD16 NK,0.5574642181692318
mlp,17,oracle,CD8 + CTL-1,4,7303,40,0.021843130097969714,CD4 + Tcm-2,0.18115986413608218
mlp,17,oracle,CD8 + CTL-2,4,4049,33,0.18314693796671905,CD4 + Tcm-2,0.09342704478273624
mlp,17,oracle,CD8 + CTL-3,4,3244,27,0.053908411686095975,CD4 + Tcm-2,0.07605080967148378
mlp,17,oracle,CD8 Tem-1,4,26714,40,0.32688707669808525,CD4 + Tcm-1,2.8197356265332822
mlp,17,oracle,CD8 Tem-2,4,10548,40,0.05206310915283396,CD4 + Tcm-1,0.43514567832116974
mlp,17,oracle,Cycling T,4,3667,40,0.1755856297915305,CD4 + Tcm-1,0.4073718692690646
mlp,17,oracle,Erythrocyte,3,65,6,0.7664903996509747,platelet,0.00214699310807382
mlp,17,oracle,GCB,0,3283,31,0.3818563343191144,Memory B-1,0.09030007447554358
mlp,17,oracle,Memory B-1,0,23722,40,0.9096644606975219,GCB,0.06331073168500977
mlp,17,oracle,Memory B-2,0,2130,33,0.0620925372982462,Memory B-1,0.10028203239880279
mlp,17,oracle,Naive T,4,17960,40,0.3111130564509265,CD4 + Tcm-2,0.3635365627061265
mlp,17,oracle,Plasma,0,2173,40,0.6907395113643561,Memory B-1,0.12898393926817364
mlp,17,oracle,Tcm,4,2121,36,0.011575102530646406,CD4 + Tcm-1,0.1643282034952533
mlp,17,oracle,cDC2,1,7376,40,0.17280356853405612,CD16 Monocyte-1,0.40305577908835505
mlp,17,oracle,pDC,1,2615,40,0.06160764136505352,CD16 Monocyte-1,0.16935255996367254
mlp,17,oracle,platelet,3,1574,38,0.9909715280265834,,0.0
mlp,29,ordinary,Atypical Memory B,0,781,34,0.0,CD14 Monocyte-1,0.023556272592250453
mlp,29,ordinary,CD14 Monocyte-1,1,29871,40,0.4609337184800968,CD4 + Tcm-1,0.8411578018412211
mlp,29,ordinary,CD14 Monocyte-2,1,3931,40,0.08952395732845235,CD14 Monocyte-1,0.29435601806141626
mlp,29,ordinary,CD14 Monocyte-3,1,2977,32,0.2562504442202627,CD14 Monocyte-1,0.06347716630512808
mlp,29,ordinary,CD16 Monocyte-1,1,14678,40,0.13693472636992418,CD4 + Tcm-1,0.9061434584296655
mlp,29,ordinary,CD16 Monocyte-2,1,5142,40,0.08881818720340523,CD14 Monocyte-1,0.17328592824261285
mlp,29,ordinary,CD16 NK,2,58507,40,0.39104572889678385,CD4 + Tcm-1,3.365335273801812
mlp,29,ordinary,CD4 + Tcm-1,4,70653,40,0.44020567309184944,CD16 NK,1.9990548012123301
mlp,29,ordinary,CD4 + Tcm-2,4,16861,39,0.17819404830961771,CD56 NK,0.48152676706922426
mlp,29,ordinary,CD4 Monocyte-4,1,1405,35,0.0019488557569471857,CD14 Monocyte-1,0.05984749020973538
mlp,29,ordinary,CD56 NK,2,38442,40,0.4355584694185037,CD16 NK,0.23422852392367224
mlp,29,ordinary,CD8 + CTL-1,4,7303,40,0.0,CD56 NK,0.24832785658843765
mlp,29,ordinary,CD8 + CTL-2,4,4049,33,0.08484350006719144,CD56 NK,0.09349987077858747
mlp,29,ordinary,CD8 + CTL-3,4,3244,27,0.013531087726735551,CD56 NK,0.09800749122620135
mlp,29,ordinary,CD8 Tem-1,4,26714,40,0.21378795082537666,CD4 + Tcm-1,1.7875491938887285
mlp,29,ordinary,CD8 Tem-2,4,10548,40,0.0018774388434498952,CD4 + Tcm-1,0.2540765785747961
mlp,29,ordinary,Cycling T,4,3667,40,0.01295462393248961,CD4 + Tcm-1,0.24617670154666435
mlp,29,ordinary,Erythrocyte,3,65,6,0.04356233609216534,Plasma,0.0036834315084788008
mlp,29,ordinary,GCB,0,3283,31,0.05465875165802433,CD56 NK,0.058439178142616094
mlp,29,ordinary,Memory B-1,0,23722,40,0.029655891292543854,CD4 + Tcm-1,1.3016568215660493
mlp,29,ordinary,Memory B-2,0,2130,33,0.000746483502084109,CD56 NK,0.0435999770842251
mlp,29,ordinary,Naive T,4,17960,40,0.1485500533395212,CD56 NK,0.4317495519149132
mlp,29,ordinary,Plasma,0,2173,40,0.4796390568051256,CD4 + Tcm-1,0.09244451114740654
mlp,29,ordinary,Tcm,4,2121,36,0.003729647150791914,CD56 NK,0.17202691320290014
mlp,29,ordinary,cDC2,1,7376,40,0.10284019296248731,CD4 + Tcm-1,0.40496924318877486
mlp,29,ordinary,pDC,1,2615,40,0.0050842950573719466,CD4 + Tcm-1,0.18745932454194908
mlp,29,ordinary,platelet,3,1574,38,0.04386342627574607,CD56 NK,0.04965297395459902
mlp,29,oracle,Atypical Memory B,0,781,34,0.3415493512458923,Memory B-1,0.02701433157791091
mlp,29,oracle,CD14 Monocyte-1,1,29871,40,0.6171477428173583,CD16 Monocyte-1,0.7519221401002861
mlp,29,oracle,CD14 Monocyte-2,1,3931,40,0.18944293796446995,CD14 Monocyte-1,0.3848121499190662
mlp,29,oracle,CD14 Monocyte-3,1,2977,32,0.3665978356207783,CD14 Monocyte-1,0.07782855485702274
mlp,29,oracle,CD16 Monocyte-1,1,14678,40,0.42363539061015176,CD14 Monocyte-1,0.8565852496271353
mlp,29,oracle,CD16 Monocyte-2,1,5142,40,0.20636496946283767,CD14 Monocyte-1,0.2613778603752193
mlp,29,oracle,CD16 NK,2,58507,40,0.9406352298956873,CD56 NK,0.3542548735865593
mlp,29,oracle,CD4 + Tcm-1,4,70653,40,0.7313770924150687,CD8 Tem-1,0.929259995777102
mlp,29,oracle,CD4 + Tcm-2,4,16861,39,0.40272786290656776,Naive T,0.2274051069513168
mlp,29,oracle,CD4 Monocyte-4,1,1405,35,0.00194962792751796,CD14 Monocyte-1,0.07251402716728496
mlp,29,oracle,CD56 NK,2,38442,40,0.8184504543197824,CD16 NK,0.5638191173739392
mlp,29,oracle,CD8 + CTL-1,4,7303,40,0.02562475274796751,CD4 + Tcm-2,0.17104798393098053
mlp,29,oracle,CD8 + CTL-2,4,4049,33,0.21118933641524706,CD4 + Tcm-2,0.07824873803972868
mlp,29,oracle,CD8 + CTL-3,4,3244,27,0.03282624633619232,CD4 + Tcm-2,0.07748227098136345
mlp,29,oracle,CD8 Tem-1,4,26714,40,0.3281944047410989,CD4 + Tcm-1,2.7913027329363844
mlp,29,oracle,CD8 Tem-2,4,10548,40,0.03188069561346053,CD4 + Tcm-1,0.42710330506465843
mlp,29,oracle,Cycling T,4,3667,40,0.17169075475514511,CD4 + Tcm-1,0.4018847286662222
mlp,29,oracle,Erythrocyte,3,65,6,0.6577208256537087,platelet,0.0028920517994609125
mlp,29,oracle,GCB,0,3283,31,0.40750055767387977,Memory B-1,0.08589638857652743
mlp,29,oracle,Memory B-1,0,23722,40,0.9098273387072869,GCB,0.07113078809090045
mlp,29,oracle,Memory B-2,0,2130,33,0.030145464895143068,Memory B-1,0.09885594479891416
mlp,29,oracle,Naive T,4,17960,40,0.3136168515642952,CD4 + Tcm-2,0.3520126448430674
mlp,29,oracle,Plasma,0,2173,40,0.6997431390677746,Memory B-1,0.12841304639135018
mlp,29,oracle,Tcm,4,2121,36,0.009692042685267447,CD4 + Tcm-1,0.13626260137815663
mlp,29,oracle,cDC2,1,7376,40,0.15477322369153043,CD16 Monocyte-1,0.42044714914232806
mlp,29,oracle,pDC,1,2615,40,0.09366014030859945,CD16 Monocyte-1,0.17866328805692192
mlp,29,oracle,platelet,3,1574,38,0.9878764136282153,,0.0
mlp,43,ordinary,Atypical Memory B,0,781,34,0.0,CD14 Monocyte-1,0.025415329959492087
mlp,43,ordinary,CD14 Monocyte-1,1,29871,40,0.4560093560857273,CD4 + Tcm-1,0.8257808256885452
mlp,43,ordinary,CD14 Monocyte-2,1,3931,40,0.1057446292532346,CD14 Monocyte-1,0.291370603660997
mlp,43,ordinary,CD14 Monocyte-3,1,2977,32,0.23634190908693165,CD14 Monocyte-1,0.07459640196950089
mlp,43,ordinary,CD16 Monocyte-1,1,14678,40,0.12082128171429846,CD4 + Tcm-1,0.8509553036118356
mlp,43,ordinary,CD16 Monocyte-2,1,5142,40,0.08623807115671331,CD14 Monocyte-1,0.18571303553273227
mlp,43,ordinary,CD16 NK,2,58507,40,0.3990291089695351,CD4 + Tcm-1,3.2708412864877414
mlp,43,ordinary,CD4 + Tcm-1,4,70653,40,0.43431692988233583,CD16 NK,2.121577400987455
mlp,43,ordinary,CD4 + Tcm-2,4,16861,39,0.20270414506802134,CD56 NK,0.4567538892673072
mlp,43,ordinary,CD4 Monocyte-4,1,1405,35,0.0011567188271797858,CD14 Monocyte-1,0.06023146703883971
mlp,43,ordinary,CD56 NK,2,38442,40,0.43279102807054715,CD16 NK,0.24937111609283452
mlp,43,ordinary,CD8 + CTL-1,4,7303,40,0.0,CD56 NK,0.24006757514723515
mlp,43,ordinary,CD8 + CTL-2,4,4049,33,0.06227807648773096,CD56 NK,0.08351589973003569
mlp,43,ordinary,CD8 + CTL-3,4,3244,27,0.008211939236928261,CD56 NK,0.09171070521480844
mlp,43,ordinary,CD8 Tem-1,4,26714,40,0.20634113810970764,CD4 + Tcm-1,1.767591270377297
mlp,43,ordinary,CD8 Tem-2,4,10548,40,0.002232175269946706,CD4 + Tcm-1,0.25528361515140124
mlp,43,ordinary,Cycling T,4,3667,40,0.015796477260949068,CD4 + Tcm-1,0.2280209210063145
mlp,43,ordinary,Erythrocyte,3,65,6,0.04418653389335607,Plasma,0.004211554443716458
mlp,43,ordinary,GCB,0,3283,31,0.048397227890211156,CD56 NK,0.049849480829418605
mlp,43,ordinary,Memory B-1,0,23722,40,0.033708834813788356,CD4 + Tcm-1,1.291665964846483
mlp,43,ordinary,Memory B-2,0,2130,33,0.0,CD56 NK,0.03851135660305535
mlp,43,ordinary,Naive T,4,17960,40,0.13067602173603973,CD56 NK,0.4125587922815251
mlp,43,ordinary,Plasma,0,2173,40,0.4711470142690226,CD4 + Tcm-1,0.08896834192222965
mlp,43,ordinary,Tcm,4,2121,36,0.0034439850954097097,CD56 NK,0.1641283455999247
mlp,43,ordinary,cDC2,1,7376,40,0.1155587881313608,CD4 + Tcm-1,0.3788788565582378
mlp,43,ordinary,pDC,1,2615,40,0.005729770276870585,CD4 + Tcm-1,0.17531426189249852
mlp,43,ordinary,platelet,3,1574,38,0.05578048622102792,CD56 NK,0.04489952494383676
mlp,43,oracle,Atypical Memory B,0,781,34,0.3576637346970078,Memory B-1,0.02725707444952774
mlp,43,oracle,CD14 Monocyte-1,1,29871,40,0.6164633618561447,CD16 Monocyte-1,0.665965323801338
mlp,43,oracle,CD14 Monocyte-2,1,3931,40,0.20896931595571105,CD14 Monocyte-1,0.3791770756169401
mlp,43,oracle,CD14 Monocyte-3,1,2977,32,0.3193714856365529,CD14 Monocyte-1,0.08767955263075664
mlp,43,oracle,CD16 Monocyte-1,1,14678,40,0.41211111975930126,CD14 Monocyte-1,0.8784195541834482
mlp,43,oracle,CD16 Monocyte-2,1,5142,40,0.18877779107059836,CD14 Monocyte-1,0.271030660648112
mlp,43,oracle,CD16 NK,2,58507,40,0.9398922515178163,CD56 NK,0.3548646557238132
mlp,43,oracle,CD4 + Tcm-1,4,70653,40,0.7291603694810411,CD8 Tem-1,0.8729683088862975
mlp,43,oracle,CD4 + Tcm-2,4,16861,39,0.41632560632739246,CD4 + Tcm-1,0.22561207992564555
mlp,43,oracle,CD4 Monocyte-4,1,1405,35,0.0011571771329810863,CD14 Monocyte-1,0.07461049867647884
mlp,43,oracle,CD56 NK,2,38442,40,0.8156500274909132,CD16 NK,0.5753562893850624
mlp,43,oracle,CD8 + CTL-1,4,7303,40,0.013393827521539664,CD4 + Tcm-2,0.21001259510085912
mlp,43,oracle,CD8 + CTL-2,4,4049,33,0.1978005389516059,CD4 + Tcm-2,0.09597205140813017
mlp,43,oracle,CD8 + CTL-3,4,3244,27,0.014634896264729167,CD4 + Tcm-2,0.09250258120250426
mlp,43,oracle,CD8 Tem-1,4,26714,40,0.31302840529277415,CD4 + Tcm-1,2.860498976769674
mlp,43,oracle,CD8 Tem-2,4,10548,40,0.040060023342067784,CD4 + Tcm-1,0.4418837005922672
mlp,43,oracle,Cycling T,4,3667,40,0.19137655313234236,CD4 + Tcm-1,0.39711575594262993
mlp,43,oracle,Erythrocyte,3,65,6,0.8013735292213511,platelet,0.001769987416318675
mlp,43,oracle,GCB,0,3283,31,0.38156901070363086,Memory B-1,0.08887587523963661
mlp,43,oracle,Memory B-1,0,23722,40,0.9066705278576788,GCB,0.07497611429063672
mlp,43,oracle,Memory B-2,0,2130,33,0.05036045657426541,Memory B-1,0.09998247167075233
mlp,43,oracle,Naive T,4,17960,40,0.2995374654160152,CD4 + Tcm-2,0.4153238170742773
mlp,43,oracle,Plasma,0,2173,40,0.6885314183905648,Memory B-1,0.13016139232470644
mlp,43,oracle,Tcm,4,2121,36,0.009177895701342401,CD4 + Tcm-1,0.16746012785133546
mlp,43,oracle,cDC2,1,7376,40,0.17348007287461442,CD14 Monocyte-1,0.39089310995761933
mlp,43,oracle,pDC,1,2615,40,0.08271437447971398,CD16 Monocyte-1,0.16771301724929147
mlp,43,oracle,platelet,3,1574,38,0.9918501275952537,Erythrocyte,0.00016366612111292964
flat,17,ordinary,Atypical Memory B,0,781,34,0.0,CD14 Monocyte-1,0.0220986612165703
flat,17,ordinary,CD14 Monocyte-1,1,29871,40,0.4444789141783937,CD4 + Tcm-1,0.7016658128864057
flat,17,ordinary,CD14 Monocyte-2,1,3931,40,0.0639290635945221,CD14 Monocyte-1,0.31065448203933166
flat,17,ordinary,CD14 Monocyte-3,1,2977,32,0.20677932520405065,CD14 Monocyte-1,0.061101082363199145
flat,17,ordinary,CD16 Monocyte-1,1,14678,40,0.15412697673054626,CD4 + Tcm-1,0.7824383005323163
flat,17,ordinary,CD16 Monocyte-2,1,5142,40,0.08262467933203262,CD14 Monocyte-1,0.15446654361414539
flat,17,ordinary,CD16 NK,2,58507,40,0.392953263596827,CD4 + Tcm-1,3.2200679933007077
flat,17,ordinary,CD4 + Tcm-1,4,70653,40,0.44023093342640873,CD16 NK,1.9869030668963739
flat,17,ordinary,CD4 + Tcm-2,4,16861,39,0.19490352612600986,CD56 NK,0.4613044944732762
flat,17,ordinary,CD4 Monocyte-4,1,1405,35,0.014674276973676438,CD14 Monocyte-1,0.0571489074096952
flat,17,ordinary,CD56 NK,2,38442,40,0.41020116201910983,CD4 + Tcm-2,0.2717792532388688
flat,17,ordinary,CD8 + CTL-1,4,7303,40,0.0006804691822024173,CD56 NK,0.2301226906132583
