model,scope,comparison,mean,low,high,eligible_patients
flat,-1,cell_signal,0.15566072672640596,0.12549792891023046,0.17490186974179897,40
flat,-1,oracle_minus_prior,0.1916001755242862,0.15864504237611257,0.20897659939116198,40
flat,0,cell_signal,0.2934738295728105,0.24114890533699024,0.32620303230003844,40
flat,0,oracle_minus_prior,0.28278799947475497,0.23732725019409126,0.311269718176454,40
flat,1,cell_signal,0.15696706997480916,0.12573645325820101,0.1851453678366779,40
flat,1,oracle_minus_prior,0.14769358820492232,0.11850305742816471,0.16840495391180343,40
flat,2,cell_signal,-0.005752908691674552,-0.021955256584828785,0.0033684481522334437,40
flat,2,oracle_minus_prior,0.38738845822266316,0.3361021512812572,0.4129887760689527,40
flat,3,cell_signal,0.19913776115492104,0.017180918232799155,0.3967787937768115,38
flat,3,oracle_minus_prior,0.20419496780924135,0.02259987584157026,0.4023866531267388,38
flat,4,cell_signal,0.09184759944966037,0.07675296811954414,0.10314652437252354,40
flat,4,oracle_minus_prior,0.13151115803487362,0.1097846936122656,0.14252895559236398,40
