model,scope,eligible_patients,condition,mean,low,high
flat,-1,40,real_ordinary,0.14706529237062302,0.12743960512433083,0.1621983459792863
flat,-1,40,real_oracle,0.37143483582504855,0.33469164426104203,0.38999691490369065
flat,-1,40,real_D2,0.14189951521998914,0.12512628676165352,0.15574974089472138
flat,-1,40,shuffle_ordinary,0.0765892194322165,0.06895560027633146,0.08118825393184421
flat,-1,40,shuffle_oracle,0.21577410909864259,0.20539126734791935,0.2198011421923729
flat,-1,40,prior,0.17983466030076234,0.17457922581954755,0.1822735230877732
flat,0,40,real_ordinary,0.15230190072811292,0.12922581319040208,0.1720512054490706
flat,0,40,real_oracle,0.4761941042827645,0.4260996768517145,0.5055097583289249
flat,0,40,real_D2,0.1512915677043991,0.12789954593049196,0.17142590312807648
flat,0,40,shuffle_ordinary,0.029805897821844854,0.02246001341922072,0.03731354728628123
flat,0,40,shuffle_oracle,0.182720274709954,0.17255453833494974,0.19505421717091956
flat,0,40,prior,0.19340610480800954,0.18708501759724944,0.19730434315278475
flat,1,40,real_ordinary,0.1834563795630788,0.1511994845610701,0.2084131159334695
flat,1,40,real_oracle,0.2716148270490679,0.2412323411532936,0.2920027732144434
flat,1,40,real_D2,0.18372018838869295,0.15189873412138105,0.2083220470277791
flat,1,40,shuffle_ordinary,0.07245856470589979,0.060714279096163476,0.08215105092428028
flat,1,40,shuffle_oracle,0.11464775707425875,0.09442654333198172,0.12920785972653193
flat,1,40,prior,0.1239212388441456,0.12191750713440147,0.1245347640169974
flat,2,40,real_ordinary,0.5584101043678066,0.45307677609432656,0.6264731588059294
flat,2,40,real_oracle,0.865850420318874,0.7923612771602498,0.8968206348004638
flat,2,40,real_D2,0.5615675050279522,0.45585806677952484,0.6297040003350928
flat,2,40,shuffle_ordinary,0.5964820981308047,0.49261143034657323,0.6615630005270796
flat,2,40,shuffle_oracle,0.8716033290105486,0.7964632182993324,0.9021983453017446
flat,2,40,prior,0.4784619620962109,0.45203012724878594,0.49397893765412954
flat,3,38,real_ordinary,0.11199876532658491,0.012783634212622068,0.38046152708699954
flat,3,38,real_oracle,0.6945672129521908,0.5126055225267829,0.8931510155130615
flat,3,38,real_D2,0.08133600963886464,0.013294622161683381,0.3815919964000623
flat,3,38,shuffle_ordinary,0.007549152674177065,0.0018037813250762601,0.014897424867760104
flat,3,38,shuffle_oracle,0.49542945179726977,0.4891926851775574,0.4993458647701898
flat,3,38,prior,0.49037224514294947,0.4856214064298019,0.49409362519071137
flat,4,40,real_ordinary,0.1410610209844236,0.11913840795790027,0.15581149085197904
flat,4,40,real_oracle,0.22712053829593462,0.2017247068287088,0.23954556589025405
flat,4,40,real_D2,0.13876183886946356,0.11681828649032823,0.15367784644253368
flat,4,40,shuffle_ordinary,0.08722262158692348,0.07282384889749863,0.0970045929819831
flat,4,40,shuffle_oracle,0.13527293884627425,0.11961813530408327,0.14057011162513613
flat,4,40,prior,0.095609380261061,0.09109449110102558,0.09802719010668215
