model,scope,eligible_patients,condition,mean,low,high
mlp,-1,40,real_ordinary,0.13704932352911,0.12127698786633816,0.15137118982284453
mlp,-1,40,real_oracle,0.3755713077989781,0.3417872741024354,0.3876458192725994
mlp,-1,40,real_D2,0.13445946592386424,0.1197265479578069,0.14577368956687128
mlp,-1,40,shuffle_ordinary,0.07726779144372135,0.06982636926109338,0.08152202859851364
mlp,-1,40,shuffle_oracle,0.2160139760191032,0.20663387589817406,0.21927648741679714
mlp,-1,40,conditional_ordinary,0.1378317428197328,0.1224975816257993,0.14939483581284435
mlp,-1,40,conditional_oracle,0.38900770794689304,0.35509761100287185,0.40147292243584065
mlp,-1,40,prior,0.17983466030076234,0.17457922581954755,0.1822735230877732
mlp,0,40,real_ordinary,0.1344642404555562,0.10818031157339647,0.15667332639914117
mlp,0,40,real_oracle,0.4691938919205551,0.41312760548096294,0.500858669937721
mlp,0,40,real_D2,0.12942431745043076,0.10311730259061518,0.15195048722866436
mlp,0,40,shuffle_ordinary,0.02841630116092823,0.020896511201045395,0.03651877647918325
mlp,0,40,shuffle_oracle,0.18157242527380704,0.1729355059001969,0.1907703913934985
mlp,0,40,conditional_ordinary,0.13162916436384106,0.10722393650917224,0.15229997732957157
mlp,0,40,conditional_oracle,0.4790444138355204,0.42336078301228974,0.5102708114054475
mlp,0,40,prior,0.19340610480800954,0.18708501759724944,0.19730434315278475
mlp,1,40,real_ordinary,0.1766422630603727,0.14345823777567146,0.2015373833643248
mlp,1,40,real_oracle,0.2654794363013454,0.23609392389555328,0.28686654567443765
mlp,1,40,real_D2,0.17402840546865603,0.140551585336901,0.1994086709744965
mlp,1,40,shuffle_ordinary,0.07161072021916612,0.06044820131527685,0.08093520674441979
mlp,1,40,shuffle_oracle,0.11051829856435876,0.09324611314982983,0.12359124615881695
mlp,1,40,conditional_ordinary,0.18716830311826596,0.15180573682408846,0.21239438850008663
mlp,1,40,conditional_oracle,0.28160654292368437,0.2518820453596717,0.3009545407939666
mlp,1,40,prior,0.1239212388441456,0.12191750713440147,0.1245347640169974
mlp,2,40,real_ordinary,0.5904380651835184,0.4943337025332864,0.651469814374953
mlp,2,40,real_oracle,0.8691812756403511,0.7967870601578755,0.8989525889293989
mlp,2,40,real_D2,0.5882038816516074,0.4871467530998899,0.6506950606279162
mlp,2,40,shuffle_ordinary,0.6012574824468211,0.5010617129206696,0.6644942690187939
mlp,2,40,shuffle_oracle,0.8721022393521705,0.7969867009146008,0.9025370047523872
mlp,2,40,conditional_ordinary,0.5761569543918484,0.47667921635883426,0.6387169806118076
mlp,2,40,conditional_oracle,0.8649525037109945,0.79283789878353,0.895464921031977
mlp,2,40,prior,0.4784619620962109,0.45203012724878594,0.49397893765412954
mlp,3,38,real_ordinary,0.050175080884566126,0.0006620909817068864,0.31762647902239416
mlp,3,38,real_oracle,0.8444249896438186,0.5492925536057275,0.9144169859928724
mlp,3,38,real_D2,0.030390202122003347,0.0008611341344722155,0.16858826100475516
mlp,3,38,shuffle_ordinary,0.010410335922888843,0.0012299292517017125,0.025792805859070955
mlp,3,38,shuffle_oracle,0.49550478888017113,0.4892436808058251,0.49931782285808535
mlp,3,38,conditional_ordinary,0.028807990044730586,0.00217106276135242,0.16454092913115118
mlp,3,38,conditional_oracle,0.9157325780933466,0.6189875915382385,0.9749753467757593
mlp,3,38,prior,0.49037224514294947,0.4856214064298019,0.49409362519071137
mlp,4,40,real_ordinary,0.13883153748849666,0.11745083094776469,0.15262067622895564
mlp,4,40,real_oracle,0.2249661711280783,0.19953071641276138,0.23683657906374064
mlp,4,40,real_D2,0.136354792752337,0.11545909165152275,0.15019529735020157
mlp,4,40,shuffle_ordinary,0.08926222273354974,0.07431063923583896,0.0988731287897447
mlp,4,40,shuffle_oracle,0.13637052870372915,0.1226358203334465,0.1403508285323671
mlp,4,40,conditional_ordinary,0.1431502014330854,0.12005406635761687,0.15799455525063916
mlp,4,40,conditional_oracle,0.23261840129924996,0.2070933871966809,0.24539910463642897
mlp,4,40,prior,0.095609380261061,0.09109449110102558,0.09802719010668215
