width,seed,contrast,positive_cells,negative_cells,eligible_strata,candidate_strata,eligible_patients,retained_positive_cells,retained_negative_cells
2000,20260912,rescue,31195,76242,1070,6163,40,26070,54050
2000,20260912,harm,24986,229369,437,811,40,24311,218257
2000,20260913,rescue,30797,76439,1024,6181,40,25326,53377
2000,20260913,harm,25112,229444,443,814,40,24429,217989
2000,20260914,rescue,31585,75965,1037,6207,40,26268,51668
2000,20260914,harm,25378,228864,449,811,40,24744,218655
5000,20260912,rescue,32041,74857,1119,6348,40,27005,53289
5000,20260912,harm,24845,230049,460,806,40,24173,221624
5000,20260913,rescue,32021,74377,1070,6175,40,26798,51767
5000,20260913,harm,25558,229836,479,802,40,24991,221180
5000,20260914,rescue,31680,74274,1097,6166,40,26883,53241
5000,20260914,harm,26229,229609,469,801,40,25570,221002
