width,model,seed,subtype,cells,patients,rna_correct,paired_correct,rescued,harmed
2000,sgd,20260912,Atypical Memory B,781,34,165,173,50,42
2000,sgd,20260912,CD14 Monocyte-1,29871,40,19192,19214,2320,2298
2000,sgd,20260912,CD14 Monocyte-2,3931,40,1957,2162,426,221
2000,sgd,20260912,CD14 Monocyte-3,2977,32,1689,1369,217,537
2000,sgd,20260912,CD16 Monocyte-1,14678,40,12765,12884,585,466
2000,sgd,20260912,CD16 Monocyte-2,5142,40,3646,3768,331,209
2000,sgd,20260912,CD16 NK,58507,40,34082,32335,6647,8394
2000,sgd,20260912,CD4 + Tcm-1,70653,40,25017,26356,9867,8528
2000,sgd,20260912,CD4 + Tcm-2,16861,39,8314,10809,3346,851
2000,sgd,20260912,CD4 Monocyte-4,1405,35,488,561,138,65
2000,sgd,20260912,CD56 NK,38442,40,22805,18809,3288,7284
2000,sgd,20260912,CD8 + CTL-1,7303,40,4578,3685,360,1253
2000,sgd,20260912,CD8 + CTL-2,4049,33,1102,1519,807,390
2000,sgd,20260912,CD8 + CTL-3,3244,27,662,1156,708,214
2000,sgd,20260912,CD8 Tem-1,26714,40,13631,14199,3185,2617
2000,sgd,20260912,CD8 Tem-2,10548,40,3829,2906,702,1625
2000,sgd,20260912,Cycling T,3667,40,2430,2248,176,358
2000,sgd,20260912,Erythrocyte,65,6,8,8,0,0
2000,sgd,20260912,GCB,3283,31,1663,1594,371,440
2000,sgd,20260912,Memory B-1,23722,40,16617,16915,2292,1994
2000,sgd,20260912,Memory B-2,2130,33,1108,1271,304,141
2000,sgd,20260912,Naive T,17960,40,10429,6935,1117,4611
2000,sgd,20260912,Plasma,2173,40,2111,2107,15,19
2000,sgd,20260912,Tcm,2121,36,274,74,26,226
2000,sgd,20260912,cDC2,7376,40,6651,6660,242,233
2000,sgd,20260912,pDC,2615,40,2345,2357,78,66
2000,sgd,20260912,platelet,1574,38,1492,1504,28,16
2000,sgd,20260913,Atypical Memory B,781,34,182,174,36,44
2000,sgd,20260913,CD14 Monocyte-1,29871,40,19994,19884,2252,2362
2000,sgd,20260913,CD14 Monocyte-2,3931,40,1971,2237,504,238
2000,sgd,20260913,CD14 Monocyte-3,2977,32,1307,1660,539,186
2000,sgd,20260913,CD16 Monocyte-1,14678,40,12625,12140,582,1067
