sample_id,disease,lineage,aptamer,patient_lineage_mean,signal,n_cells
CRC11,CRC,B,APT-179,-0.8346174346242836,Raw,324
CRC11,CRC,Myeloid,APT-179,-0.862716107660351,Raw,2305
CRC11,CRC,T/NK,APT-179,-0.8731022112966726,Raw,4823
CRC13,CRC,B,APT-179,-1.2415243111657754,Raw,209
CRC13,CRC,Myeloid,APT-179,-1.1129118670376592,Raw,887
CRC13,CRC,T/NK,APT-179,-1.2241222933657319,Raw,3957
CRC16,CRC,B,APT-179,-0.23339903047921773,Raw,167
CRC16,CRC,Myeloid,APT-179,-0.10414212720443754,Raw,973
CRC16,CRC,T/NK,APT-179,-0.2891733616236131,Raw,6318
CRC17,CRC,B,APT-179,-0.54495830915619,Raw,269
CRC17,CRC,Myeloid,APT-179,-0.48925822983836575,Raw,1047
CRC17,CRC,T/NK,APT-179,-0.6020445832465768,Raw,5063
CRC22,CRC,B,APT-179,-1.426735940603583,Raw,213
CRC22,CRC,Myeloid,APT-179,-1.2992151736854816,Raw,603
CRC22,CRC,T/NK,APT-179,-1.3358156377679011,Raw,4385
CRC23,CRC,B,APT-179,-1.3732195639020794,Raw,91
CRC23,CRC,Myeloid,APT-179,-1.3913588877303544,Raw,743
CRC23,CRC,T/NK,APT-179,-1.4604751648774252,Raw,5267
CRC24,CRC,B,APT-179,-1.67792480971132,Raw,238
CRC24,CRC,Myeloid,APT-179,-1.5907166468680782,Raw,1275
CRC24,CRC,T/NK,APT-179,-1.6445728258929988,Raw,5738
CRC25,CRC,B,APT-179,-0.208781627947446,Raw,501
CRC25,CRC,Myeloid,APT-179,-0.022939347551142936,Raw,2612
CRC25,CRC,T/NK,APT-179,-0.3245355659795178,Raw,4083
GC28_P_cDNA,GC,B,APT-179,-0.5605117163761831,Raw,337
GC28_P_cDNA,GC,Myeloid,APT-179,-0.5069504052943274,Raw,2914
GC28_P_cDNA,GC,T/NK,APT-179,-0.6287385187852489,Raw,4055
GC29_P_cDNA,GC,B,APT-179,-0.44706625598172345,Raw,225
GC29_P_cDNA,GC,Myeloid,APT-179,-0.32224074973312405,Raw,2010
