signal,lineage,aptamer,disease,n_patients,median,q1,q3
Patient-centered,B,APT-164,BTC,6,-0.08289560237010415,-0.11478386343796523,-0.04052704881568431
Patient-centered,B,APT-164,CRC,8,-0.0597268785827018,-0.06840933480589242,-0.01082866568194428
Patient-centered,B,APT-164,GC,7,0.09483068429378677,-0.022647394107056712,0.2370606606284006
Patient-centered,B,APT-164,HCC,7,0.001861891721415779,-0.08422374148246842,0.13439631225870713
Patient-centered,B,APT-164,Normal,6,-0.07322350910584266,-0.08690407401353653,-0.06057669350633016
Patient-centered,B,APT-164,PC,6,0.04677519142244729,-0.06303289115864652,0.08727880084449285
Patient-centered,B,APT-179,BTC,6,-0.056518781661733346,-0.0931606954337476,-0.014015092323165938
Patient-centered,B,APT-179,CRC,8,-0.028973429140953036,-0.05870891580120833,-0.010118004220456181
Patient-centered,B,APT-179,GC,7,-0.03402376986586818,-0.073562029157274,-0.007320903898619685
Patient-centered,B,APT-179,HCC,7,-0.028126692847625128,-0.06882542566732902,-0.021252566210075933
Patient-centered,B,APT-179,Normal,6,-0.04740624864233035,-0.08147943520484605,-0.03566648074463305
Patient-centered,B,APT-179,PC,6,-0.10079320639043607,-0.10794658445415499,-0.09233714241303473
Patient-centered,B,APT-225,BTC,6,-0.07584993271936769,-0.13309946411812285,-0.03471457903801515
Patient-centered,B,APT-225,CRC,8,-0.04055194221964595,-0.09948778386861348,0.016154601824255883
Patient-centered,B,APT-225,GC,7,-0.0401083760219008,-0.13157412084924702,-0.010102445275266752
Patient-centered,B,APT-225,HCC,7,-0.07014118140046992,-0.08406665381344389,0.07733959129206364
Patient-centered,B,APT-225,Normal,6,0.004757137296438713,-0.00021183665641425002,0.018923414368783566
Patient-centered,B,APT-225,PC,6,-0.06148591857578099,-0.07766220714352066,-0.0322086766965836
Patient-centered,Myeloid,APT-164,BTC,6,0.049501290804001674,0.025890558512518536,0.08196873542247168
Patient-centered,Myeloid,APT-164,CRC,8,-0.003007259889246685,-0.02785578945799589,0.009022659818476693
Patient-centered,Myeloid,APT-164,GC,7,0.09821383205923279,0.023559252493152785,0.2679502634430496
Patient-centered,Myeloid,APT-164,HCC,7,0.20282075386754908,0.06743914035664282,0.22206340244966585
Patient-centered,Myeloid,APT-164,Normal,6,0.01644968878189934,-0.01615415166100901,0.03945554363602063
Patient-centered,Myeloid,APT-164,PC,6,0.04266362362214154,-0.06767784864524709,0.11610628984668543
Patient-centered,Myeloid,APT-179,BTC,6,0.08716470849820394,0.03530097779993335,0.10364093076227834
Patient-centered,Myeloid,APT-179,CRC,8,0.03902367945984761,-0.022144932105317358,0.09456686053087644
Patient-centered,Myeloid,APT-179,GC,7,0.019537541215987487,-0.030911942374823913,0.07941368577377214
Patient-centered,Myeloid,APT-179,HCC,7,0.08024152080443772,0.06640212903859323,0.1059332059118949
Patient-centered,Myeloid,APT-179,Normal,6,0.034468693879318474,0.023520127436763592,0.051633962751723474
Patient-centered,Myeloid,APT-179,PC,6,-0.05800651468049746,-0.07431534096746788,-0.021708876081823633
Patient-centered,Myeloid,APT-225,BTC,6,0.190246460291552,0.10249101646200981,0.21817377945768784
Patient-centered,Myeloid,APT-225,CRC,8,0.14097161584628554,0.07410747581258861,0.22733087006508743
Patient-centered,Myeloid,APT-225,GC,7,0.15022354606969368,0.09082341497301083,0.18979500423026635
Patient-centered,Myeloid,APT-225,HCC,7,0.20334200803913327,0.1638952547203703,0.2247275834814127
Patient-centered,Myeloid,APT-225,Normal,6,0.2999657197139828,0.25919262438524504,0.355287220709739
Patient-centered,Myeloid,APT-225,PC,6,0.058361643116210726,0.0014537913699192492,0.10179430283896448
Patient-centered,T/NK,APT-164,BTC,6,-0.05295595857787659,-0.059483994911281056,-0.011024888302994092
Patient-centered,T/NK,APT-164,CRC,8,-0.04138232897525777,-0.08485299388899549,0.007706601929381781
Patient-centered,T/NK,APT-164,GC,7,0.16280188990314612,-0.014053148284749378,0.21563765937012974
Patient-centered,T/NK,APT-164,HCC,7,0.05039485749150118,-0.11422979813754217,0.1504358863533149
Patient-centered,T/NK,APT-164,Normal,6,-0.11155276983284954,-0.12156848924956701,-0.10191244783169545
Patient-centered,T/NK,APT-164,PC,6,0.04681233285951526,-0.028891230131482246,0.09144554509115181
Patient-centered,T/NK,APT-179,BTC,6,-0.024445013230687554,-0.04027037900715604,-0.006350212539274147
Patient-centered,T/NK,APT-179,CRC,8,-0.09035424036274166,-0.1254602737944297,-0.01660498467110974
Patient-centered,T/NK,APT-179,GC,7,-0.10107615445475775,-0.1237464445854707,-0.03396045081597401
Patient-centered,T/NK,APT-179,HCC,7,-0.048561651232718314,-0.0551660951237663,-0.022522953817630205
Patient-centered,T/NK,APT-179,Normal,6,-0.10844226956409313,-0.1123081236495534,-0.0820453541324435
Patient-centered,T/NK,APT-179,PC,6,-0.04391799274635472,-0.059174107985958346,-0.01024462278519341
Patient-centered,T/NK,APT-225,BTC,6,-0.07644682877655987,-0.12404883519159315,-0.026151936161053043
Patient-centered,T/NK,APT-225,CRC,8,-0.15830824167351157,-0.19228079235221449,-0.14336929694121034
Patient-centered,T/NK,APT-225,GC,7,-0.14424306932481068,-0.1924935962847212,-0.09585588234799969
Patient-centered,T/NK,APT-225,HCC,7,-0.07017325622499329,-0.0974410767714031,-0.052629442733890114
Patient-centered,T/NK,APT-225,Normal,6,-0.07723445553862526,-0.09032774731768409,-0.052198032582232615
Patient-centered,T/NK,APT-225,PC,6,-0.030875486153507995,-0.06443575723123239,-0.014168347425555484
Raw,B,APT-164,BTC,6,0.34101008837104435,-0.14343623453408924,0.4706339801713884
Raw,B,APT-164,CRC,8,-0.20151286047814732,-0.41388007198955856,0.13978060542144805
Raw,B,APT-164,GC,7,-0.9763583049332883,-1.0888065154275077,-0.9178771704149029
Raw,B,APT-164,HCC,7,-0.755329945112538,-0.9669310382138339,-0.6236824449730671
Raw,B,APT-164,Normal,6,0.8974521083505935,0.6727574975798349,1.0486388775680688
Raw,B,APT-164,PC,6,-0.6737906743797812,-0.8057893808670579,-0.5845606915818555
Raw,B,APT-179,BTC,6,-0.2414574225612491,-0.34634805379494205,-0.0797697035191459
Raw,B,APT-179,CRC,8,-1.0380708728950294,-1.3865986580774554,-0.46706848948694696
Raw,B,APT-179,GC,7,-0.44706625598172345,-0.6036087598605704,-0.13945308560101616
Raw,B,APT-179,HCC,7,1.3900941621998082,0.768878785806136,1.5835418618699495
Raw,B,APT-179,Normal,6,0.08038448843400156,-0.20430707348598895,0.2677120383313514
Raw,B,APT-179,PC,6,-0.12182874135929145,-0.19683750642398412,0.10510692249097703
Raw,B,APT-225,BTC,6,-0.5806427607699105,-0.6587091171815793,-0.4438100640941408
Raw,B,APT-225,CRC,8,-0.6839305933832067,-0.9986023176969097,-0.010540541740840847
Raw,B,APT-225,GC,7,-0.9179269635209741,-0.9862670619273559,-0.5771204684835514
Raw,B,APT-225,HCC,7,1.239488435098389,1.146538960837466,1.3091413004887107
Raw,B,APT-225,Normal,6,0.22666679086757383,-0.22617287559108634,0.4175802082222813
Raw,B,APT-225,PC,6,0.20115453167191555,0.1170088932356517,0.316901555059645
Raw,Myeloid,APT-164,BTC,6,0.4662622579052777,0.00033413242514979125,0.5880850377404248
