permutation,seed,patient_accuracy,patient_macro_f1
0,42,0.15,0.13624338624338625
1,42,0.05,0.06363636363636364
2,42,0.05,0.044444444444444446
3,42,0.15,0.1323062558356676
4,42,0.225,0.1878787878787879
5,42,0.275,0.253996003996004
6,42,0.1,0.1053030303030303
7,42,0.15,0.1492303992303992
8,42,0.05,0.05416666666666667
9,42,0.05,0.04786324786324786
10,42,0.05,0.047619047619047616
11,42,0.175,0.12927595280536455
12,42,0.275,0.2777000777000777
13,42,0.1,0.08366013071895424
14,42,0.175,0.17196455505279032
15,42,0.1,0.09280303030303032
16,42,0.125,0.1304029304029304
17,42,0.075,0.0625
18,42,0.0,0.0
19,42,0.2,0.16778616120721382
20,42,0.075,0.06984126984126983
21,42,0.15,0.1383838383838384
22,42,0.225,0.19742063492063489
23,42,0.225,0.21318681318681318
24,42,0.075,0.0846153846153846
25,42,0.2,0.1810897435897436
26,42,0.125,0.1185897435897436
27,42,0.175,0.17008547008547006
28,42,0.125,0.11841168091168092
29,42,0.15,0.1292041292041292
30,42,0.15,0.1323278029160382
31,42,0.175,0.16467845879610585
32,42,0.0,0.0
33,42,0.15,0.1207792207792208
34,42,0.05,0.047619047619047616
35,42,0.05,0.044444444444444446
36,42,0.225,0.2161616161616162
37,42,0.05,0.04305555555555555
38,42,0.025,0.027777777777777776
39,42,0.075,0.06143790849673203
40,42,0.25,0.24685771744595275
41,42,0.025,0.0196078431372549
42,42,0.125,0.10092592592592592
43,42,0.125,0.11133107088989443
44,42,0.025,0.025641025641025644
45,42,0.2,0.18040935672514616
46,42,0.1,0.09230769230769231
47,42,0.325,0.33873533873533873
48,42,0.15,0.12322874493927126
49,42,0.2,0.18871063576945932
50,42,0.15,0.1338281601439496
51,42,0.125,0.10846560846560845
52,42,0.05,0.053418803418803416
53,42,0.2,0.172605580693816
54,42,0.1,0.08009259259259259
55,42,0.2,0.17628384687208218
56,42,0.05,0.04882154882154882
57,42,0.15,0.13194444444444445
58,42,0.125,0.11881419234360409
59,42,0.225,0.22108262108262108
60,42,0.1,0.08831908831908832
61,42,0.1,0.09788359788359789
62,42,0.175,0.15966810966810965
63,42,0.075,0.05263157894736842
64,42,0.2,0.17692307692307693
65,42,0.05,0.046031746031746035
66,42,0.125,0.1300925925925926
67,42,0.025,0.018518518518518517
68,42,0.1,0.11428571428571428
69,42,0.2,0.16666666666666666
70,42,0.15,0.1228956228956229
71,42,0.125,0.09215686274509804
72,42,0.125,0.11243386243386243
73,42,0.125,0.13257575757575757
74,42,0.15,0.1304963010845364
75,42,0.25,0.2492063492063492
76,42,0.175,0.17216117216117213
77,42,0.175,0.15743145743145745
78,42,0.125,0.10972222222222222
79,42,0.175,0.16918498168498167
80,42,0.125,0.11533433886375062
81,42,0.3,0.2711210358269182
82,42,0.075,0.06296296296296296
83,42,0.075,0.06960784313725489
84,42,0.175,0.16452991452991453
85,42,0.15,0.138980463980464
86,42,0.125,0.11011904761904762
87,42,0.1,0.09515974221856575
88,42,0.15,0.12328042328042328
89,42,0.175,0.16203703703703703
90,42,0.1,0.09174093879976235
91,42,0.125,0.12230576441102757
92,42,0.2,0.18308080808080807
93,42,0.125,0.11805555555555554
94,42,0.125,0.11675824175824175
95,42,0.15,0.11887254901960785
96,42,0.325,0.3014212095094448
97,42,0.175,0.1691919191919192
98,42,0.075,0.0909090909090909
99,42,0.1,0.1047008547008547
100,42,0.075,0.07633477633477634
101,42,0.05,0.043184885290148446
102,42,0.175,0.1477124183006536
103,42,0.125,0.10652337858220211
104,42,0.15,0.14446460402342756
105,42,0.075,0.07222222222222223
106,42,0.3,0.2970760233918129
107,42,0.075,0.06666666666666667
108,42,0.2,0.1865079365079365
109,42,0.075,0.08675213675213676
110,42,0.15,0.15663780663780666
111,42,0.15,0.12037037037037036
112,42,0.2,0.1875901875901876
113,42,0.075,0.07142857142857142
114,42,0.175,0.17196969696969697
115,42,0.025,0.023809523809523808
116,42,0.05,0.049999999999999996
117,42,0.15,0.12866479925303456
118,42,0.15,0.14507061565885096
119,42,0.15,0.14835858585858586
120,42,0.05,0.047619047619047616
121,42,0.05,0.044444444444444446
122,42,0.125,0.10049482681061628
123,42,0.1,0.08707893413775768
124,42,0.3,0.2793363499245852
125,42,0.1,0.09230769230769231
126,42,0.075,0.07380952380952381
127,42,0.1,0.09722222222222221
128,42,0.05,0.044444444444444446
129,42,0.05,0.05128205128205129
130,42,0.025,0.022222222222222223
131,42,0.325,0.3131868131868132
132,42,0.175,0.16137566137566137
133,42,0.15,0.15178571428571427
134,42,0.225,0.19358974358974357
135,42,0.1,0.09825174825174825
136,42,0.15,0.12980769230769232
137,42,0.225,0.18716577540106952
138,42,0.025,0.023809523809523808
139,42,0.15,0.14708994708994708
140,42,0.125,0.1195010055304173
141,42,0.15,0.12777777777777777
142,42,0.175,0.17692307692307693
143,42,0.025,0.020833333333333332
144,42,0.1,0.08831908831908832
145,42,0.175,0.15382819794584499
146,42,0.175,0.15445665445665446
147,42,0.175,0.15798229548229548
148,42,0.3,0.2871794871794872
149,42,0.05,0.05158730158730159
150,42,0.25,0.20793650793650795
151,42,0.15,0.14423076923076925
152,42,0.1,0.09295808966861598
153,42,0.1,0.0988095238095238
154,42,0.05,0.037037037037037035
155,42,0.1,0.07777777777777778
156,42,0.175,0.15873015873015872
157,42,0.25,0.20158730158730162
158,42,0.275,0.283011433011433
159,42,0.0,0.0
160,42,0.175,0.14565826330532214
161,42,0.25,0.21853402445507708
162,42,0.25,0.21391223155929037
163,42,0.1,0.0821078431372549
164,42,0.15,0.12698412698412698
165,42,0.175,0.1804029304029304
166,42,0.1,0.10476190476190476
167,42,0.05,0.048611111111111105
168,42,0.15,0.1342203548085901
169,42,0.025,0.023809523809523808
170,42,0.175,0.16437908496732026
171,42,0.125,0.1311965811965812
172,42,0.2,0.2094017094017094
173,42,0.1,0.10104723707664885
174,42,0.2,0.1701546003016591
175,42,0.15,0.1458090928679164
176,42,0.15,0.14532163742690057
177,42,0.175,0.15297619047619046
178,42,0.25,0.25283224400871457
179,42,0.175,0.15337725999490706
180,42,0.1,0.10056022408963584
181,42,0.175,0.1565934065934066
182,42,0.15,0.13494218200100552
