B,n_cells,seed,model,patient_macro_f1,patient_accuracy
5,100,0,LR,0.8697552447552447,0.875
5,500,0,LR,0.8982905982905983,0.9
5,1000,0,LR,0.8982905982905983,0.9
5,5000,0,LR,0.8982905982905983,0.9
5,all,0,LR,0.8982905982905983,0.9
5,100,1,LR,0.875,0.875
5,500,1,LR,0.875,0.875
5,1000,1,LR,0.9249084249084248,0.925
5,5000,1,LR,0.8982905982905983,0.9
5,all,1,LR,0.8982905982905983,0.9
5,100,2,LR,0.9249084249084248,0.925
5,500,2,LR,0.8982905982905983,0.9
5,1000,2,LR,0.8982905982905983,0.9
5,5000,2,LR,0.8982905982905983,0.9
5,all,2,LR,0.8982905982905983,0.9
5,100,3,LR,0.875,0.875
5,500,3,LR,0.9004273504273504,0.9
5,1000,3,LR,0.8982905982905983,0.9
5,5000,3,LR,0.8982905982905983,0.9
5,all,3,LR,0.8982905982905983,0.9
5,100,4,LR,0.8788461538461538,0.875
5,500,4,LR,0.8982905982905983,0.9
5,1000,4,LR,0.8968253968253967,0.9
5,5000,4,LR,0.8982905982905983,0.9
5,all,4,LR,0.8982905982905983,0.9
5,100,5,LR,0.9249084249084248,0.925
5,500,5,LR,0.8982905982905983,0.9
5,1000,5,LR,0.8982905982905983,0.9
5,5000,5,LR,0.8982905982905983,0.9
5,all,5,LR,0.8982905982905983,0.9
5,100,6,LR,0.875,0.875
5,500,6,LR,0.8982905982905983,0.9
5,1000,6,LR,0.9249084249084248,0.925
5,5000,6,LR,0.8982905982905983,0.9
5,all,6,LR,0.8982905982905983,0.9
5,100,7,LR,0.9004273504273504,0.9
5,500,7,LR,0.8982905982905983,0.9
5,1000,7,LR,0.8982905982905983,0.9
5,5000,7,LR,0.8982905982905983,0.9
5,all,7,LR,0.8982905982905983,0.9
5,100,8,LR,0.8697552447552447,0.875
5,500,8,LR,0.8474450386215092,0.85
5,1000,8,LR,0.9249084249084248,0.925
5,5000,8,LR,0.8982905982905983,0.9
5,all,8,LR,0.8982905982905983,0.9
5,100,9,LR,0.8982905982905983,0.9
5,500,9,LR,0.8982905982905983,0.9
5,1000,9,LR,0.9249084249084248,0.925
5,5000,9,LR,0.8982905982905983,0.9
5,all,9,LR,0.8982905982905983,0.9
5,100,10,LR,0.8510683760683762,0.85
5,500,10,LR,0.8982905982905983,0.9
5,1000,10,LR,0.9249084249084248,0.925
5,5000,10,LR,0.9249084249084248,0.925
5,all,10,LR,0.8982905982905983,0.9
5,100,11,LR,0.8982905982905983,0.9
5,500,11,LR,0.8982905982905983,0.9
5,1000,11,LR,0.8982905982905983,0.9
5,5000,11,LR,0.8982905982905983,0.9
5,all,11,LR,0.8982905982905983,0.9
5,100,12,LR,0.8982905982905983,0.9
5,500,12,LR,0.8982905982905983,0.9
5,1000,12,LR,0.8982905982905983,0.9
5,5000,12,LR,0.8982905982905983,0.9
5,all,12,LR,0.8982905982905983,0.9
5,100,13,LR,0.875,0.875
5,500,13,LR,0.8474450386215092,0.85
