B,n_cells,model,n_seeds,mean,empirical_2_5pct,empirical_97_5pct,minimum,maximum
5,100,LR,50,0.8811253452429924,0.8448636535033595,0.9249084249084248,0.8345238095238096,0.9249084249084248
5,1000,LR,50,0.9062534687534688,0.875,0.9249084249084248,0.8697552447552447,0.9249084249084248
5,500,LR,50,0.8943319229789818,0.8518673075290722,0.9249084249084248,0.8474450386215092,0.9249084249084248
5,5000,LR,50,0.8988229548229549,0.8982905982905983,0.8982905982905983,0.8982905982905983,0.9249084249084248
5,all,LR,50,0.8982905982905983,0.8982905982905983,0.8982905982905983,0.8982905982905983,0.8982905982905983
10,100,LR,50,1.0,1.0,1.0,1.0,1.0
10,1000,LR,50,1.0,1.0,1.0,1.0,1.0
10,500,LR,50,1.0,1.0,1.0,1.0,1.0
10,5000,LR,50,1.0,1.0,1.0,1.0,1.0
10,all,LR,50,1.0,1.0,1.0,1.0,1.0
20,100,LR,50,1.0,1.0,1.0,1.0,1.0
20,1000,LR,50,1.0,1.0,1.0,1.0,1.0
20,500,LR,50,1.0,1.0,1.0,1.0,1.0
20,5000,LR,50,1.0,1.0,1.0,1.0,1.0
20,all,LR,50,1.0,1.0,1.0,1.0,1.0
293,100,LR,50,1.0,1.0,1.0,1.0,1.0
293,1000,LR,50,1.0,1.0,1.0,1.0,1.0
293,500,LR,50,1.0,1.0,1.0,1.0,1.0
293,5000,LR,50,1.0,1.0,1.0,1.0,1.0
293,all,LR,50,1.0,1.0,1.0,1.0,1.0
