outer_fold,B,intersection,union,jaccard,lr_aptamers,shap_aptamers
0,10,6,14,0.42857142857142855,APT-57;APT-69;APT-125;APT-161;APT-164;APT-166;APT-167;APT-179;APT-225;APT-280,APT-179;APT-225;APT-57;APT-172;APT-164;APT-69;APT-24;APT-167;APT-25;APT-79
0,20,14,26,0.5384615384615384,APT-54;APT-57;APT-69;APT-79;APT-125;APT-140;APT-157;APT-161;APT-164;APT-166;APT-167;APT-172;APT-179;APT-217;APT-218;APT-223;APT-225;APT-260;APT-280;APT-282,APT-179;APT-225;APT-57;APT-172;APT-164;APT-69;APT-24;APT-167;APT-25;APT-79;APT-192;APT-105;APT-68;APT-166;APT-161;APT-262;APT-218;APT-217;APT-157;APT-280
1,10,8,12,0.6666666666666666,APT-57;APT-69;APT-125;APT-161;APT-164;APT-166;APT-172;APT-179;APT-218;APT-225,APT-179;APT-225;APT-57;APT-172;APT-164;APT-69;APT-68;APT-161;APT-167;APT-166
1,20,11,29,0.3793103448275862,APT-47;APT-54;APT-57;APT-69;APT-92;APT-125;APT-140;APT-157;APT-161;APT-164;APT-166;APT-167;APT-172;APT-179;APT-196;APT-218;APT-223;APT-225;APT-260;APT-282,APT-179;APT-225;APT-57;APT-172;APT-164;APT-69;APT-68;APT-161;APT-167;APT-166;APT-79;APT-25;APT-157;APT-105;APT-203;APT-24;APT-106;APT-192;APT-218;APT-262
2,10,5,15,0.3333333333333333,APT-57;APT-69;APT-125;APT-157;APT-161;APT-164;APT-166;APT-179;APT-225;APT-260,APT-225;APT-179;APT-57;APT-164;APT-69;APT-172;APT-24;APT-25;APT-105;APT-79
2,20,14,26,0.5384615384615384,APT-57;APT-69;APT-79;APT-92;APT-106;APT-125;APT-140;APT-157;APT-161;APT-164;APT-166;APT-167;APT-172;APT-179;APT-217;APT-218;APT-223;APT-225;APT-260;APT-282,APT-225;APT-179;APT-57;APT-164;APT-69;APT-172;APT-24;APT-25;APT-105;APT-79;APT-161;APT-157;APT-106;APT-166;APT-68;APT-203;APT-192;APT-167;APT-260;APT-140
3,10,7,13,0.5384615384615384,APT-57;APT-69;APT-125;APT-161;APT-164;APT-166;APT-172;APT-179;APT-218;APT-225,APT-179;APT-225;APT-57;APT-164;APT-172;APT-69;APT-24;APT-167;APT-68;APT-166
3,20,14,26,0.5384615384615384,APT-41;APT-54;APT-57;APT-68;APT-69;APT-79;APT-105;APT-125;APT-157;APT-161;APT-164;APT-166;APT-167;APT-172;APT-179;APT-218;APT-223;APT-225;APT-273;APT-282,APT-179;APT-225;APT-57;APT-164;APT-172;APT-69;APT-24;APT-167;APT-68;APT-166;APT-161;APT-25;APT-106;APT-192;APT-157;APT-79;APT-203;APT-105;APT-218;APT-217
4,10,7,13,0.5384615384615384,APT-57;APT-69;APT-125;APT-161;APT-164;APT-166;APT-167;APT-179;APT-218;APT-225,APT-225;APT-179;APT-57;APT-172;APT-69;APT-164;APT-167;APT-24;APT-25;APT-161
4,20,11,29,0.3793103448275862,APT-47;APT-54;APT-57;APT-69;APT-92;APT-125;APT-144;APT-157;APT-161;APT-164;APT-166;APT-167;APT-172;APT-179;APT-218;APT-223;APT-225;APT-260;APT-273;APT-282,APT-225;APT-179;APT-57;APT-172;APT-69;APT-164;APT-167;APT-24;APT-25;APT-161;APT-166;APT-192;APT-79;APT-105;APT-68;APT-262;APT-157;APT-106;APT-218;APT-75
