B,repeat,model,patient_macro_f1,patient_accuracy,aptamers
5,0,LR,0.5509803921568627,0.625,APT-11;APT-96;APT-167;APT-234;APT-258
5,1,LR,0.5000188536953243,0.55,APT-51;APT-107;APT-240;APT-242;APT-261
5,2,LR,0.7301470588235294,0.75,APT-103;APT-126;APT-194;APT-204;APT-285
5,3,LR,0.4850762527233115,0.55,APT-89;APT-112;APT-129;APT-185;APT-220
5,4,LR,0.647276688453159,0.675,APT-49;APT-50;APT-191;APT-217;APT-238
5,5,LR,0.7641178266178267,0.775,APT-13;APT-38;APT-162;APT-270;APT-284
5,6,LR,0.8782550782550783,0.875,APT-75;APT-79;APT-105;APT-126;APT-226
5,7,LR,0.6378327554798143,0.65,APT-16;APT-35;APT-171;APT-217;APT-247
5,8,LR,0.7282586694351401,0.725,APT-171;APT-218;APT-241;APT-273;APT-286
5,9,LR,0.711368163999743,0.775,APT-20;APT-171;APT-179;APT-268;APT-282
5,10,LR,0.7452020202020201,0.75,APT-10;APT-53;APT-57;APT-148;APT-267
5,11,LR,0.6614219114219114,0.675,APT-73;APT-88;APT-120;APT-128;APT-139
5,12,LR,0.598941798941799,0.625,APT-70;APT-165;APT-173;APT-204;APT-259
5,13,LR,0.44037537720402176,0.5,APT-85;APT-115;APT-121;APT-151;APT-184
5,14,LR,0.6420940170940171,0.675,APT-71;APT-100;APT-166;APT-220;APT-285
5,15,LR,0.6186469962785752,0.65,APT-20;APT-138;APT-143;APT-209;APT-229
5,16,LR,0.6829959256429845,0.7,APT-131;APT-172;APT-173;APT-219;APT-238
5,17,LR,0.798015873015873,0.8,APT-21;APT-27;APT-61;APT-91;APT-92
5,18,LR,0.73081860949508,0.75,APT-11;APT-81;APT-190;APT-204;APT-282
5,19,LR,0.5394179894179895,0.55,APT-67;APT-78;APT-277;APT-280;APT-290
5,20,LR,0.6129351155666946,0.65,APT-64;APT-75;APT-112;APT-169;APT-180
5,21,LR,0.7186813186813187,0.725,APT-47;APT-94;APT-142;APT-149;APT-218
5,22,LR,0.689514652014652,0.725,APT-75;APT-76;APT-112;APT-210;APT-230
5,23,LR,0.9042735042735043,0.9,APT-69;APT-85;APT-167;APT-190;APT-286
5,24,LR,0.6523989898989898,0.675,APT-23;APT-112;APT-156;APT-190;APT-221
5,25,LR,0.7774392274392276,0.775,APT-74;APT-116;APT-160;APT-166;APT-253
