comparison,mean,low,high
flat minus mlp,0.010015968841512984,-0.004656856280293524,0.023388843125751405
cascade minus flat,0.0011301940586106174,-0.009295478628201483,0.009329475034690908
flat_contrast minus flat,0.0005519188810751419,-0.005664235834760347,0.00709932961345163
cascade_contrast minus cascade,0.001730227721481764,-0.008657766521500168,0.012299867381096757
lr D1 minus D0,-0.023909010940954892,-0.034660275447475034,-0.0028183347909548216
lr D2 minus D0,-0.01837097198654529,-0.022291953800069323,-0.007160882599486966
lr D4 minus D0,0.22601895183892165,0.19897793980538137,0.2350868252193338
xgb D1 minus D0,-0.008102765182971261,-0.015889653060523923,-0.001586422363230699
xgb D2 minus D0,-0.0034602789552448388,-0.009238351290118735,-7.088127070308533e-05
xgb D4 minus D0,0.2277988356027972,0.196774489042779,0.23708330617312715
mlp D1 minus D0,-0.006324810855164453,-0.013637909773822444,0.0001246572567000913
mlp D2 minus D0,-0.002589857605245799,-0.009078175225522605,-0.0005225240598850762
mlp D4 minus D0,0.2385219842698681,0.20939280304501764,0.24580202417994684
flat D1 minus D0,-0.009699057520288518,-0.021059834285063753,0.0035900876713281273
flat D2 minus D0,-0.0051657771506339045,-0.011484964992831788,7.639769644322599e-06
flat D4 minus D0,0.22436954345442553,0.2013567878169345,0.23799003079273445
hce D1 minus D0,-0.004639376275613671,-0.010388961525866942,0.0029218259970320475
hce D2 minus D0,0.0,0.0,0.0
hce D4 minus D0,0.22450151063361568,0.19989355581016452,0.24008401033552235
cascade D1 minus D0,-0.011936449390799742,-0.022733850096562647,0.00023112744935900766
cascade D2 minus D0,-0.005250186504788146,-0.011287675908577429,0.0001379275763398734
cascade D4 minus D0,0.22232642544174203,0.20138869018809957,0.23629883641730817
flat_contrast D1 minus D0,-0.010840902839191868,-0.021209830708198513,0.0032281769297175084
flat_contrast D2 minus D0,-0.004778082995623767,-0.010264202787129828,0.0008542410728400977
flat_contrast D4 minus D0,0.22403758056865844,0.2012450318043125,0.23673833174312758
cascade_contrast D1 minus D0,-0.012419614721331407,-0.02335534955812882,-0.0013970146572979275
cascade_contrast D2 minus D0,-0.007184415893787016,-0.014411828367865441,-0.001053227446438442
cascade_contrast D4 minus D0,0.2259548081845962,0.20224089061630915,0.24012133344948977
contrastive interaction (D-C)-(B-A),0.0011783088404066222,-0.008732020302670486,0.010990911839091911
