model,decoding,mean,low,high,seed_values
lr,D0,0.1343615662419582,0.11407931892041835,0.14609522331813452,[0.1343615662419582]
lr,D1,0.1104525553010033,0.0975072872366275,0.1296880946894257,[0.1104525553010033]
lr,D2,0.1159905942554129,0.10021620363844116,0.13216758366084896,[0.1159905942554129]
lr,D4,0.36038051808087984,0.32070815611718506,0.37528761528004984,[0.36038051808087984]
lr,coarse,0.2963347190254537,0.27627249285428856,0.3147681217820208,[0.2963347190254537]
xgb,D0,0.13441384102290846,0.11781043636173542,0.14762348615413276,"[0.13480776160635238, 0.13476387376167345, 0.13366988770069954]"
xgb,D1,0.1263110758399372,0.112582219440251,0.1366023305629386,"[0.1261055832146177, 0.12603817516828814, 0.12678946913690575]"
xgb,D2,0.13095356206766362,0.11449733759840984,0.14249678752962458,"[0.13092657390586712, 0.13104892671620436, 0.13088518558091936]"
xgb,D4,0.36221267662570567,0.32319472278494304,0.3761498376462687,"[0.3610102011515551, 0.3621244158487065, 0.36350341287685534]"
xgb,coarse,0.3261604140750622,0.3035234848630344,0.3476457888024861,"[0.32628677851624327, 0.32580850537551587, 0.3263859583334275]"
mlp,D0,0.13704932352911003,0.12139684135530947,0.15184499439520627,"[0.13717092646089224, 0.13773105720766476, 0.1362459869187731]"
mlp,D1,0.13072451267394558,0.11644572250552976,0.14295189587574175,"[0.1316891185512247, 0.131775707447016, 0.12870871202359604]"
mlp,D2,0.13445946592386424,0.11956793727444476,0.14578246639108192,"[0.13425260252722737, 0.13581126164164925, 0.13331453360271608]"
mlp,D4,0.3755713077989781,0.3397561703988068,0.38756660683662214,"[0.37608644014079085, 0.3742903956915158, 0.37633708756462775]"
mlp,coarse,0.3328045425221244,0.30729734372575707,0.356199625309835,"[0.3367877771329268, 0.32960255130377697, 0.33202329912966927]"
flat,D0,0.14706529237062302,0.12660620918360393,0.16198263212776856,"[0.14062733389858761, 0.1537618962589484, 0.14680664695433301]"
flat,D1,0.1373662348503345,0.12157186656232287,0.15332596271139706,"[0.13615862266433792, 0.14202432602693632, 0.13391575585972923]"
flat,D2,0.14189951521998911,0.12484760282004542,0.1555508611566972,"[0.13823435352212107, 0.14881411313231058, 0.13865007900553572]"
flat,D4,0.37143483582504855,0.33355545655217955,0.3899009919706044,"[0.36095860492264464, 0.3733744358979023, 0.37997146665459874]"
flat,coarse,0.34166167554485544,0.31721452161841307,0.3651984979968637,"[0.34056025356583974, 0.34088185466701254, 0.343542918401714]"
hce,D0,0.14625530888742305,0.12626694143636452,0.16007080681842797,"[0.15111833554881035, 0.14113052796861417, 0.14651706314484464]"
hce,D1,0.14161593261180938,0.12409928330044172,0.15500654513374656,"[0.14571356753204012, 0.1362825270317782, 0.14285170327160976]"
hce,D2,0.14625530888742305,0.12626694143636452,0.16007080681842797,"[0.15111833554881035, 0.14113052796861417, 0.14651706314484464]"
hce,D4,0.3707568195210387,0.3315406531661126,0.39083621729979584,"[0.36825728267696245, 0.3650930501997695, 0.3789201256863844]"
hce,coarse,0.3394829880975565,0.31605808255877876,0.36182103323173764,"[0.34064932102751866, 0.3343726772600649, 0.343426966005086]"
cascade,D0,0.14819548642923364,0.12917897746225332,0.16101030374493278,"[0.14773341690194824, 0.1454824879452931, 0.15137055444045952]"
cascade,D1,0.1362590370384339,0.12174896845261594,0.14989234658283979,"[0.1358250596561782, 0.1374816519925608, 0.13547039946656272]"
cascade,D2,0.1429452999244455,0.12650816436591814,0.15493836813970577,"[0.14178183423666862, 0.14385210038425514, 0.1432019651524127]"
cascade,D4,0.37052191187097566,0.33473560107853184,0.3884184711146061,"[0.3684166907902301, 0.365065672987038, 0.3780833718356588]"
cascade,coarse,0.3359563103971958,0.3112966853892574,0.35894119035691646,"[0.33213577785442133, 0.33869942083408305, 0.337033732503083]"
flat_contrast,D0,0.14761721125169816,0.12581743232591946,0.16260308953856176,"[0.14588240658564805, 0.15364854051211663, 0.1433206866573298]"
flat_contrast,D1,0.1367763084125063,0.12031601196304274,0.15372108827738432,"[0.13754852345814042, 0.1407394802783145, 0.13204092150106397]"
flat_contrast,D2,0.1428391282560744,0.12502540799957707,0.1570687403659679,"[0.1434751319884197, 0.1477177776596707, 0.13732447512013277]"
flat_contrast,D4,0.3716547918203566,0.3323280383217459,0.39060747884715147,"[0.3654377447567651, 0.3822415383448997, 0.36728509235940515]"
flat_contrast,coarse,0.3386350447714264,0.31373916774939137,0.3620750716818293,"[0.33922337779471357, 0.3373935391133032, 0.3392882174062626]"
cascade_contrast,D0,0.1499257141507154,0.12826702392178918,0.1659246882502095,"[0.15802609870974754, 0.14743098048796405, 0.14432006325443464]"
cascade_contrast,D1,0.137506099429384,0.12161681113670904,0.15097437126801216,"[0.1415871545356302, 0.13545023257934674, 0.1354809111731751]"
cascade_contrast,D2,0.14274129825692838,0.12507096974696813,0.15668697226544015,"[0.14820790164194067, 0.1397774017999084, 0.1402385913289361]"
cascade_contrast,D4,0.3758805223353116,0.33793658682038297,0.39589685742627795,"[0.3819284811194456, 0.3845179901250219, 0.3611950957614672]"
cascade_contrast,coarse,0.33536240269690615,0.3103519951320327,0.3601814345543738,"[0.33927923325329623, 0.33222958359427823, 0.33457839124314387]"
