rna_width,budget,condition,task,estimate,ci_low,ci_high,seed_values
5000,full,rna,fine,0.7273146029667473,0.6688056595590521,0.7551755269619346,"[0.7254143554422087, 0.7296628569955584, 0.7268665964624746]"
5000,full,rna,coarse,0.9186394438129034,0.904243388710563,0.9290209535912135,"[0.9184612259907599, 0.9185301751375237, 0.9189269303104266]"
5000,full,rna_apt,fine,0.7236238380796541,0.6727242339330993,0.7499871109714116,"[0.7245331916774647, 0.7239773951746081, 0.7223609273868894]"
5000,full,rna_apt,coarse,0.9199738658012125,0.9054159032605359,0.9307006443396798,"[0.9195428219847749, 0.9206384852816063, 0.9197402901372564]"
10000,full,rna,fine,0.7283728594435788,0.6777602810663765,0.7547019272371892,"[0.7281846925804523, 0.7298823363534059, 0.7270515493968782]"
10000,full,rna,coarse,0.9201394543320882,0.9057184035022625,0.9308869657880645,"[0.9216094253969581, 0.9192965043522999, 0.9195124332470066]"
10000,full,rna_apt,fine,0.7487924852857503,0.6871401899118923,0.7803671969880088,"[0.7467264191150064, 0.7501427616918371, 0.7495082750504075]"
10000,full,rna_apt,coarse,0.9216278481043115,0.9066456105822526,0.9326586727385748,"[0.9207886643512783, 0.9220415532205116, 0.9220533267411444]"
10000,full,rna_noise,fine,0.7267852284218138,0.6752201336481679,0.7550080816627469,"[0.726070075263474, 0.7264255434937271, 0.72786006650824]"
10000,full,rna_noise,coarse,0.919384718905703,0.9043607089137743,0.9301559665983434,"[0.9201803743706586, 0.9196117873798221, 0.918361994966628]"
10000,full,patient_shuffle,fine,0.7524424808329441,0.6931744576938713,0.782148998087199,"[0.7581363928334491, 0.7436598745816347, 0.7555311750837483]"
10000,full,patient_shuffle,coarse,0.9220595753093441,0.9069054058777907,0.9330977022405749,"[0.9241724257399262, 0.9187457841966845, 0.9232605159914217]"
10000,full,lineage_shuffle,fine,0.7505004737972683,0.6897843458597167,0.7806942477275198,"[0.7469513359894502, 0.7557609303324218, 0.7487891550699328]"
10000,full,lineage_shuffle,coarse,0.9201077257335634,0.9039533003594223,0.9317177646364404,"[0.9192149092582499, 0.9192127726973816, 0.9218954952450586]"
