rna_width,task,comparison,estimate,ci_low,ci_high
5000,fine,rna_apt-minus-rna,-0.0036907648870931897,-0.014612030075976733,0.0165433952989024
5000,coarse,rna_apt-minus-rna,0.0013344219883091313,-0.0022127474452462324,0.005395145816914158
10000,fine,rna_apt-minus-rna,0.020419625842171496,0.0003748244700649689,0.03739529833118716
10000,coarse,rna_apt-minus-rna,0.0014883937722233176,-0.0021807709126306974,0.005305241259309717
10000,fine,rna_apt-minus-rna_noise,0.022007256863936453,0.0008155539300958971,0.03995263589673239
10000,coarse,rna_apt-minus-rna_noise,0.0022431291986085844,-0.000503283960737097,0.005365075308463214
10000,fine,rna_apt-minus-patient_shuffle,-0.0036499955471938073,-0.013118261996598306,0.006139965715892976
10000,coarse,rna_apt-minus-patient_shuffle,-0.0004317272050325949,-0.004400037470573714,0.003890243159542916
10000,fine,rna_apt-minus-lineage_shuffle,-0.0017079885115179883,-0.005867200894802066,0.003918970780114696
10000,coarse,rna_apt-minus-lineage_shuffle,0.001520122370748167,-0.0005808947348455995,0.004488159265878605
