comparison,metric,estimate,ci95_low,ci95_high
route-plain,fine_sb_macro_f1,0.001131216936799434,-0.00359298695403037,0.005041964737269933
route-plain,cross_lineage_error_rate,0.003919476089697116,-0.0028175995527249488,0.011116277557195431
route-plain,hierarchy_gap,-0.00425025517469188,-0.014810898416513596,0.0007794377744962086
within-plain,fine_sb_macro_f1,0.0048539536491574165,-0.00035727577333604917,0.010922121959660342
within-plain,cross_lineage_error_rate,-0.0006880497958230425,-0.00698414150462718,0.005814128473115176
within-plain,hierarchy_gap,0.005251419901241838,-0.005036422957343688,0.011481069577692097
align-plain,fine_sb_macro_f1,0.00040036837129067693,-0.006083034695509752,0.005273269151695884
align-plain,cross_lineage_error_rate,0.0010013636061426134,-0.006943898454806967,0.010411441027390882
align-plain,hierarchy_gap,0.0035230463882809926,-0.0021416309443338575,0.01055684451707927
route_align-plain,fine_sb_macro_f1,0.0008515699603448834,-0.005629064967002483,0.004601684247371072
route_align-plain,cross_lineage_error_rate,0.009657570495809675,0.001080193578186531,0.01852283263923056
route_align-plain,hierarchy_gap,0.0024108720686527862,-0.006244118137969298,0.00940317446497707
route_within-plain,fine_sb_macro_f1,0.005685560223212788,-0.0004864465837240046,0.012695450340167306
route_within-plain,cross_lineage_error_rate,-0.001384615409568024,-0.010142033921082214,0.007270471654072461
route_within-plain,hierarchy_gap,0.003086792473014799,-0.012340011624084166,0.008446226479528616
full-plain,fine_sb_macro_f1,0.004901707009878686,-0.005421866261399141,0.010749122591822239
full-plain,cross_lineage_error_rate,-0.0015893129187395938,-0.009647819690262356,0.0062951709008228635
full-plain,hierarchy_gap,0.005950697780192887,-0.0021645792729485095,0.012794145886084596
full_shuffled-plain,fine_sb_macro_f1,-0.00805711871621037,-0.018963176842549303,-0.0003021563425956211
full_shuffled-plain,cross_lineage_error_rate,0.0037764614380290107,-0.0030044830469630884,0.010697488845600329
full_shuffled-plain,hierarchy_gap,-0.012361213672104632,-0.028356238512137054,-0.0030247985616170363
strong_lineage-plain,fine_sb_macro_f1,0.0013021648761248061,-0.003287476070957212,0.005318763879637326
strong_lineage-plain,cross_lineage_error_rate,0.0005883603459510001,-0.007168903268141437,0.007171897241806431
strong_lineage-plain,hierarchy_gap,-0.005500590962999097,-0.01420826503198482,0.002911828897872354
