condition,seed,fine_sb_macro_f1,coarse_sb_macro_f1,cross_lineage_fraction_of_errors,within_lineage_fraction_of_errors,cross_lineage_error_rate,fine_outside_parent_given_coarse_correct,oracle_fine_sb_macro_f1,hierarchy_gap,correct_rate,within_lineage_error_rate
plain,17,0.13717092646089224,0.3367877771329268,0.7482416253635229,0.2517583746364771,0.49231757319223357,0.17791088021426804,0.37608644014079085,0.2389155136798986,0.34214478058732606,0.16553764622044037
plain,29,0.13773105720766476,0.32960255130377697,0.7426084983059844,0.2573915016940155,0.4903851504426859,0.17251246840264736,0.3742903956915158,0.23655933848385102,0.3405765448188976,0.16903830473841647
plain,43,0.1362459869187731,0.33202329912966927,0.7401962853101652,0.2598037146898348,0.48951598122324497,0.17635830764706958,0.37633708756462775,0.24009110064585465,0.3388221869156331,0.17166183186112188
route,17,0.13816928423015234,0.33602278128020313,0.7466644493655954,0.2533355506344047,0.49644858339081727,0.19278307324676652,0.373148269300359,0.23497898507020665,0.3349682275892908,0.16858318901989194
route,29,0.1399690596785332,0.3315306718201619,0.7402382316797973,0.2597617683202027,0.4925984261098586,0.18370176940835625,0.3731772007218859,0.23320814104335272,0.33518371959246385,0.17221785429767753
route,43,0.13640327748904288,0.3287892774262941,0.74459925412432,0.25540074587568007,0.4949301236265802,0.185332863972762,0.37103133866101223,0.23462806117196935,0.33647816667718466,0.16859170969623521
within,17,0.14087422485911777,0.32915897038748565,0.736897452118258,0.26310254788174203,0.48843376661797383,0.16332681901894192,0.38825058432389453,0.24737635946477676,0.3379232017007934,0.1736430316812328
within,29,0.13995918946021704,0.3275455523195977,0.7364928488216836,0.26350715117831636,0.4895602546854696,0.17630513267336298,0.3795758286934177,0.23961663923320067,0.3356865771541352,0.17475316816039527
within,43,0.14487641721546748,0.33302316937463894,0.7392639368286167,0.2607360631713834,0.4921605341672519,0.16295068476139768,0.38920363103082,0.24432721381535252,0.33440221202389697,0.17343725380885114
align,17,0.13777841675319605,0.3409027924255244,0.7440435961227548,0.2559564038772452,0.49123694117103545,0.167682000652906,0.37652383073511697,0.23874541398192092,0.3398256088058573,0.16893745002310728
align,29,0.13712130344546822,0.32482770092543395,0.7335223337473061,0.26647766625269387,0.48590261461900663,0.16917763631089233,0.3806013850970821,0.24348008165161386,0.33804578611551755,0.17605159926547587
align,43,0.13744935550253784,0.33278819649177527,0.752897385491585,0.2471026145084151,0.49808323988655034,0.1894479655226029,0.38135895184345037,0.24390959634091253,0.3390413058128531,0.1628754543005965
route_align,17,0.13584693179803592,0.3417180728704701,0.7546151143512969,0.24538488564870303,0.5016032020709874,0.1932113767514283,0.375986891893852,0.24013996009581606,0.33541590522568726,0.16298089270332528
route_align,29,0.13996049311851544,0.33580691001544827,0.7459087457296301,0.25409125427037005,0.49735089096660995,0.18395776034477201,0.379754572994138,0.23979407987562257,0.3334802588177901,0.1691688502155999
route_align,43,0.13789525555181337,0.33480996237903515,0.7522506823920113,0.24774931760798866,0.5022373233079964,0.18008857208551018,0.3807597845959375,0.24286452904412414,0.33291228771071885,0.16485038898128473
route_within,17,0.14232635855350756,0.3295316088928957,0.7289736025290561,0.27102639747094404,0.48484944929848994,0.1560750335389866,0.3830266190245923,0.24070026047108473,0.3359072701900748,0.17924328051143515
route_within,29,0.1409630837972149,0.3316785549627867,0.7368999566091705,0.26310004339082954,0.48952013728429095,0.17171884376040544,0.38094263727305927,0.23997955347584438,0.33606711880652923,0.17441274390917982
route_within,43,0.14491520890624607,0.3265615005446576,0.741371910652522,0.25862808934747805,0.49369527204667973,0.173067753811267,0.3890617251879657,0.24414651628171966,0.3337546173175493,0.17255011063577097
full,17,0.1427174461565005,0.33647752089937955,0.735646762090606,0.26435323790939413,0.4894730814578054,0.1684176440737634,0.3859956818508022,0.24327823569430168,0.3351129847760772,0.1754139337661174
full,29,0.13962874483613094,0.3296949420932588,0.7320078883010825,0.2679921116989174,0.48695854665815086,0.16018920725583516,0.3837837819614882,0.24415503712535727,0.33513876199726317,0.1779026913445859
full,43,0.14350690062433466,0.33035761090497273,0.738948654720285,0.2610513452797151,0.4910191379859897,0.18317399592596942,0.38949167395485873,0.24598477333052407,0.33467271174266094,0.17430815027134935
full_shuffled,17,0.1308082206142906,0.33810523298323797,0.745321689930668,0.25467831006933206,0.49369414005432377,0.1795171758873536,0.3585727281721163,0.22776450755782568,0.33782673427152526,0.16847912567415096
full_shuffled,29,0.12690266971132874,0.32923655125539153,0.744368851822249,0.25563114817775096,0.4934979841062262,0.17570645884507444,0.34871152483236784,0.2218088551210391,0.3378870993803461,0.1686149165134278
full_shuffled,43,0.1292657241130797,0.32810055660935766,0.7462757691791442,0.2537242308208558,0.49635596501170165,0.18147160200687978,0.3581746732275054,0.2289089491144257,0.3348914382972962,0.16875259669100215
strong_lineage,17,0.13751052916442463,0.34203541961059125,0.7477310286955261,0.252268971304474,0.4934407976254135,0.16642960827866013,0.3739434459790399,0.23643291681461526,0.33969194556773485,0.16686725680685172
strong_lineage,29,0.1386338468205272,0.3325676641540365,0.7358938985318962,0.2641061014681037,0.4858877065536986,0.16648120755583468,0.36304467552084296,0.22441082870031576,0.3397820118077404,0.17433028163856096
strong_lineage,43,0.1389100892307527,0.3397825143849411,0.7470701039271626,0.2529298960728374,0.49465528171690554,0.18265480343880158,0.3771305236364288,0.23822043440567608,0.33867219744039223,0.1666725208427022
