lineage,method,estimate,low,high,classes,patients,cells,seed_values
all,APT,0.14098237845445663,0.12449247405234701,0.15437978732078045,27,40,361792,"[0.13789789800846441, 0.142448011593857, 0.14260122576104847]"
all,APT_oracle,0.3852114456032796,0.35041118123401327,0.3980402580896263,27,40,361792,"[0.3886919735094455, 0.38186024393255524, 0.3850821193678379]"
all,prior_MAP,0.14797434913898955,0.14127041597783854,0.1536714491576066,27,40,361792,"[0.14797434913898955, 0.14797434913898955, 0.14797434913898955]"
all,prior_expected,0.1798346603007621,0.1746413165775362,0.18245869031793516,27,40,361792,"[0.1798346603007621, 0.1798346603007621, 0.1798346603007621]"
B,APT,0.14422176269824058,0.11819540588923286,0.1679730107258383,5,40,32089,"[0.13667771164256043, 0.1501693882086472, 0.1458181882435141]"
B,APT_oracle,0.48045193434227307,0.4209179527154873,0.5145638973609973,5,40,32089,"[0.48291756804221686, 0.47269030617060076, 0.48574792881400164]"
B,prior_MAP,0.17560702790928176,0.17001928421436838,0.1809125904722537,5,40,32089,"[0.1756070279092818, 0.1756070279092818, 0.1756070279092818]"
B,prior_expected,0.19340610480800946,0.18712892854199598,0.19719527701864253,5,40,32089,"[0.19340610480800946, 0.19340610480800946, 0.19340610480800946]"
Myeloid,APT,0.1865555694385462,0.1527066740175689,0.21078581474378305,8,40,67995,"[0.18858348680074322, 0.18800736497520373, 0.18307585653969155]"
Myeloid,APT_oracle,0.27445925988158043,0.24446996682221991,0.29386824772309345,8,40,67995,"[0.27312024746130453, 0.2770917372028714, 0.27316579498056537]"
Myeloid,prior_MAP,0.07235695600142827,0.06759215092311054,0.076847829683639,8,40,67995,"[0.07235695600142827, 0.07235695600142827, 0.07235695600142827]"
Myeloid,prior_expected,0.12392123884414556,0.1217649135139431,0.124516830030588,8,40,67995,"[0.12392123884414556, 0.12392123884414556, 0.12392123884414556]"
NK,APT,0.5794674019795808,0.47837527682593756,0.6399495916246064,2,40,96949,"[0.5869200934460275, 0.5771091003490351, 0.5743730121436799]"
NK,APT_oracle,0.8662621390594974,0.7930827463823872,0.8958623476365097,2,40,96949,"[0.8678788687076371, 0.8657998122366929, 0.8651077362341619]"
NK,prior_MAP,0.4344805798057183,0.4016208054423403,0.4636758583105821,2,40,96949,"[0.4344805798057183, 0.4344805798057183, 0.4344805798057183]"
NK,prior_expected,0.47846196209620717,0.45083769011858116,0.49458501793818843,2,40,96949,"[0.47846196209620717, 0.47846196209620717, 0.47846196209620717]"
Other,APT,0.04187029800274625,0.002270476648464417,0.24534868418788763,2,38,1639,"[0.02739107994188809, 0.04951754675711015, 0.0487022673092405]"
Other,APT_oracle,0.8855995107786651,0.5765072668359603,0.944940939604239,2,38,1639,"[0.937673215490414, 0.8561143158947104, 0.8630110009508705]"
Other,prior_MAP,0.4961010168451507,0.4904993948096837,0.49966799976205306,2,38,1639,"[0.4961010168451507, 0.4961010168451507, 0.4961010168451507]"
Other,prior_expected,0.49037224514294947,0.48580184430853135,0.4941111072526548,2,38,1639,"[0.49037224514294947, 0.49037224514294947, 0.49037224514294947]"
T,APT,0.1440043224166889,0.119158512009557,0.15949166521754718,10,40,163120,"[0.13681134183879246, 0.1442869049882878, 0.15091472042298643]"
T,APT_oracle,0.23029644125450657,0.2038034987435947,0.24240675422815267,10,40,163120,"[0.22846095880944534, 0.23144960163085151, 0.23097876332322284]"
T,prior_MAP,0.0674855718080696,0.06120512464824178,0.07291820003220527,10,40,163120,"[0.0674855718080696, 0.0674855718080696, 0.0674855718080696]"
T,prior_expected,0.09560938026106121,0.0909105501424339,0.09819335685444049,10,40,163120,"[0.09560938026106121, 0.09560938026106121, 0.09560938026106121]"
