lineage,comparison,estimate,low,high
all,APT_oracle-minus-APT,0.24422906714882295,0.2183009890712932,0.2528070319974677
all,APT_oracle-minus-prior_MAP,0.23723709646429003,0.19814677541928588,0.25386804558410603
all,APT_oracle-minus-prior_expected,0.2053767853025175,0.17386068831630383,0.21656483984529587
B,APT_oracle-minus-APT,0.33623017164403246,0.2851016191326785,0.369176752191209
B,APT_oracle-minus-prior_MAP,0.30484490643299134,0.24205741620689225,0.3412002740087804
B,APT_oracle-minus-prior_expected,0.2870458295342636,0.23077196776780032,0.3203079568627046
Myeloid,APT_oracle-minus-APT,0.08790369044303423,0.06907974285530569,0.10629212884506842
Myeloid,APT_oracle-minus-prior_MAP,0.20210230388015216,0.171228439678046,0.22295455010736495
Myeloid,APT_oracle-minus-prior_expected,0.15053802103743485,0.1220900374849826,0.17024413672130329
NK,APT_oracle-minus-APT,0.28679473707991665,0.22979794218044042,0.35344980391993525
NK,APT_oracle-minus-prior_MAP,0.43178155925377915,0.3298893468193291,0.4894036228274343
NK,APT_oracle-minus-prior_expected,0.3878001769632903,0.33698748941236967,0.41129680762721255
Other,APT_oracle-minus-APT,0.8437292127759188,0.5273885782247362,0.9284560512170065
Other,APT_oracle-minus-prior_MAP,0.3894984939335144,0.07695698397624434,0.451935970168446
Other,APT_oracle-minus-prior_expected,0.3952272656357156,0.08556593513984911,0.45787807860784174
T,APT_oracle-minus-APT,0.08629211883781768,0.06751037018164262,0.1021984179493872
T,APT_oracle-minus-prior_MAP,0.16281086944643697,0.13217673325127416,0.17899959242035757
T,APT_oracle-minus-prior_expected,0.13468706099344535,0.11251027438589171,0.14514325605418432
