model,scope,method,mean,seed_values,patient_counts,cell_counts
sgd,B,rna,0.5181206651719034,"[0.5172923493232706, 0.5212243445228594, 0.51584530166958]","[40, 40, 40]","[32089, 32089, 32089]"
sgd,B,apt,0.1331663611578582,"[0.14153417797035378, 0.12745756878949027, 0.13050733671373058]","[40, 40, 40]","[32089, 32089, 32089]"
sgd,B,rna_apt,0.5428100995220355,"[0.5425916607455064, 0.5442128258936976, 0.5416258119269026]","[40, 40, 40]","[32089, 32089, 32089]"
sgd,B,rna_noise,0.5020141943439237,"[0.4989705198534888, 0.5123313678133391, 0.49474069536494314]","[40, 40, 40]","[32089, 32089, 32089]"
sgd,B,rna_oracle,0.5559940465405789,"[0.5583933428744405, 0.5577398860118837, 0.5518489107354128]","[40, 40, 40]","[32089, 32089, 32089]"
sgd,B,apt_oracle,0.3336636125616012,"[0.34733581061882807, 0.3324676250865507, 0.3211874019794248]","[40, 40, 40]","[32089, 32089, 32089]"
sgd,B,prior_oracle,0.17560702790928176,"[0.1756070279092818, 0.1756070279092818, 0.1756070279092818]","[40, 40, 40]","[32089, 32089, 32089]"
sgd,B,patient_shuffle_0,0.5236633801287606,"[0.5261703930136258, 0.5302147325383826, 0.5146050148342735]","[40, 40, 40]","[32089, 32089, 32089]"
sgd,B,patient_shuffle_1,0.527585726370757,"[0.5385829156921864, 0.5140625134677588, 0.5301117499523258]","[40, 40, 40]","[32089, 32089, 32089]"
sgd,B,patient_shuffle_2,0.5219452286620183,"[0.5310171526182893, 0.5145630737713278, 0.5202554595964379]","[40, 40, 40]","[32089, 32089, 32089]"
sgd,B,lineage_shuffle_0,0.5247642555543478,"[0.5094660459318139, 0.5330209622652943, 0.5318057584659351]","[40, 40, 40]","[32089, 32089, 32089]"
sgd,B,lineage_shuffle_1,0.522932232075677,"[0.52177831959707, 0.5261070976264912, 0.5209112790034699]","[40, 40, 40]","[32089, 32089, 32089]"
sgd,B,lineage_shuffle_2,0.5305256856506647,"[0.53529108575608, 0.5248301414997145, 0.5314558296961998]","[40, 40, 40]","[32089, 32089, 32089]"
sgd,B,prior_expected_cm,0.19909091845523494,"[0.19909091845523494, 0.19909091845523494, 0.19909091845523494]","[40, 40, 40]","[32089, 32089, 32089]"
