seed,total,patient_budget,model,task,patient_balanced_macro_f1,observed_class_count,unseen_at_training_class_count,actual_contributing_patients,mean_class_donor_coverage
0,3200,16,logistic_regression,coarse,0.27132773710232605,5.0,0.0,16.0,15.52
0,3200,16,logistic_regression,fine,0.056407502523316756,27.0,0.0,16.0,13.68148148148148
0,3200,32,logistic_regression,coarse,0.27248919030763935,5.0,0.0,32.0,28.48
0,3200,32,logistic_regression,fine,0.055161168282535776,27.0,0.0,32.0,24.637037037037036
0,3200,8,logistic_regression,coarse,0.26165577327383815,5.0,0.0,8.0,7.92
0,3200,8,logistic_regression,fine,0.056629328088643315,27.0,0.0,8.0,7.125925925925927
0,6400,16,logistic_regression,coarse,0.28055774446841275,5.0,0.0,16.0,15.88
0,6400,16,logistic_regression,fine,0.05762603341722741,27.0,0.0,16.0,14.244444444444445
0,6400,32,logistic_regression,coarse,0.28291420166679626,5.0,0.0,32.0,30.880000000000003
0,6400,32,logistic_regression,fine,0.05393309103146495,27.0,0.0,32.0,27.051851851851854
0,6400,8,logistic_regression,coarse,0.2736410337968258,5.0,0.0,8.0,7.92
0,6400,8,logistic_regression,fine,0.05980858272401853,27.0,0.0,8.0,7.207407407407406
1,3200,16,logistic_regression,coarse,0.273719481387036,5.0,0.0,16.0,15.52
1,3200,16,logistic_regression,fine,0.05431780196205791,26.8,0.2,16.0,14.095726495726495
1,3200,32,logistic_regression,coarse,0.2738176883612733,5.0,0.0,32.0,28.599999999999994
1,3200,32,logistic_regression,fine,0.053469484535798154,26.8,0.2,32.0,25.51965811965812
1,3200,8,logistic_regression,coarse,0.25963251725119785,5.0,0.0,8.0,7.92
1,3200,8,logistic_regression,fine,0.05649347672021658,26.8,0.2,8.0,7.294586894586894
1,6400,16,logistic_regression,coarse,0.2768217922325836,5.0,0.0,16.0,15.879999999999999
1,6400,16,logistic_regression,fine,0.056240075745583935,26.8,0.2,16.0,14.507122507122508
1,6400,32,logistic_regression,coarse,0.28243159180630406,5.0,0.0,32.0,30.919999999999998
1,6400,32,logistic_regression,fine,0.05284171659661348,26.8,0.2,32.0,27.97207977207977
1,6400,8,logistic_regression,coarse,0.26283362357611567,5.0,0.0,8.0,7.92
1,6400,8,logistic_regression,fine,0.055984477456521645,26.8,0.2,8.0,7.331908831908832
2,3200,16,logistic_regression,coarse,0.2689390487744216,5.0,0.0,16.0,15.36
2,3200,16,logistic_regression,fine,0.05787296241512846,27.0,0.0,16.0,13.288888888888888
2,3200,32,logistic_regression,coarse,0.2709162101776345,5.0,0.0,32.0,28.6
2,3200,32,logistic_regression,fine,0.05461505344694163,27.0,0.0,32.0,24.0962962962963
2,3200,8,logistic_regression,coarse,0.26801456833878223,5.0,0.0,8.0,7.76
2,3200,8,logistic_regression,fine,0.05779676618327389,27.0,0.0,8.0,6.874074074074075
2,6400,16,logistic_regression,coarse,0.28041859506268046,5.0,0.0,16.0,15.679999999999998
2,6400,16,logistic_regression,fine,0.05647890007319057,27.0,0.0,16.0,13.822222222222223
2,6400,32,logistic_regression,coarse,0.2779523211101692,5.0,0.0,32.0,30.68
2,6400,32,logistic_regression,fine,0.05444374811150109,27.0,0.0,32.0,26.607407407407415
2,6400,8,logistic_regression,coarse,0.27642441943216156,5.0,0.0,8.0,7.76
2,6400,8,logistic_regression,fine,0.057678920488698805,27.0,0.0,8.0,6.970370370370371
3,3200,16,logistic_regression,coarse,0.27180582443856116,5.0,0.0,16.0,14.88
3,3200,16,logistic_regression,fine,0.05462672996109769,26.4,0.6,16.0,13.56923076923077
3,3200,32,logistic_regression,coarse,0.27108109063748176,5.0,0.0,32.0,27.68
3,3200,32,logistic_regression,fine,0.054893155586501576,26.4,0.6,32.0,24.742450142450142
3,3200,8,logistic_regression,coarse,0.273264424398452,5.0,0.0,8.0,7.8
3,3200,8,logistic_regression,fine,0.05748077759714553,26.4,0.6,8.0,7.040170940170941
3,6400,16,logistic_regression,coarse,0.2818081989773463,5.0,0.0,16.0,15.76
3,6400,16,logistic_regression,fine,0.05646113800572437,26.4,0.6,16.0,14.233618233618234
3,6400,32,logistic_regression,coarse,0.2812650658635967,5.0,0.0,32.0,29.52
3,6400,32,logistic_regression,fine,0.056293205053012045,26.4,0.6,32.0,26.956695156695154
3,6400,8,logistic_regression,coarse,0.2842001825644557,5.0,0.0,8.0,7.8
3,6400,8,logistic_regression,fine,0.05967991258419582,26.4,0.6,8.0,7.152991452991453
4,3200,16,logistic_regression,coarse,0.27178996225546403,5.0,0.0,16.0,15.279999999999998
4,3200,16,logistic_regression,fine,0.05644127627124217,26.8,0.2,16.0,13.835327635327635
4,3200,32,logistic_regression,coarse,0.27216280783975977,5.0,0.0,32.0,28.52
4,3200,32,logistic_regression,fine,0.05611154494005818,26.8,0.2,32.0,24.98176638176638
4,3200,8,logistic_regression,coarse,0.2743458317998251,5.0,0.0,8.0,7.839999999999999
4,3200,8,logistic_regression,fine,0.05804930611313237,26.8,0.2,8.0,7.093732193732194
4,6400,16,logistic_regression,coarse,0.27695314428031825,5.0,0.0,16.0,15.84
4,6400,16,logistic_regression,fine,0.056968055902300335,26.8,0.2,16.0,14.313390313390315
4,6400,32,logistic_regression,coarse,0.2827147589021212,5.0,0.0,32.0,30.52
4,6400,32,logistic_regression,fine,0.05627013708113048,26.8,0.2,32.0,27.46666666666667
4,6400,8,logistic_regression,coarse,0.2800224520637132,5.0,0.0,8.0,7.839999999999999
4,6400,8,logistic_regression,fine,0.059575929345092864,26.8,0.2,8.0,7.138176638176638
5,3200,16,logistic_regression,coarse,0.2754848594467321,5.0,0.0,16.0,15.4
5,3200,16,logistic_regression,fine,0.0577558595144553,26.8,0.2,16.0,14.145868945868946
5,3200,32,logistic_regression,coarse,0.2754069007988762,5.0,0.0,32.0,28.48
5,3200,32,logistic_regression,fine,0.05554845953365062,26.8,0.2,32.0,25.385185185185186
5,3200,8,logistic_regression,coarse,0.26364253342786825,5.0,0.0,8.0,7.88
5,3200,8,logistic_regression,fine,0.05592136947975326,26.8,0.2,8.0,7.2250712250712255
5,6400,16,logistic_regression,coarse,0.28356913178242915,5.0,0.0,16.0,15.84
5,6400,16,logistic_regression,fine,0.05821744319508369,26.8,0.2,16.0,14.622222222222224
5,6400,32,logistic_regression,coarse,0.28736644476581796,5.0,0.0,32.0,30.639999999999997
5,6400,32,logistic_regression,fine,0.054305822344833686,26.8,0.2,32.0,27.945014245014242
5,6400,8,logistic_regression,coarse,0.2706545735589299,5.0,0.0,8.0,7.88
5,6400,8,logistic_regression,fine,0.06057283479232424,26.8,0.2,8.0,7.255270655270655
6,3200,16,logistic_regression,coarse,0.27183327098256266,5.0,0.0,16.0,15.64
6,3200,16,logistic_regression,fine,0.05542208043884581,27.0,0.0,16.0,14.103703703703705
6,3200,32,logistic_regression,coarse,0.27612814603059066,5.0,0.0,32.0,29.32
6,3200,32,logistic_regression,fine,0.05541448339426968,27.0,0.0,32.0,24.97037037037037
6,3200,8,logistic_regression,coarse,0.2702565738565953,5.0,0.0,8.0,7.959999999999999
6,3200,8,logistic_regression,fine,0.05682843397417177,27.0,0.0,8.0,7.318518518518519
6,6400,16,logistic_regression,coarse,0.28386236726059266,5.0,0.0,16.0,15.88
6,6400,16,logistic_regression,fine,0.05548501861015225,27.0,0.0,16.0,14.592592592592592
6,6400,32,logistic_regression,coarse,0.28420812773189646,5.0,0.0,32.0,31.080000000000002
6,6400,32,logistic_regression,fine,0.0564674421334476,27.0,0.0,32.0,27.725925925925925
6,6400,8,logistic_regression,coarse,0.2746518409707638,5.0,0.0,8.0,7.959999999999999
6,6400,8,logistic_regression,fine,0.05882744195744901,27.0,0.0,8.0,7.355555555555554
7,3200,16,logistic_regression,coarse,0.2710105237455121,5.0,0.0,16.0,15.440000000000001
7,3200,16,logistic_regression,fine,0.05545633897271883,26.8,0.2,16.0,13.926495726495727
7,3200,32,logistic_regression,coarse,0.2763106462507755,5.0,0.0,32.0,28.640000000000004
7,3200,32,logistic_regression,fine,0.05389828149419055,26.8,0.2,32.0,25.21168091168091
7,3200,8,logistic_regression,coarse,0.271041483506989,5.0,0.0,8.0,7.959999999999999
7,3200,8,logistic_regression,fine,0.05535728090344257,26.8,0.2,8.0,7.247008547008546
7,6400,16,logistic_regression,coarse,0.27838685555727494,5.0,0.0,16.0,15.879999999999999
7,6400,16,logistic_regression,fine,0.056894772345353214,26.8,0.2,16.0,14.366951566951565
7,6400,32,logistic_regression,coarse,0.2844588497806564,5.0,0.0,32.0,30.6
7,6400,32,logistic_regression,fine,0.054023720558952264,26.8,0.2,32.0,27.57122507122507
7,6400,8,logistic_regression,coarse,0.27754454846158544,5.0,0.0,8.0,7.959999999999999
7,6400,8,logistic_regression,fine,0.05850464875361513,26.8,0.2,8.0,7.291737891737893
8,3200,16,logistic_regression,coarse,0.2742946465456001,5.0,0.0,16.0,15.0
8,3200,16,logistic_regression,fine,0.05652522997593032,26.8,0.2,16.0,13.317378917378917
8,3200,32,logistic_regression,coarse,0.2723709788934151,5.0,0.0,32.0,27.8
8,3200,32,logistic_regression,fine,0.056156955248589054,26.8,0.2,32.0,24.11196581196581
8,3200,8,logistic_regression,coarse,0.27513208698635805,5.0,0.0,8.0,7.92
8,3200,8,logistic_regression,fine,0.05812593292397814,26.8,0.2,8.0,7.00940170940171
