actual_contributing_patients,fit_seconds,fold,inference_seconds,mean_class_donor_coverage,min_class_donor_coverage,model,n_classes,n_test_cells,n_train_cells,observed_class_count,patient_budget,protocol_hash,seed,status,task,total,unseen_at_training_class_count,wall_seconds
16,1.1969872526824474,0,0.031738853082060814,15.6,14,logistic_regression,5,66980,3200,5,16,d53c22dd7c1e22fc,0,success,coarse,3200,0,1.30895134806633
16,3.4440923240035772,0,0.05286805424839258,14.148148148148149,2,logistic_regression,27,66980,3200,27,16,d53c22dd7c1e22fc,0,success,fine,3200,0,3.57411019038409
32,1.0489476853981614,0,0.03125215880572796,28.4,14,logistic_regression,5,66980,3200,5,32,d53c22dd7c1e22fc,0,success,coarse,3200,0,1.1746532591059804
32,2.748352114111185,0,0.0583597831428051,25.11111111111111,2,logistic_regression,27,66980,3200,27,32,d53c22dd7c1e22fc,0,success,fine,3200,0,2.9426522981375456
8,1.102527811191976,0,0.02910827100276947,8.0,8,logistic_regression,5,66980,3200,5,8,d53c22dd7c1e22fc,0,success,coarse,3200,0,1.200195492245257
8,3.4023962588980794,0,0.05202146992087364,7.407407407407407,1,logistic_regression,27,66980,3200,27,8,d53c22dd7c1e22fc,0,success,fine,3200,0,3.52320674341172
16,2.7969696735963225,0,0.028955623507499695,16.0,16,logistic_regression,5,66980,6400,5,16,d53c22dd7c1e22fc,0,success,coarse,6400,0,2.906196196563542
16,5.571387982927263,0,0.05279422178864479,14.592592592592593,2,logistic_regression,27,66980,6400,27,16,d53c22dd7c1e22fc,0,success,fine,6400,0,5.706297454424202
32,2.8923224546015263,0,0.031138090416789055,31.0,27,logistic_regression,5,66980,6400,5,32,d53c22dd7c1e22fc,0,success,coarse,6400,0,3.0216957293450832
32,4.948926942422986,0,0.051577490754425526,27.88888888888889,2,logistic_regression,27,66980,6400,27,32,d53c22dd7c1e22fc,0,success,fine,6400,0,5.0955745140090585
8,2.7975510908290744,0,0.028687667101621628,8.0,8,logistic_regression,5,66980,6400,5,8,d53c22dd7c1e22fc,0,success,coarse,6400,0,2.8964200420305133
8,6.390664693899453,0,0.05512912850826979,7.518518518518518,1,logistic_regression,27,66980,6400,27,8,d53c22dd7c1e22fc,0,success,fine,6400,0,6.518567939288914
16,0.948528628796339,0,0.029449475929141045,15.4,13,logistic_regression,5,66980,3200,5,16,d53c22dd7c1e22fc,1,success,coarse,3200,0,1.0550547679886222
16,1.8828207030892372,0,0.054940368980169296,13.814814814814815,1,logistic_regression,27,66980,3200,27,16,d53c22dd7c1e22fc,1,success,fine,3200,0,2.018036849796772
