seed,total,patient_budget,model,task,patient_balanced_macro_f1,observed_class_count,unseen_at_training_class_count,actual_contributing_patients,mean_class_donor_coverage
0,3200,16,logistic_regression,coarse,0.9837980151918548,5.0,0.0,16.0,15.559999999999999
0,3200,16,logistic_regression,fine,0.5060945067170669,38.8,0.2,16.0,13.532658569500674
0,3200,32,logistic_regression,coarse,0.9799928171300938,5.0,0.0,32.0,29.080000000000002
0,3200,32,logistic_regression,fine,0.5064613952471797,38.8,0.2,32.0,22.500944669365722
0,3200,8,logistic_regression,coarse,0.9805194739723037,5.0,0.0,8.0,8.0
0,3200,8,logistic_regression,fine,0.5059444552583161,38.8,0.2,8.0,7.232523616734143
0,6400,16,logistic_regression,coarse,0.9846343089795606,5.0,0.0,16.0,15.879999999999999
0,6400,16,logistic_regression,fine,0.5208811148712307,38.8,0.2,16.0,14.367206477732793
0,6400,32,logistic_regression,coarse,0.9849528772369828,5.0,0.0,32.0,31.04
0,6400,32,logistic_regression,fine,0.518748471083747,38.8,0.2,32.0,26.787179487179486
0,6400,8,logistic_regression,coarse,0.9837594810783804,5.0,0.0,8.0,8.0
0,6400,8,logistic_regression,fine,0.5201909778651238,38.8,0.2,8.0,7.350877192982456
1,3200,16,logistic_regression,coarse,0.9807166921501784,5.0,0.0,16.0,15.439999999999998
1,3200,16,logistic_regression,fine,0.5095303195151528,39.0,0.0,16.0,13.466666666666669
1,3200,32,logistic_regression,coarse,0.9817309154886977,5.0,0.0,32.0,28.68
1,3200,32,logistic_regression,fine,0.507300303606246,39.0,0.0,32.0,23.235897435897435
1,3200,8,logistic_regression,coarse,0.9812665202330952,5.0,0.0,8.0,7.959999999999999
1,3200,8,logistic_regression,fine,0.5108984595161788,39.0,0.0,8.0,7.194871794871794
1,6400,16,logistic_regression,coarse,0.980385180066075,5.0,0.0,16.0,15.959999999999999
1,6400,16,logistic_regression,fine,0.5172659535503149,39.0,0.0,16.0,14.205128205128204
1,6400,32,logistic_regression,coarse,0.9823155421262075,5.0,0.0,32.0,30.76
1,6400,32,logistic_regression,fine,0.5156470700402225,39.0,0.0,32.0,26.74871794871795
1,6400,8,logistic_regression,coarse,0.9817867100010507,5.0,0.0,8.0,7.959999999999999
1,6400,8,logistic_regression,fine,0.5233495060349599,39.0,0.0,8.0,7.323076923076923
2,3200,16,logistic_regression,coarse,0.9843347920409482,5.0,0.0,16.0,15.959999999999999
2,3200,16,logistic_regression,fine,0.5086911605938917,39.0,0.0,16.0,13.54871794871795
2,3200,32,logistic_regression,coarse,0.9836297613665274,5.0,0.0,32.0,30.040000000000003
2,3200,32,logistic_regression,fine,0.5095177625087948,39.0,0.0,32.0,22.75897435897436
2,3200,8,logistic_regression,coarse,0.9834176555153775,5.0,0.0,8.0,8.0
2,3200,8,logistic_regression,fine,0.5062346368822881,39.0,0.0,8.0,7.194871794871796
2,6400,16,logistic_regression,coarse,0.9826497879544368,5.0,0.0,16.0,15.959999999999999
2,6400,16,logistic_regression,fine,0.5212928502480475,39.0,0.0,16.0,14.4
2,6400,32,logistic_regression,coarse,0.982820431902903,5.0,0.0,32.0,31.96
2,6400,32,logistic_regression,fine,0.520241379403272,39.0,0.0,32.0,26.887179487179488
2,6400,8,logistic_regression,coarse,0.9825327043399879,5.0,0.0,8.0,8.0
2,6400,8,logistic_regression,fine,0.5255609634926216,39.0,0.0,8.0,7.292307692307692
3,3200,16,logistic_regression,coarse,0.9815255171334891,5.0,0.0,16.0,15.76
3,3200,16,logistic_regression,fine,0.5056426836205495,39.0,0.0,16.0,13.4
3,3200,32,logistic_regression,coarse,0.9815521864400549,5.0,0.0,32.0,29.119999999999997
3,3200,32,logistic_regression,fine,0.5110669944993111,39.0,0.0,32.0,22.51794871794872
3,3200,8,logistic_regression,coarse,0.9802589079755769,5.0,0.0,8.0,8.0
3,3200,8,logistic_regression,fine,0.5025257171910091,39.0,0.0,8.0,7.184615384615384
3,6400,16,logistic_regression,coarse,0.981390264739125,5.0,0.0,16.0,16.0
3,6400,16,logistic_regression,fine,0.5107321754039937,39.0,0.0,16.0,14.323076923076922
3,6400,32,logistic_regression,coarse,0.9831199891288686,5.0,0.0,32.0,31.439999999999998
3,6400,32,logistic_regression,fine,0.5178578075851963,39.0,0.0,32.0,26.54871794871795
3,6400,8,logistic_regression,coarse,0.9823599305221963,5.0,0.0,8.0,8.0
3,6400,8,logistic_regression,fine,0.5164228990745583,39.0,0.0,8.0,7.276923076923078
4,3200,16,logistic_regression,coarse,0.9797126175109858,5.0,0.0,16.0,15.88
4,3200,16,logistic_regression,fine,0.5086609672699763,39.0,0.0,16.0,13.476923076923075
4,3200,32,logistic_regression,coarse,0.9802908781448412,5.0,0.0,32.0,29.040000000000003
4,3200,32,logistic_regression,fine,0.5066693676811982,39.0,0.0,32.0,22.794871794871796
4,3200,8,logistic_regression,coarse,0.9789883657899745,5.0,0.0,8.0,7.959999999999999
4,3200,8,logistic_regression,fine,0.5121478470115884,39.0,0.0,8.0,7.2564102564102555
4,6400,16,logistic_regression,coarse,0.9806947065583593,5.0,0.0,16.0,15.959999999999999
4,6400,16,logistic_regression,fine,0.5191769241674697,39.0,0.0,16.0,14.394871794871795
4,6400,32,logistic_regression,coarse,0.9808834644008474,5.0,0.0,32.0,31.72
4,6400,32,logistic_regression,fine,0.5147764293823108,39.0,0.0,32.0,26.682051282051283
4,6400,8,logistic_regression,coarse,0.9831194134757137,5.0,0.0,8.0,7.959999999999999
4,6400,8,logistic_regression,fine,0.523437373401281,39.0,0.0,8.0,7.4
5,3200,16,logistic_regression,coarse,0.9820372281935665,5.0,0.0,16.0,15.6
5,3200,16,logistic_regression,fine,0.504281659425249,39.0,0.0,16.0,13.343589743589742
5,3200,32,logistic_regression,coarse,0.9815875066353505,5.0,0.0,32.0,28.840000000000003
5,3200,32,logistic_regression,fine,0.5017288523135406,39.0,0.0,32.0,22.24102564102564
5,3200,8,logistic_regression,coarse,0.9820111996649772,5.0,0.0,8.0,7.959999999999999
5,3200,8,logistic_regression,fine,0.5037242018024987,39.0,0.0,8.0,7.148717948717947
5,6400,16,logistic_regression,coarse,0.9822950725884525,5.0,0.0,16.0,15.959999999999999
5,6400,16,logistic_regression,fine,0.5195888109487506,39.0,0.0,16.0,14.235897435897437
5,6400,32,logistic_regression,coarse,0.9815300417385563,5.0,0.0,32.0,31.240000000000002
5,6400,32,logistic_regression,fine,0.5205272851319064,39.0,0.0,32.0,26.28205128205128
5,6400,8,logistic_regression,coarse,0.9819683092107325,5.0,0.0,8.0,7.959999999999999
5,6400,8,logistic_regression,fine,0.5191355551790313,39.0,0.0,8.0,7.317948717948719
6,3200,16,logistic_regression,coarse,0.9794788800853516,5.0,0.0,16.0,15.48
6,3200,16,logistic_regression,fine,0.5132693852604769,39.0,0.0,16.0,13.18974358974359
6,3200,32,logistic_regression,coarse,0.9796274107707514,5.0,0.0,32.0,28.28
6,3200,32,logistic_regression,fine,0.5136129912960284,39.0,0.0,32.0,22.02051282051282
6,3200,8,logistic_regression,coarse,0.9821039954633776,5.0,0.0,8.0,8.0
6,3200,8,logistic_regression,fine,0.5145234970226858,39.0,0.0,8.0,7.128205128205129
6,6400,16,logistic_regression,coarse,0.9833269869072364,5.0,0.0,16.0,16.0
6,6400,16,logistic_regression,fine,0.5226203016399672,39.0,0.0,16.0,14.107692307692307
6,6400,32,logistic_regression,coarse,0.9809239335257782,5.0,0.0,32.0,30.68
6,6400,32,logistic_regression,fine,0.5207487839457702,39.0,0.0,32.0,26.056410256410253
6,6400,8,logistic_regression,coarse,0.984417787894172,5.0,0.0,8.0,8.0
6,6400,8,logistic_regression,fine,0.5248499295972585,39.0,0.0,8.0,7.2666666666666675
7,3200,16,logistic_regression,coarse,0.9814987481954935,5.0,0.0,16.0,15.6
7,3200,16,logistic_regression,fine,0.5170783243501574,39.0,0.0,16.0,13.435897435897436
7,3200,32,logistic_regression,coarse,0.9802635332873144,5.0,0.0,32.0,28.439999999999998
7,3200,32,logistic_regression,fine,0.509455363891961,39.0,0.0,32.0,22.343589743589742
7,3200,8,logistic_regression,coarse,0.9801997618261596,5.0,0.0,8.0,7.959999999999999
7,3200,8,logistic_regression,fine,0.515405517967803,39.0,0.0,8.0,7.241025641025641
7,6400,16,logistic_regression,coarse,0.9837000606890711,5.0,0.0,16.0,15.959999999999999
7,6400,16,logistic_regression,fine,0.5216494887186287,39.0,0.0,16.0,14.292307692307693
7,6400,32,logistic_regression,coarse,0.981040388614139,5.0,0.0,32.0,31.040000000000003
7,6400,32,logistic_regression,fine,0.516764533149787,39.0,0.0,32.0,26.44102564102564
7,6400,8,logistic_regression,coarse,0.9828950722131891,5.0,0.0,8.0,7.959999999999999
7,6400,8,logistic_regression,fine,0.5274913042990182,39.0,0.0,8.0,7.3538461538461535
8,3200,16,logistic_regression,coarse,0.9795094382251586,5.0,0.0,16.0,15.680000000000001
8,3200,16,logistic_regression,fine,0.5074663786257663,39.0,0.0,16.0,13.651282051282049
8,3200,32,logistic_regression,coarse,0.9785314026997224,5.0,0.0,32.0,29.6
8,3200,32,logistic_regression,fine,0.509698466126649,39.0,0.0,32.0,22.620512820512822
8,3200,8,logistic_regression,coarse,0.9789672128109285,5.0,0.0,8.0,8.0
8,3200,8,logistic_regression,fine,0.5080360956801419,39.0,0.0,8.0,7.2
8,6400,16,logistic_regression,coarse,0.9799889877410317,5.0,0.0,16.0,16.0
8,6400,16,logistic_regression,fine,0.5201589521450938,39.0,0.0,16.0,14.338461538461539
8,6400,32,logistic_regression,coarse,0.9802191582115987,5.0,0.0,32.0,31.24
8,6400,32,logistic_regression,fine,0.5194024341912437,39.0,0.0,32.0,26.979487179487176
8,6400,8,logistic_regression,coarse,0.9840263143745427,5.0,0.0,8.0,8.0
8,6400,8,logistic_regression,fine,0.5215739800726539,39.0,0.0,8.0,7.312820512820513
9,3200,16,logistic_regression,coarse,0.9788608637443754,5.0,0.0,16.0,15.48
9,3200,16,logistic_regression,fine,0.5044924894629571,38.8,0.2,16.0,13.671929824561403
9,3200,32,logistic_regression,coarse,0.978825875601468,5.0,0.0,32.0,29.04
9,3200,32,logistic_regression,fine,0.5078710615210759,38.8,0.2,32.0,23.349932523616733
9,3200,8,logistic_regression,coarse,0.9772649598376892,5.0,0.0,8.0,8.0
9,3200,8,logistic_regression,fine,0.5072855430341453,38.8,0.2,8.0,7.2639676113360325
9,6400,16,logistic_regression,coarse,0.9784869086460335,5.0,0.0,16.0,16.0
9,6400,16,logistic_regression,fine,0.5186088090610321,38.8,0.2,16.0,14.429959514170042
9,6400,32,logistic_regression,coarse,0.9810486824373423,5.0,0.0,32.0,30.839999999999996
9,6400,32,logistic_regression,fine,0.5182894366832003,38.8,0.2,32.0,27.07975708502024
9,6400,8,logistic_regression,coarse,0.9789115494584756,5.0,0.0,8.0,8.0
9,6400,8,logistic_regression,fine,0.5215615591050203,38.8,0.2,8.0,7.371794871794871
10,3200,16,logistic_regression,coarse,0.9831426395042848,5.0,0.0,16.0,15.64
10,3200,16,logistic_regression,fine,0.5100188998554228,38.8,0.2,16.0,13.44331983805668
10,3200,32,logistic_regression,coarse,0.9823325105410049,5.0,0.0,32.0,28.639999999999997
10,3200,32,logistic_regression,fine,0.5086042470720982,38.8,0.2,32.0,22.339676113360323
