actual_contributing_patients,fit_seconds,fold,inference_seconds,mean_class_donor_coverage,min_class_donor_coverage,model,n_classes,n_test_cells,n_train_cells,observed_class_count,patient_budget,protocol_hash,seed,status,task,total,unseen_at_training_class_count,wall_seconds
16,0.03101742547005415,0,0.04519616533070803,16.0,16,logistic_regression,5,165797,3200,5,16,4c9bed99296e455f,0,success,coarse,3200,0,0.25537368934601545
16,0.20644764695316553,0,0.15540193300694227,13.743589743589743,1,logistic_regression,39,165797,3200,39,16,4c9bed99296e455f,0,success,fine,3200,0,0.530267576687038
32,0.02153758890926838,0,0.04592781700193882,29.2,18,logistic_regression,5,165797,3200,5,32,4c9bed99296e455f,0,success,coarse,3200,0,0.2579347910359502
32,0.21011742297559977,0,0.08704167045652866,23.46153846153846,1,logistic_regression,39,165797,3200,39,32,4c9bed99296e455f,0,success,fine,3200,0,0.4762946041300893
8,0.02935332339257002,0,0.04806455411016941,8.0,8,logistic_regression,5,165797,3200,5,8,4c9bed99296e455f,0,success,coarse,3200,0,0.2645361628383398
8,0.24452583119273186,0,0.30551483295857906,7.282051282051282,1,logistic_regression,39,165797,3200,39,8,4c9bed99296e455f,0,success,fine,3200,0,0.7037717141211033
16,0.047814072109758854,0,0.040519075468182564,16.0,16,logistic_regression,5,165797,6400,5,16,4c9bed99296e455f,0,success,coarse,6400,0,0.24798492342233658
16,0.6380813540890813,0,0.07875835988670588,14.461538461538462,2,logistic_regression,39,165797,6400,39,16,4c9bed99296e455f,0,success,fine,6400,0,0.8757173316553235
32,0.06506375316530466,0,0.039018006063997746,31.8,31,logistic_regression,5,165797,6400,5,32,4c9bed99296e455f,0,success,coarse,6400,0,0.2858583703637123
32,0.5470518125221133,0,0.07881445344537497,27.205128205128204,2,logistic_regression,39,165797,6400,39,32,4c9bed99296e455f,0,success,fine,6400,0,0.8137901499867439
8,0.045394851826131344,0,0.04922606889158487,8.0,8,logistic_regression,5,165797,6400,5,8,4c9bed99296e455f,0,success,coarse,6400,0,0.24716597888618708
8,0.73649962246418,0,0.08507298119366169,7.358974358974359,2,logistic_regression,39,165797,6400,39,8,4c9bed99296e455f,0,success,fine,6400,0,0.9727737586945295
16,0.03540126793086529,0,0.0439338618889451,15.0,11,logistic_regression,5,165797,3200,5,16,4c9bed99296e455f,1,success,coarse,3200,0,0.2357905451208353
16,0.27442341670393944,0,0.08850876893848181,13.76923076923077,1,logistic_regression,39,165797,3200,39,16,4c9bed99296e455f,1,success,fine,3200,0,0.5597825795412064
32,0.025290911085903645,0,0.04997773002833128,27.8,11,logistic_regression,5,165797,3200,5,32,4c9bed99296e455f,1,success,coarse,3200,0,0.25529741402715445
32,0.19197334814816713,0,0.0827535716816783,24.17948717948718,1,logistic_regression,39,165797,3200,39,32,4c9bed99296e455f,1,success,fine,3200,0,0.45326360408216715
8,0.032996710389852524,0,0.0398695757612586,8.0,8,logistic_regression,5,165797,3200,5,8,4c9bed99296e455f,1,success,coarse,3200,0,0.22080174833536148
8,0.21445040870457888,0,0.08096589427441359,7.282051282051282,1,logistic_regression,39,165797,3200,39,8,4c9bed99296e455f,1,success,fine,3200,0,0.4500574702396989
