seed,total,patient_budget,model,task,patient_balanced_macro_f1,observed_class_count,unseen_at_training_class_count,actual_contributing_patients,mean_class_donor_coverage
0,3200,16,logistic_regression,coarse,0.9268629868859313,5.0,0.0,16.0,14.8
0,3200,16,logistic_regression,fine,0.5380131989188378,28.8,1.2,16.0,11.317865353037766
0,3200,32,logistic_regression,coarse,0.9252947795701912,5.0,0.0,32.0,27.599999999999994
0,3200,32,logistic_regression,fine,0.5372503506906315,28.8,1.2,32.0,20.032758620689656
0,3200,8,logistic_regression,coarse,0.9223064665376108,5.0,0.0,8.0,7.840000000000001
0,3200,8,logistic_regression,fine,0.5328715036199763,28.8,1.2,8.0,6.25223316912972
0,6400,16,logistic_regression,coarse,0.9362344077594764,5.0,0.0,16.0,15.76
0,6400,16,logistic_regression,fine,0.5633524125743266,28.8,1.2,16.0,12.21224958949097
0,6400,32,logistic_regression,coarse,0.9398212329180426,5.0,0.0,32.0,29.439999999999998
0,6400,32,logistic_regression,fine,0.5640190670957381,28.8,1.2,32.0,22.238965517241375
0,6400,8,logistic_regression,coarse,0.9373694916637522,5.0,0.0,8.0,7.840000000000001
0,6400,8,logistic_regression,fine,0.5602889239965251,28.8,1.2,8.0,6.462627257799672
1,3200,16,logistic_regression,coarse,0.9197621954808607,5.0,0.0,16.0,14.919999999999998
1,3200,16,logistic_regression,fine,0.5331468177011174,28.8,1.2,16.0,11.19408866995074
1,3200,32,logistic_regression,coarse,0.9202877726466522,5.0,0.0,32.0,27.72
1,3200,32,logistic_regression,fine,0.536117982091177,28.8,1.2,32.0,19.86625615763547
1,3200,8,logistic_regression,coarse,0.9242608312881773,5.0,0.0,8.0,7.8
1,3200,8,logistic_regression,fine,0.5261495258734247,28.8,1.2,8.0,6.284975369458128
1,6400,16,logistic_regression,coarse,0.9310335383640214,5.0,0.0,16.0,15.4
1,6400,16,logistic_regression,fine,0.5579701453951758,28.8,1.2,16.0,12.208620689655174
1,6400,32,logistic_regression,coarse,0.9343447558078702,5.0,0.0,32.0,29.8
1,6400,32,logistic_regression,fine,0.5564919441746732,28.8,1.2,32.0,21.9076354679803
1,6400,8,logistic_regression,coarse,0.9310985655610449,5.0,0.0,8.0,7.8
1,6400,8,logistic_regression,fine,0.5539820216957748,28.8,1.2,8.0,6.46576354679803
2,3200,16,logistic_regression,coarse,0.918666031233337,5.0,0.0,16.0,14.6
2,3200,16,logistic_regression,fine,0.5163311918160748,28.8,1.2,16.0,11.152848020434227
2,3200,32,logistic_regression,coarse,0.9178453826584242,5.0,0.0,32.0,27.4
2,3200,32,logistic_regression,fine,0.5175329719060761,28.8,1.2,32.0,19.92183908045977
2,3200,8,logistic_regression,coarse,0.9188069862477297,5.0,0.0,8.0,7.68
2,3200,8,logistic_regression,fine,0.51530295842966,28.8,1.2,8.0,6.20242656449553
2,6400,16,logistic_regression,coarse,0.9344432777585677,5.0,0.0,16.0,15.6
2,6400,16,logistic_regression,fine,0.5563428830049573,28.8,1.2,16.0,12.081149425287355
2,6400,32,logistic_regression,coarse,0.9319266027974928,5.0,0.0,32.0,29.0
2,6400,32,logistic_regression,fine,0.5480241785502717,28.8,1.2,32.0,21.81062579821201
2,6400,8,logistic_regression,coarse,0.926485846308126,5.0,0.0,8.0,7.720000000000001
2,6400,8,logistic_regression,fine,0.5515376747574241,28.8,1.2,8.0,6.340970625798212
3,3200,16,logistic_regression,coarse,0.9186571961430502,5.0,0.0,16.0,14.680000000000001
3,3200,16,logistic_regression,fine,0.5277167943440656,28.8,1.2,16.0,11.276436781609195
3,3200,32,logistic_regression,coarse,0.9226181067916153,5.0,0.0,32.0,27.48
3,3200,32,logistic_regression,fine,0.5316734851506306,28.8,1.2,32.0,19.999589490968802
3,3200,8,logistic_regression,coarse,0.9240030519170856,5.0,0.0,8.0,7.76
3,3200,8,logistic_regression,fine,0.5235360966945667,28.8,1.2,8.0,6.273267651888341
3,6400,16,logistic_regression,coarse,0.9327306707745813,5.0,0.0,16.0,15.680000000000001
3,6400,16,logistic_regression,fine,0.55432006070478,28.8,1.2,16.0,12.299014778325123
3,6400,32,logistic_regression,coarse,0.9304978424987127,5.0,0.0,32.0,29.159999999999997
3,6400,32,logistic_regression,fine,0.5507435610828232,28.8,1.2,32.0,22.18064039408867
3,6400,8,logistic_regression,coarse,0.9283792820719021,5.0,0.0,8.0,7.76
3,6400,8,logistic_regression,fine,0.5468860276336288,28.8,1.2,8.0,6.438226600985222
4,3200,16,logistic_regression,coarse,0.9179279433671184,5.0,0.0,16.0,14.919999999999998
4,3200,16,logistic_regression,fine,0.5440527985858181,29.2,0.8,16.0,11.306486042692939
4,3200,32,logistic_regression,coarse,0.918281609124955,5.0,0.0,32.0,27.72
4,3200,32,logistic_regression,fine,0.5411315095418271,29.2,0.8,32.0,19.81802955665025
4,3200,8,logistic_regression,coarse,0.9238121335211641,5.0,0.0,8.0,7.92
4,3200,8,logistic_regression,fine,0.5442039572918163,29.2,0.8,8.0,6.168949096880132
4,6400,16,logistic_regression,coarse,0.9380312709120974,5.0,0.0,16.0,15.719999999999999
4,6400,16,logistic_regression,fine,0.5647673337317857,29.2,0.8,16.0,12.040919540229885
4,6400,32,logistic_regression,coarse,0.9361744574417374,5.0,0.0,32.0,29.68
4,6400,32,logistic_regression,fine,0.5660618915191676,29.2,0.8,32.0,22.160755336617406
4,6400,8,logistic_regression,coarse,0.9391551965506638,5.0,0.0,8.0,7.92
4,6400,8,logistic_regression,fine,0.5652894396211409,29.2,0.8,8.0,6.33344827586207
5,3200,16,logistic_regression,coarse,0.916751411136205,5.0,0.0,16.0,14.919999999999998
5,3200,16,logistic_regression,fine,0.5334272877471763,28.8,1.2,16.0,11.41231527093596
5,3200,32,logistic_regression,coarse,0.9137812418706227,5.0,0.0,32.0,27.72
5,3200,32,logistic_regression,fine,0.5312445760374835,28.8,1.2,32.0,20.193349753694584
5,3200,8,logistic_regression,coarse,0.9132874737033692,5.0,0.0,8.0,7.880000000000001
5,3200,8,logistic_regression,fine,0.5308499957182569,28.8,1.2,8.0,6.326600985221675
5,6400,16,logistic_regression,coarse,0.9265848178393835,5.0,0.0,16.0,15.559999999999999
5,6400,16,logistic_regression,fine,0.5535049228944718,28.8,1.2,16.0,12.29975369458128
5,6400,32,logistic_regression,coarse,0.9262175591053087,5.0,0.0,32.0,29.68
5,6400,32,logistic_regression,fine,0.5501550696609881,28.8,1.2,32.0,22.344827586206897
5,6400,8,logistic_regression,coarse,0.9267766681226673,5.0,0.0,8.0,7.880000000000001
5,6400,8,logistic_regression,fine,0.5518754743145993,28.8,1.2,8.0,6.513793103448276
6,3200,16,logistic_regression,coarse,0.927424349686229,5.0,0.0,16.0,14.559999999999999
6,3200,16,logistic_regression,fine,0.545580999928152,29.2,0.8,16.0,11.155238095238094
6,3200,32,logistic_regression,coarse,0.933149851597296,5.0,0.0,32.0,27.359999999999996
6,3200,32,logistic_regression,fine,0.5463341508286688,29.2,0.8,32.0,19.541247947454846
6,3200,8,logistic_regression,coarse,0.9218553052035483,5.0,0.0,8.0,7.760000000000001
6,3200,8,logistic_regression,fine,0.540247479344421,29.2,0.8,8.0,6.19440065681445
6,6400,16,logistic_regression,coarse,0.934993806357108,5.0,0.0,16.0,15.440000000000001
6,6400,16,logistic_regression,fine,0.5686303670856586,29.2,0.8,16.0,12.087093596059114
6,6400,32,logistic_regression,coarse,0.9374602607711804,5.0,0.0,32.0,29.0
6,6400,32,logistic_regression,fine,0.5730997053092287,29.2,0.8,32.0,21.830935960591134
6,6400,8,logistic_regression,coarse,0.9318311272288492,5.0,0.0,8.0,7.760000000000001
6,6400,8,logistic_regression,fine,0.566509825483482,29.2,0.8,8.0,6.367619047619047
7,3200,16,logistic_regression,coarse,0.91833924649553,5.0,0.0,16.0,15.080000000000002
7,3200,16,logistic_regression,fine,0.5331736474480181,29.0,1.0,16.0,11.239770114942528
7,3200,32,logistic_regression,coarse,0.9176470934223895,5.0,0.0,32.0,27.880000000000003
7,3200,32,logistic_regression,fine,0.5365943413128537,29.0,1.0,32.0,19.871001642036124
7,3200,8,logistic_regression,coarse,0.9129371112556111,5.0,0.0,8.0,7.840000000000001
7,3200,8,logistic_regression,fine,0.5354922957843161,29.0,1.0,8.0,6.169014778325123
7,6400,16,logistic_regression,coarse,0.9320564886514873,5.0,0.0,16.0,15.6
7,6400,16,logistic_regression,fine,0.5612178673439939,29.0,1.0,16.0,11.995303776683087
7,6400,32,logistic_regression,coarse,0.9353919489097156,5.0,0.0,32.0,29.959999999999997
7,6400,32,logistic_regression,fine,0.559712086906781,29.0,1.0,32.0,22.024384236453198
7,6400,8,logistic_regression,coarse,0.9260998571958592,5.0,0.0,8.0,7.840000000000001
7,6400,8,logistic_regression,fine,0.5570809133050625,29.0,1.0,8.0,6.3489983579638745
8,3200,16,logistic_regression,coarse,0.9284101578952795,5.0,0.0,16.0,15.0
8,3200,16,logistic_regression,fine,0.5420951084588235,29.2,0.8,16.0,11.315862068965517
8,3200,32,logistic_regression,coarse,0.9326470025624408,5.0,0.0,32.0,27.8
8,3200,32,logistic_regression,fine,0.5395265679888187,29.2,0.8,32.0,19.71609195402299
8,3200,8,logistic_regression,coarse,0.9274646969952656,5.0,0.0,8.0,7.880000000000001
8,3200,8,logistic_regression,fine,0.536972118250511,29.2,0.8,8.0,6.259540229885058
8,6400,16,logistic_regression,coarse,0.9374124567040866,5.0,0.0,16.0,15.8
8,6400,16,logistic_regression,fine,0.5582765583702992,29.2,0.8,16.0,12.184827586206897
8,6400,32,logistic_regression,coarse,0.9412365821582588,5.0,0.0,32.0,29.8
8,6400,32,logistic_regression,fine,0.5615990793276654,29.2,0.8,32.0,22.207816091954022
8,6400,8,logistic_regression,coarse,0.938499841927176,5.0,0.0,8.0,7.880000000000001
8,6400,8,logistic_regression,fine,0.559440383612443,29.2,0.8,8.0,6.423678160919541
9,3200,16,logistic_regression,coarse,0.9104905396093889,5.0,0.0,16.0,14.559999999999999
9,3200,16,logistic_regression,fine,0.5203155440781272,28.6,1.4,16.0,11.078677248677248
9,3200,32,logistic_regression,coarse,0.9199230325962935,5.0,0.0,32.0,27.359999999999996
9,3200,32,logistic_regression,fine,0.521718779585308,28.6,1.4,32.0,19.697354497354496
9,3200,8,logistic_regression,coarse,0.9157530501415266,5.0,0.0,8.0,7.8
9,3200,8,logistic_regression,fine,0.5208705600435609,28.6,1.4,8.0,6.162539682539682
9,6400,16,logistic_regression,coarse,0.933019532722788,5.0,0.0,16.0,15.64
9,6400,16,logistic_regression,fine,0.5546675717684832,28.6,1.4,16.0,12.038465608465609
9,6400,32,logistic_regression,coarse,0.9301351605941395,5.0,0.0,32.0,29.0
9,6400,32,logistic_regression,fine,0.5528582415581343,28.6,1.4,32.0,21.722857142857144
