actual_contributing_patients,fit_seconds,fold,inference_seconds,mean_class_donor_coverage,min_class_donor_coverage,model,n_classes,n_test_cells,n_train_cells,observed_class_count,patient_budget,protocol_hash,seed,status,task,total,unseen_at_training_class_count,wall_seconds
16,0.047990635968744755,0,0.05343323666602373,15.2,12,logistic_regression,5,228102,3200,5,16,74749b9de8a69391,0,success,coarse,3200,0,1.2077968679368496
16,0.3421709770336747,0,0.09715093672275543,11.586206896551724,1,logistic_regression,30,228102,3200,29,16,74749b9de8a69391,0,success,fine,3200,1,1.553420977666974
32,0.055798737332224846,0,0.052635776810348034,28.0,12,logistic_regression,5,228102,3200,5,32,74749b9de8a69391,0,success,coarse,3200,0,1.2146362029016018
32,0.32777577359229326,0,0.09427723940461874,20.551724137931036,2,logistic_regression,30,228102,3200,29,32,74749b9de8a69391,0,success,fine,3200,1,1.5138729400932789
8,0.0465867705643177,0,0.06807133089751005,8.0,8,logistic_regression,5,228102,3200,5,8,74749b9de8a69391,0,success,coarse,3200,0,1.2690270505845547
8,0.3599298680201173,0,0.09372812882065773,6.413793103448276,1,logistic_regression,30,228102,3200,29,8,74749b9de8a69391,0,success,fine,3200,1,1.6022594589740038
16,0.09735481161624193,0,0.052916405722498894,15.8,15,logistic_regression,5,228102,6400,5,16,74749b9de8a69391,0,success,coarse,6400,0,1.2438523909077048
16,0.719660647213459,0,0.0999321574345231,12.413793103448276,1,logistic_regression,30,228102,6400,29,16,74749b9de8a69391,0,success,fine,6400,1,1.9219413017854095
32,0.11071522906422615,0,0.05276311654597521,30.2,23,logistic_regression,5,228102,6400,5,32,74749b9de8a69391,0,success,coarse,6400,0,1.2614520145580173
32,0.7709642667323351,0,0.09413038846105337,22.93103448275862,2,logistic_regression,30,228102,6400,29,32,74749b9de8a69391,0,success,fine,6400,1,2.001631911844015
8,0.07905683573335409,0,0.053253669291734695,8.0,8,logistic_regression,5,228102,6400,5,8,74749b9de8a69391,0,success,coarse,6400,0,1.2423596940934658
8,0.7309902664273977,0,0.10074937716126442,6.620689655172414,1,logistic_regression,30,228102,6400,29,8,74749b9de8a69391,0,success,fine,6400,1,1.950693178921938
16,0.06128781847655773,0,0.05396330822259188,15.0,11,logistic_regression,5,228102,3200,5,16,74749b9de8a69391,1,success,coarse,3200,0,1.219451335258782
16,0.38071739859879017,0,0.09692406933754683,10.931034482758621,2,logistic_regression,30,228102,3200,29,16,74749b9de8a69391,1,success,fine,3200,1,1.5505532622337341
32,0.052795857191085815,0,0.053552606143057346,27.8,11,logistic_regression,5,228102,3200,5,32,74749b9de8a69391,1,success,coarse,3200,0,1.2287030015140772
32,0.30350391287356615,0,0.0935621801763773,19.862068965517242,2,logistic_regression,30,228102,3200,29,32,74749b9de8a69391,1,success,fine,3200,1,1.4898030059412122
8,0.045460439287126064,0,0.054312088526785374,8.0,8,logistic_regression,5,228102,3200,5,8,74749b9de8a69391,1,success,coarse,3200,0,1.1804644782096148
8,0.3814013684168458,0,0.09290352836251259,6.241379310344827,1,logistic_regression,30,228102,3200,29,8,74749b9de8a69391,1,success,fine,3200,1,1.5730697643011808
16,0.124395533464849,0,0.05418654251843691,15.4,13,logistic_regression,5,228102,6400,5,16,74749b9de8a69391,1,success,coarse,6400,0,1.2871523825451732
16,0.8806261904537678,0,0.09301107842475176,11.931034482758621,2,logistic_regression,30,228102,6400,29,16,74749b9de8a69391,1,success,fine,6400,1,2.0954767083749175
32,0.10414363071322441,0,0.056377812288701534,30.0,22,logistic_regression,5,228102,6400,5,32,74749b9de8a69391,1,success,coarse,6400,0,1.2558759991079569
32,0.8091106405481696,0,0.09660645388066769,21.413793103448278,2,logistic_regression,30,228102,6400,29,32,74749b9de8a69391,1,success,fine,6400,1,2.0041409404948354
8,0.10196261759847403,0,0.0535613177344203,8.0,8,logistic_regression,5,228102,6400,5,8,74749b9de8a69391,1,success,coarse,6400,0,1.2580092241987586
8,0.7900667423382401,0,0.09469942934811115,6.655172413793103,1,logistic_regression,30,228102,6400,29,8,74749b9de8a69391,1,success,fine,6400,1,1.968575238250196
16,0.054635380394756794,0,0.05504861753433943,14.6,9,logistic_regression,5,228102,3200,5,16,74749b9de8a69391,2,success,coarse,3200,0,1.1775524877011776
16,0.3296158090233803,0,0.09931994322687387,11.10344827586207,1,logistic_regression,30,228102,3200,29,16,74749b9de8a69391,2,success,fine,3200,1,1.507242726162076
32,0.05735039338469505,0,0.05340672843158245,27.4,9,logistic_regression,5,228102,3200,5,32,74749b9de8a69391,2,success,coarse,3200,0,1.224713884294033
32,0.31439066771417856,0,0.09285050816833973,19.75862068965517,1,logistic_regression,30,228102,3200,29,32,74749b9de8a69391,2,success,fine,3200,1,1.496401879005134
8,0.052858359180390835,0,0.05406680330634117,7.4,5,logistic_regression,5,228102,3200,5,8,74749b9de8a69391,2,success,coarse,3200,0,1.1725025121122599
8,0.2742221560329199,0,0.09362687729299068,6.137931034482759,1,logistic_regression,30,228102,3200,29,8,74749b9de8a69391,2,success,fine,3200,1,1.4668995244428515
16,0.11362705286592245,0,0.05336481612175703,15.4,13,logistic_regression,5,228102,6400,5,16,74749b9de8a69391,2,success,coarse,6400,0,1.2757972134277225
16,0.7007640954107046,0,0.09741413965821266,11.96551724137931,1,logistic_regression,30,228102,6400,29,16,74749b9de8a69391,2,success,fine,6400,1,1.8988816887140274
32,0.12609567027539015,0,0.056168858893215656,29.0,17,logistic_regression,5,228102,6400,5,32,74749b9de8a69391,2,success,coarse,6400,0,1.30199293512851
32,0.8431888418272138,0,0.09837250877171755,21.655172413793103,1,logistic_regression,30,228102,6400,29,32,74749b9de8a69391,2,success,fine,6400,1,2.047374981455505
8,0.09749824367463589,0,0.054686096496880054,7.4,5,logistic_regression,5,228102,6400,5,8,74749b9de8a69391,2,success,coarse,6400,0,1.2553293611854315
8,0.7727882051840425,0,0.09931732900440693,6.275862068965517,1,logistic_regression,30,228102,6400,29,8,74749b9de8a69391,2,success,fine,6400,1,1.9786474732682109
16,0.05399092845618725,0,0.05578809045255184,14.8,10,logistic_regression,5,228102,3200,5,16,74749b9de8a69391,3,success,coarse,3200,0,1.1972535541281104
16,0.3487024614587426,0,0.09227939695119858,11.535714285714286,1,logistic_regression,30,228102,3200,28,16,74749b9de8a69391,3,success,fine,3200,2,1.5596023388206959
32,0.058421460911631584,0,0.05410721246153116,27.6,10,logistic_regression,5,228102,3200,5,32,74749b9de8a69391,3,success,coarse,3200,0,1.2215029606595635
32,0.34715096466243267,0,0.09359752386808395,21.035714285714285,2,logistic_regression,30,228102,3200,28,32,74749b9de8a69391,3,success,fine,3200,2,1.563105534762144
8,0.050738184712827206,0,0.05293457396328449,7.8,7,logistic_regression,5,228102,3200,5,8,74749b9de8a69391,3,success,coarse,3200,0,1.199072739109397
8,0.313583692535758,0,0.09395222272723913,6.321428571428571,1,logistic_regression,30,228102,3200,28,8,74749b9de8a69391,3,success,fine,3200,2,1.5073687713593245
16,0.11369696725159883,0,0.05406614113599062,15.6,14,logistic_regression,5,228102,6400,5,16,74749b9de8a69391,3,success,coarse,6400,0,1.2464511701837182
16,0.7607493586838245,0,0.08960389345884323,12.535714285714286,1,logistic_regression,30,228102,6400,28,16,74749b9de8a69391,3,success,fine,6400,2,1.9273214554414153
32,0.1253815023228526,0,0.05405256059020758,29.2,18,logistic_regression,5,228102,6400,5,32,74749b9de8a69391,3,success,coarse,6400,0,1.277177040465176
32,0.8385762274265289,0,0.09252805728465319,22.75,2,logistic_regression,30,228102,6400,28,32,74749b9de8a69391,3,success,fine,6400,2,2.049535060301423
8,0.11566535476595163,0,0.053107431158423424,7.8,7,logistic_regression,5,228102,6400,5,8,74749b9de8a69391,3,success,coarse,6400,0,1.2676041442900896
8,0.7584592709317803,0,0.09006812609732151,6.464285714285714,1,logistic_regression,30,228102,6400,28,8,74749b9de8a69391,3,success,fine,6400,2,1.9127771416679025
16,0.06743304897099733,0,0.05542706232517958,15.6,14,logistic_regression,5,228102,3200,5,16,74749b9de8a69391,4,success,coarse,3200,0,1.209794206544757
16,0.31325297988951206,0,0.09290891420096159,11.607142857142858,2,logistic_regression,30,228102,3200,28,16,74749b9de8a69391,4,success,fine,3200,2,1.4862589361146092
32,0.061660739593207836,0,0.05475939251482487,28.4,14,logistic_regression,5,228102,3200,5,32,74749b9de8a69391,4,success,coarse,3200,0,1.2180498922243714
32,0.31914985831826925,0,0.0906352624297142,20.214285714285715,2,logistic_regression,30,228102,3200,28,32,74749b9de8a69391,4,success,fine,3200,2,1.5055838134139776
8,0.05376878846436739,0,0.057341969572007656,8.0,8,logistic_regression,5,228102,3200,5,8,74749b9de8a69391,4,success,coarse,3200,0,1.1808632528409362
8,0.3460508128628135,0,0.09535741060972214,6.464285714285714,2,logistic_regression,30,228102,3200,28,8,74749b9de8a69391,4,success,fine,3200,2,1.5168160255998373
16,0.14014963153749704,0,0.05362180806696415,16.0,16,logistic_regression,5,228102,6400,5,16,74749b9de8a69391,4,success,coarse,6400,0,1.257214912213385
16,0.787571657449007,0,0.09098188392817974,12.5,2,logistic_regression,30,228102,6400,28,16,74749b9de8a69391,4,success,fine,6400,2,1.9767120108008385
32,0.1297454545274377,0,0.05387423560023308,31.2,28,logistic_regression,5,228102,6400,5,32,74749b9de8a69391,4,success,coarse,6400,0,1.3060004487633705
32,0.7274330509826541,0,0.08901509363204241,22.642857142857142,2,logistic_regression,30,228102,6400,28,32,74749b9de8a69391,4,success,fine,6400,2,1.9261749042198062
8,0.11392333079129457,0,0.053564210422337055,8.0,8,logistic_regression,5,228102,6400,5,8,74749b9de8a69391,4,success,coarse,6400,0,1.2384951272979379
8,0.834045821800828,0,0.09117485955357552,6.75,2,logistic_regression,30,228102,6400,28,8,74749b9de8a69391,4,success,fine,6400,2,2.0055712582543492
16,0.06353831477463245,0,0.054346051067113876,15.4,13,logistic_regression,5,228102,3200,5,16,74749b9de8a69391,5,success,coarse,3200,0,1.2138990657404065
16,0.31952681578695774,0,0.09587424341589212,11.10344827586207,1,logistic_regression,30,228102,3200,29,16,74749b9de8a69391,5,success,fine,3200,1,1.4947437765076756
32,0.05232222564518452,0,0.05390204023569822,28.2,13,logistic_regression,5,228102,3200,5,32,74749b9de8a69391,5,success,coarse,3200,0,1.2109984662383795
32,0.3469283850863576,0,0.09499681740999222,19.379310344827587,1,logistic_regression,30,228102,3200,29,32,74749b9de8a69391,5,success,fine,3200,1,1.546884961426258
8,0.05909064318984747,0,0.054552577435970306,7.8,7,logistic_regression,5,228102,3200,5,8,74749b9de8a69391,5,success,coarse,3200,0,1.2274848446249962
8,0.30351483821868896,0,0.10037961974740028,6.103448275862069,1,logistic_regression,30,228102,3200,29,8,74749b9de8a69391,5,success,fine,3200,1,1.4887311710044742
16,0.12517644464969635,0,0.054596878588199615,15.4,13,logistic_regression,5,228102,6400,5,16,74749b9de8a69391,5,success,coarse,6400,0,1.2672347975894809
16,0.7880723932757974,0,0.09638648293912411,11.931034482758621,1,logistic_regression,30,228102,6400,29,16,74749b9de8a69391,5,success,fine,6400,1,1.9631926603615284
32,0.12232728861272335,0,0.05364689324051142,30.6,25,logistic_regression,5,228102,6400,5,32,74749b9de8a69391,5,success,coarse,6400,0,1.2666331864893436
32,0.8563223043456674,0,0.09437818173319101,21.551724137931036,1,logistic_regression,30,228102,6400,29,32,74749b9de8a69391,5,success,fine,6400,1,2.066752609796822
