dataset_key,dataset,total,patient_budget,observed_classes_mean,unseen_classes_mean,mean_donors_per_class
apt,APT,3200,8,26.12,0.88,5.43962962962963
apt,APT,3200,32,26.33,0.67,16.448888888888888
apt,APT,6400,8,26.34,0.66,5.984814814814815
apt,APT,6400,32,26.53,0.47,19.32777777777778
combat_rna,COMBAT RNA,3200,8,36.97,2.03,5.892051282051281
combat_rna,COMBAT RNA,3200,32,37.34,1.66,15.871025641025643
combat_rna,COMBAT RNA,6400,8,37.81,1.19,6.553076923076924
combat_rna,COMBAT RNA,6400,32,38.1,0.9,20.089230769230767
onek1k,OneK1K RNA,3200,8,27.1,2.9,5.2139999999999995
onek1k,OneK1K RNA,3200,32,27.26,2.74,15.169000000000004
onek1k,OneK1K RNA,6400,8,28.31,1.69,5.809333333333335
onek1k,OneK1K RNA,6400,32,28.47,1.53,18.172
