seed,total,patient_budget,model,task,patient_balanced_macro_f1,observed_class_count,unseen_at_training_class_count,actual_contributing_patients,mean_class_donor_coverage
0,6400,16,xgboost,coarse,0.2782212965086249,5.0,0.0,16.0,15.88
0,6400,16,xgboost,fine,0.05947257817735544,27.0,0.0,16.0,14.244444444444445
0,6400,32,xgboost,coarse,0.2837430449846137,5.0,0.0,32.0,30.880000000000003
0,6400,32,xgboost,fine,0.0582647371997599,27.0,0.0,32.0,27.051851851851854
0,6400,8,xgboost,coarse,0.2730383503854823,5.0,0.0,8.0,7.92
0,6400,8,xgboost,fine,0.06761954389218067,27.0,0.0,8.0,7.207407407407406
1,6400,16,xgboost,coarse,0.27418877118820906,5.0,0.0,16.0,15.879999999999999
1,6400,16,xgboost,fine,0.059966248210705016,26.8,0.2,16.0,14.507122507122508
1,6400,32,xgboost,coarse,0.2851002983010161,5.0,0.0,32.0,30.919999999999998
1,6400,32,xgboost,fine,0.06032421697113137,26.8,0.2,32.0,27.97207977207977
1,6400,8,xgboost,coarse,0.2656601120357849,5.0,0.0,8.0,7.92
1,6400,8,xgboost,fine,0.06195358623614359,26.8,0.2,8.0,7.331908831908832
2,6400,16,xgboost,coarse,0.2753222802670156,5.0,0.0,16.0,15.679999999999998
2,6400,16,xgboost,fine,0.06649368689602107,27.0,0.0,16.0,13.822222222222223
2,6400,32,xgboost,coarse,0.27317726580973767,5.0,0.0,32.0,30.68
2,6400,32,xgboost,fine,0.06104899320941472,27.0,0.0,32.0,26.607407407407415
2,6400,8,xgboost,coarse,0.272977334015312,5.0,0.0,8.0,7.76
2,6400,8,xgboost,fine,0.06959187333468247,27.0,0.0,8.0,6.970370370370371
3,6400,16,xgboost,coarse,0.27638200345744035,5.0,0.0,16.0,15.76
3,6400,16,xgboost,fine,0.06252093732801202,26.4,0.6,16.0,14.233618233618234
3,6400,32,xgboost,coarse,0.279067603015762,5.0,0.0,32.0,29.52
3,6400,32,xgboost,fine,0.057325080490715094,26.4,0.6,32.0,26.956695156695154
3,6400,8,xgboost,coarse,0.2675356480497704,5.0,0.0,8.0,7.8
3,6400,8,xgboost,fine,0.0676796758190768,26.4,0.6,8.0,7.152991452991453
4,6400,16,xgboost,coarse,0.27067843972526234,5.0,0.0,16.0,15.84
4,6400,16,xgboost,fine,0.06453100928586937,26.8,0.2,16.0,14.313390313390315
4,6400,32,xgboost,coarse,0.27554254074169393,5.0,0.0,32.0,30.52
4,6400,32,xgboost,fine,0.06116144724549643,26.8,0.2,32.0,27.46666666666667
4,6400,8,xgboost,coarse,0.28377124073869947,5.0,0.0,8.0,7.839999999999999
4,6400,8,xgboost,fine,0.06928460685512007,26.8,0.2,8.0,7.138176638176638
5,6400,16,xgboost,coarse,0.2808901501634011,5.0,0.0,16.0,15.84
5,6400,16,xgboost,fine,0.0625143071600528,26.8,0.2,16.0,14.622222222222224
5,6400,32,xgboost,coarse,0.27773679312250465,5.0,0.0,32.0,30.639999999999997
5,6400,32,xgboost,fine,0.058546516129477866,26.8,0.2,32.0,27.945014245014242
5,6400,8,xgboost,coarse,0.26841333056058125,5.0,0.0,8.0,7.88
5,6400,8,xgboost,fine,0.06220383611584826,26.8,0.2,8.0,7.255270655270655
6,6400,16,xgboost,coarse,0.2741503938908228,5.0,0.0,16.0,15.88
6,6400,16,xgboost,fine,0.06702854974516097,27.0,0.0,16.0,14.592592592592592
6,6400,32,xgboost,coarse,0.27643102373247946,5.0,0.0,32.0,31.080000000000002
6,6400,32,xgboost,fine,0.06302632591151243,27.0,0.0,32.0,27.725925925925925
6,6400,8,xgboost,coarse,0.2664170797920475,5.0,0.0,8.0,7.959999999999999
6,6400,8,xgboost,fine,0.06761579430491362,27.0,0.0,8.0,7.355555555555554
7,6400,16,xgboost,coarse,0.27059709783471486,5.0,0.0,16.0,15.879999999999999
7,6400,16,xgboost,fine,0.0600334472113832,26.8,0.2,16.0,14.366951566951565
7,6400,32,xgboost,coarse,0.2790077679220643,5.0,0.0,32.0,30.6
7,6400,32,xgboost,fine,0.056162005048362856,26.8,0.2,32.0,27.57122507122507
7,6400,8,xgboost,coarse,0.2710770181328091,5.0,0.0,8.0,7.959999999999999
7,6400,8,xgboost,fine,0.0642476113964606,26.8,0.2,8.0,7.291737891737893
8,6400,16,xgboost,coarse,0.2741961027451829,5.0,0.0,16.0,15.84
8,6400,16,xgboost,fine,0.0613118785577063,26.8,0.2,16.0,14.062108262108262
8,6400,32,xgboost,coarse,0.27703441600685635,5.0,0.0,32.0,29.8
8,6400,32,xgboost,fine,0.06314725944164179,26.8,0.2,32.0,26.512820512820515
8,6400,8,xgboost,coarse,0.27000385837669094,5.0,0.0,8.0,7.92
8,6400,8,xgboost,fine,0.06499435062358644,26.8,0.2,8.0,7.158404558404558
9,6400,16,xgboost,coarse,0.26419432287325606,5.0,0.0,16.0,15.8
9,6400,16,xgboost,fine,0.059030621400023076,26.8,0.2,16.0,14.016524216524218
9,6400,32,xgboost,coarse,0.27913704525435146,5.0,0.0,32.0,30.639999999999997
9,6400,32,xgboost,fine,0.05746913015528178,26.8,0.2,32.0,27.005413105413105
9,6400,8,xgboost,coarse,0.2640384738146432,5.0,0.0,8.0,7.88
9,6400,8,xgboost,fine,0.05938032138165895,26.8,0.2,8.0,7.155270655270655
