actual_contributing_patients,fit_seconds,fold,inference_seconds,mean_class_donor_coverage,min_class_donor_coverage,model,n_classes,n_test_cells,n_train_cells,observed_class_count,patient_budget,protocol_hash,seed,status,task,total,unseen_at_training_class_count,wall_seconds
16,14.77382573671639,0,0.8808584017679095,16.0,16,xgboost,5,66980,6400,5,16,c4bb1bf38ae4913e,0,success,coarse,6400,0,15.761704568751156
16,68.40168869867921,0,3.990066895261407,14.592592592592593,2,xgboost,27,66980,6400,27,16,c4bb1bf38ae4913e,0,success,fine,6400,0,72.51997924596071
32,17.55420145113021,0,0.8718249825760722,31.0,27,xgboost,5,66980,6400,5,32,c4bb1bf38ae4913e,0,success,coarse,6400,0,18.56038995552808
32,56.96055106446147,0,4.244307819753885,27.88888888888889,2,xgboost,27,66980,6400,27,32,c4bb1bf38ae4913e,0,success,fine,6400,0,61.359295529313385
8,15.658546376042068,0,1.0052887257188559,8.0,8,xgboost,5,66980,6400,5,8,c4bb1bf38ae4913e,0,success,coarse,6400,0,16.77210585400462
8,81.4100525137037,0,4.162495898082852,7.518518518518518,1,xgboost,27,66980,6400,27,8,c4bb1bf38ae4913e,0,success,fine,6400,0,85.67858540639281
16,11.692451210692525,0,0.9981532236561179,16.0,16,xgboost,5,66980,6400,5,16,c4bb1bf38ae4913e,1,success,coarse,6400,0,12.79385011922568
16,35.052804940380156,0,3.8629650603979826,14.333333333333334,1,xgboost,27,66980,6400,27,16,c4bb1bf38ae4913e,1,success,fine,6400,0,39.02884959708899
32,16.252357331104577,0,0.8683772431686521,30.6,25,xgboost,5,66980,6400,5,32,c4bb1bf38ae4913e,1,success,coarse,6400,0,17.260323823429644
32,42.26403306238353,0,3.988787977024913,27.14814814814815,1,xgboost,27,66980,6400,27,32,c4bb1bf38ae4913e,1,success,fine,6400,0,46.39622383750975
8,10.38488002307713,0,0.8716803714632988,8.0,8,xgboost,5,66980,6400,5,8,c4bb1bf38ae4913e,1,success,coarse,6400,0,11.348975137807429
8,39.80652061570436,0,3.9217784143984318,7.222222222222222,1,xgboost,27,66980,6400,27,8,c4bb1bf38ae4913e,1,success,fine,6400,0,43.83406070899218
16,14.29719800222665,0,0.9210289977490902,15.6,14,xgboost,5,66980,6400,5,16,c4bb1bf38ae4913e,2,success,coarse,6400,0,15.326648946851492
16,40.39381702430546,0,3.858893525786698,13.814814814814815,1,xgboost,27,66980,6400,27,16,c4bb1bf38ae4913e,2,success,fine,6400,0,44.35996873769909
32,16.742966898716986,0,0.9185439217835665,31.6,30,xgboost,5,66980,6400,5,32,c4bb1bf38ae4913e,2,success,coarse,6400,0,17.79171476420015
32,37.38818526919931,0,3.6072078058496118,27.666666666666668,1,xgboost,27,66980,6400,27,32,c4bb1bf38ae4913e,2,success,fine,6400,0,41.11435478832573
8,13.21513973083347,0,0.9494954766705632,7.6,6,xgboost,5,66980,6400,5,8,c4bb1bf38ae4913e,2,success,coarse,6400,0,14.257208166643977
8,45.5864467388019,0,3.965968775562942,6.703703703703703,1,xgboost,27,66980,6400,27,8,c4bb1bf38ae4913e,2,success,fine,6400,0,49.65444141998887
16,15.04089571814984,0,0.8786207558587193,15.6,14,xgboost,5,66980,6400,5,16,c4bb1bf38ae4913e,3,success,coarse,6400,0,16.025775120593607
16,29.151634567417204,0,3.2057083575055003,14.423076923076923,4,xgboost,27,66980,6400,26,16,c4bb1bf38ae4913e,3,success,fine,6400,1,32.45815845951438
32,19.64780858438462,0,0.9483049148693681,28.8,16,xgboost,5,66980,6400,5,32,c4bb1bf38ae4913e,3,success,coarse,6400,0,20.73398575000465
32,34.29423675034195,0,3.242910726927221,27.384615384615383,4,xgboost,27,66980,6400,26,32,c4bb1bf38ae4913e,3,success,fine,6400,1,37.65474241133779
8,18.063749093562365,0,0.8369188271462917,7.6,6,xgboost,5,66980,6400,5,8,c4bb1bf38ae4913e,3,success,coarse,6400,0,18.99114697240293
