seed,total,patient_budget,model,task,patient_balanced_macro_f1,observed_class_count,unseen_at_training_class_count,actual_contributing_patients,mean_class_donor_coverage
0,6400,16,xgboost,coarse,0.9774078667913461,5.0,0.0,16.0,15.879999999999999
0,6400,16,xgboost,fine,0.5482655351594724,38.8,0.2,16.0,14.367206477732793
0,6400,32,xgboost,coarse,0.9780301815865913,5.0,0.0,32.0,31.04
0,6400,32,xgboost,fine,0.5442863531656683,38.8,0.2,32.0,26.787179487179486
0,6400,8,xgboost,coarse,0.9709256087633189,5.0,0.0,8.0,8.0
0,6400,8,xgboost,fine,0.5492835317650776,38.8,0.2,8.0,7.350877192982456
1,6400,16,xgboost,coarse,0.9751090121240406,5.0,0.0,16.0,15.959999999999999
1,6400,16,xgboost,fine,0.547011133651539,39.0,0.0,16.0,14.205128205128204
1,6400,32,xgboost,coarse,0.9785748462862488,5.0,0.0,32.0,30.76
1,6400,32,xgboost,fine,0.5467822203588192,39.0,0.0,32.0,26.74871794871795
1,6400,8,xgboost,coarse,0.9732752295800513,5.0,0.0,8.0,7.959999999999999
1,6400,8,xgboost,fine,0.5519184743141097,39.0,0.0,8.0,7.323076923076923
2,6400,16,xgboost,coarse,0.9827484755264498,5.0,0.0,16.0,15.959999999999999
2,6400,16,xgboost,fine,0.5543948709963293,39.0,0.0,16.0,14.4
2,6400,32,xgboost,coarse,0.9820870951752496,5.0,0.0,32.0,31.96
2,6400,32,xgboost,fine,0.5539952133632005,39.0,0.0,32.0,26.887179487179488
2,6400,8,xgboost,coarse,0.9823616632560276,5.0,0.0,8.0,8.0
2,6400,8,xgboost,fine,0.5492024281150897,39.0,0.0,8.0,7.292307692307692
3,6400,16,xgboost,coarse,0.9762694438310782,5.0,0.0,16.0,16.0
3,6400,16,xgboost,fine,0.5396530676548732,39.0,0.0,16.0,14.323076923076922
3,6400,32,xgboost,coarse,0.9785938268520162,5.0,0.0,32.0,31.439999999999998
3,6400,32,xgboost,fine,0.5403155335059936,39.0,0.0,32.0,26.54871794871795
3,6400,8,xgboost,coarse,0.9796629178074794,5.0,0.0,8.0,8.0
3,6400,8,xgboost,fine,0.5458180632577302,39.0,0.0,8.0,7.276923076923078
4,6400,16,xgboost,coarse,0.9747288096292024,5.0,0.0,16.0,15.959999999999999
4,6400,16,xgboost,fine,0.545139722238909,39.0,0.0,16.0,14.394871794871795
4,6400,32,xgboost,coarse,0.973173256293823,5.0,0.0,32.0,31.72
4,6400,32,xgboost,fine,0.5452800787624366,39.0,0.0,32.0,26.682051282051283
4,6400,8,xgboost,coarse,0.9761437689697955,5.0,0.0,8.0,7.959999999999999
4,6400,8,xgboost,fine,0.5451143833114958,39.0,0.0,8.0,7.4
5,6400,16,xgboost,coarse,0.9767827967647508,5.0,0.0,16.0,15.959999999999999
5,6400,16,xgboost,fine,0.5438563600174039,39.0,0.0,16.0,14.235897435897437
5,6400,32,xgboost,coarse,0.980035915234849,5.0,0.0,32.0,31.240000000000002
5,6400,32,xgboost,fine,0.544806722082709,39.0,0.0,32.0,26.28205128205128
5,6400,8,xgboost,coarse,0.9755039282487342,5.0,0.0,8.0,7.959999999999999
5,6400,8,xgboost,fine,0.5418225417821347,39.0,0.0,8.0,7.317948717948719
6,6400,16,xgboost,coarse,0.9755604241901988,5.0,0.0,16.0,16.0
6,6400,16,xgboost,fine,0.5431456332823029,39.0,0.0,16.0,14.107692307692307
6,6400,32,xgboost,coarse,0.9741761833062622,5.0,0.0,32.0,30.68
6,6400,32,xgboost,fine,0.5390643852429832,39.0,0.0,32.0,26.056410256410253
6,6400,8,xgboost,coarse,0.9758982229261057,5.0,0.0,8.0,8.0
6,6400,8,xgboost,fine,0.5427834653507129,39.0,0.0,8.0,7.2666666666666675
7,6400,16,xgboost,coarse,0.9761950397014312,5.0,0.0,16.0,15.959999999999999
7,6400,16,xgboost,fine,0.5497331203681459,39.0,0.0,16.0,14.292307692307693
7,6400,32,xgboost,coarse,0.9709039849045317,5.0,0.0,32.0,31.040000000000003
7,6400,32,xgboost,fine,0.5470313923531298,39.0,0.0,32.0,26.44102564102564
7,6400,8,xgboost,coarse,0.973520189018175,5.0,0.0,8.0,7.959999999999999
7,6400,8,xgboost,fine,0.5543505418072769,39.0,0.0,8.0,7.3538461538461535
8,6400,16,xgboost,coarse,0.9718221231859395,5.0,0.0,16.0,16.0
8,6400,16,xgboost,fine,0.5467227936709878,39.0,0.0,16.0,14.338461538461539
8,6400,32,xgboost,coarse,0.973875876667387,5.0,0.0,32.0,31.24
8,6400,32,xgboost,fine,0.5434774442859955,39.0,0.0,32.0,26.979487179487176
8,6400,8,xgboost,coarse,0.9744835981388453,5.0,0.0,8.0,8.0
8,6400,8,xgboost,fine,0.5475603854877683,39.0,0.0,8.0,7.312820512820513
9,6400,16,xgboost,coarse,0.9708890086722197,5.0,0.0,16.0,16.0
9,6400,16,xgboost,fine,0.5447628338334436,38.8,0.2,16.0,14.429959514170042
9,6400,32,xgboost,coarse,0.9744205713948937,5.0,0.0,32.0,30.839999999999996
9,6400,32,xgboost,fine,0.5449573068323798,38.8,0.2,32.0,27.07975708502024
9,6400,8,xgboost,coarse,0.9714583017356662,5.0,0.0,8.0,8.0
9,6400,8,xgboost,fine,0.5492683198649734,38.8,0.2,8.0,7.371794871794871
