actual_contributing_patients,fit_seconds,fold,inference_seconds,mean_class_donor_coverage,min_class_donor_coverage,model,n_classes,n_test_cells,n_train_cells,observed_class_count,patient_budget,protocol_hash,seed,status,task,total,unseen_at_training_class_count,wall_seconds
16,11.159831740893424,0,0.3398721478879452,16.0,16,xgboost,5,165797,6400,5,16,21f5dbe4f5a61997,0,success,coarse,6400,0,11.703303159214556
16,91.85218052845448,0,4.697014008648694,14.461538461538462,2,xgboost,39,165797,6400,39,16,21f5dbe4f5a61997,0,success,fine,6400,0,96.85042310040444
32,10.329726633615792,0,0.3509383900091052,31.8,31,xgboost,5,165797,6400,5,32,21f5dbe4f5a61997,0,success,coarse,6400,0,10.890049517154694
32,95.75241262372583,0,3.6607985934242606,27.205128205128204,2,xgboost,39,165797,6400,39,32,21f5dbe4f5a61997,0,success,fine,6400,0,99.63020457979292
8,9.3030203608796,0,0.35822803154587746,8.0,8,xgboost,5,165797,6400,5,8,21f5dbe4f5a61997,0,success,coarse,6400,0,9.8586016157642
8,103.37048325501382,0,3.285912728868425,7.358974358974359,2,xgboost,39,165797,6400,39,8,21f5dbe4f5a61997,0,success,fine,6400,0,106.84601205959916
16,9.98409165814519,0,0.36419025249779224,16.0,16,xgboost,5,165797,6400,5,16,21f5dbe4f5a61997,1,success,coarse,6400,0,10.52467374317348
16,93.92023247759789,0,4.081080504693091,14.282051282051283,1,xgboost,39,165797,6400,39,16,21f5dbe4f5a61997,1,success,fine,6400,0,98.19113138876855
32,9.354562090709805,0,0.34274822752922773,29.6,20,xgboost,5,165797,6400,5,32,21f5dbe4f5a61997,1,success,coarse,6400,0,9.9019869081676
32,94.27043938916177,0,4.053255594335496,27.17948717948718,1,xgboost,39,165797,6400,39,32,21f5dbe4f5a61997,1,success,fine,6400,0,98.54311893787235
8,10.088123408146203,0,0.4504098501056433,8.0,8,xgboost,5,165797,6400,5,8,21f5dbe4f5a61997,1,success,coarse,6400,0,10.70283610187471
8,92.37063014600426,0,3.3342278581112623,7.358974358974359,1,xgboost,39,165797,6400,39,8,21f5dbe4f5a61997,1,success,fine,6400,0,95.91127010155469
16,10.226929105818272,0,0.3813789514824748,16.0,16,xgboost,5,165797,6400,5,16,21f5dbe4f5a61997,2,success,coarse,6400,0,10.78749222587794
16,90.08740784227848,0,3.519113519228995,14.333333333333334,1,xgboost,39,165797,6400,39,16,21f5dbe4f5a61997,2,success,fine,6400,0,93.79118130076677
32,9.700761755928397,0,0.36252845264971256,32.0,32,xgboost,5,165797,6400,5,32,21f5dbe4f5a61997,2,success,coarse,6400,0,10.258289878256619
32,87.31558517552912,0,3.4790668580681086,27.128205128205128,1,xgboost,39,165797,6400,39,32,21f5dbe4f5a61997,2,success,fine,6400,0,90.99968233704567
8,10.594426088035107,0,0.3646537559106946,8.0,8,xgboost,5,165797,6400,5,8,21f5dbe4f5a61997,2,success,coarse,6400,0,11.125957657583058
8,91.5377361215651,0,3.2480796296149492,7.205128205128205,1,xgboost,39,165797,6400,39,8,21f5dbe4f5a61997,2,success,fine,6400,0,94.96213794965297
16,9.062315141782165,0,0.3618053635582328,16.0,16,xgboost,5,165797,6400,5,16,21f5dbe4f5a61997,3,success,coarse,6400,0,9.599741848185658
16,87.28627222310752,0,3.229826182126999,14.41025641025641,1,xgboost,39,165797,6400,39,16,21f5dbe4f5a61997,3,success,fine,6400,0,90.70047449786216
32,9.078857464715838,0,0.3319270806387067,32.0,32,xgboost,5,165797,6400,5,32,21f5dbe4f5a61997,3,success,coarse,6400,0,9.61562358494848
32,86.11516985297203,0,3.406472702510655,26.76923076923077,1,xgboost,39,165797,6400,39,32,21f5dbe4f5a61997,3,success,fine,6400,0,89.71876107528806
8,8.943405719473958,0,0.45557023026049137,8.0,8,xgboost,5,165797,6400,5,8,21f5dbe4f5a61997,3,success,coarse,6400,0,9.605077193118632
8,85.72354575619102,0,3.251022895798087,7.358974358974359,1,xgboost,39,165797,6400,39,8,21f5dbe4f5a61997,3,success,fine,6400,0,89.13713137060404
16,9.66428242623806,0,0.34818266704678535,15.8,15,xgboost,5,165797,6400,5,16,21f5dbe4f5a61997,4,success,coarse,6400,0,10.189902793616056
16,83.43285267800093,0,3.393881594762206,14.076923076923077,1,xgboost,39,165797,6400,39,16,21f5dbe4f5a61997,4,success,fine,6400,0,86.99800857622176
32,9.667595548555255,0,0.3868770860135555,30.8,26,xgboost,5,165797,6400,5,32,21f5dbe4f5a61997,4,success,coarse,6400,0,10.250459354370832
32,87.38235204014927,0,3.1568539766594768,26.384615384615383,1,xgboost,39,165797,6400,39,32,21f5dbe4f5a61997,4,success,fine,6400,0,90.72979244403541
8,9.776987938210368,0,0.3724168576300144,7.8,7,xgboost,5,165797,6400,5,8,21f5dbe4f5a61997,4,success,coarse,6400,0,10.313078258186579
8,84.21188647765666,0,3.104919553734362,7.333333333333333,1,xgboost,39,165797,6400,39,8,21f5dbe4f5a61997,4,success,fine,6400,0,87.4917579293251
16,9.512066732160747,0,0.3480040794238448,16.0,16,xgboost,5,165797,6400,5,16,21f5dbe4f5a61997,5,success,coarse,6400,0,10.043838178738952
16,86.63248068653047,0,3.143922435119748,14.179487179487179,2,xgboost,39,165797,6400,39,16,21f5dbe4f5a61997,5,success,fine,6400,0,89.97044820338488
32,9.48507191799581,0,0.33487195428460836,32.0,32,xgboost,5,165797,6400,5,32,21f5dbe4f5a61997,5,success,coarse,6400,0,10.023290444165468
32,86.81863746698946,0,3.5552911274135113,26.025641025641026,2,xgboost,39,165797,6400,39,32,21f5dbe4f5a61997,5,success,fine,6400,0,90.58678380865604
8,9.219029417261481,0,0.3472615322098136,8.0,8,xgboost,5,165797,6400,5,8,21f5dbe4f5a61997,5,success,coarse,6400,0,9.737605283036828
8,87.02762628067285,0,3.2337835859507322,7.384615384615385,2,xgboost,39,165797,6400,39,8,21f5dbe4f5a61997,5,success,fine,6400,0,90.48006057552993
16,9.472502509132028,0,0.3485612813383341,16.0,16,xgboost,5,165797,6400,5,16,21f5dbe4f5a61997,6,success,coarse,6400,0,9.993568019010127
16,84.47574042249471,0,3.3273084051907063,14.256410256410257,1,xgboost,39,165797,6400,39,16,21f5dbe4f5a61997,6,success,fine,6400,0,87.97796489670873
32,9.052235366776586,0,0.36948168743401766,31.2,28,xgboost,5,165797,6400,5,32,21f5dbe4f5a61997,6,success,coarse,6400,0,9.624870527535677
32,75.60108945053071,0,1.9331029569730163,25.871794871794872,1,xgboost,39,165797,6400,39,32,21f5dbe4f5a61997,6,success,fine,6400,0,77.73916842788458
8,9.565085743553936,0,0.3766180267557502,8.0,8,xgboost,5,165797,6400,5,8,21f5dbe4f5a61997,6,success,coarse,6400,0,10.104655794799328
8,83.66457844618708,0,3.7078771516680717,7.3076923076923075,1,xgboost,39,165797,6400,39,8,21f5dbe4f5a61997,6,success,fine,6400,0,87.5344602894038
16,10.240348072722554,0,0.35786188766360283,16.0,16,xgboost,5,165797,6400,5,16,21f5dbe4f5a61997,7,success,coarse,6400,0,10.778793117031455
16,83.34732232335955,0,3.2552804173901677,14.384615384615385,2,xgboost,39,165797,6400,39,16,21f5dbe4f5a61997,7,success,fine,6400,0,86.8781879292801
32,9.52304704952985,0,0.3552666762843728,31.4,29,xgboost,5,165797,6400,5,32,21f5dbe4f5a61997,7,success,coarse,6400,0,10.082782162353396
