seed,total,patient_budget,model,task,patient_balanced_macro_f1,observed_class_count,unseen_at_training_class_count,actual_contributing_patients,mean_class_donor_coverage
0,6400,16,xgboost,coarse,0.8977829945942046,5.0,0.0,16.0,15.76
0,6400,16,xgboost,fine,0.5048326801194253,28.8,1.2,16.0,12.21224958949097
0,6400,32,xgboost,coarse,0.8961574247052304,5.0,0.0,32.0,29.439999999999998
0,6400,32,xgboost,fine,0.49842015994757854,28.8,1.2,32.0,22.238965517241375
0,6400,8,xgboost,coarse,0.8961329358505962,5.0,0.0,8.0,7.840000000000001
0,6400,8,xgboost,fine,0.5083612827696742,28.8,1.2,8.0,6.462627257799672
1,6400,16,xgboost,coarse,0.9056770314748712,5.0,0.0,16.0,15.4
1,6400,16,xgboost,fine,0.5218994143096117,28.8,1.2,16.0,12.208620689655174
1,6400,32,xgboost,coarse,0.9010296966697199,5.0,0.0,32.0,29.8
1,6400,32,xgboost,fine,0.5204523467268742,28.8,1.2,32.0,21.9076354679803
1,6400,8,xgboost,coarse,0.9045353575037662,5.0,0.0,8.0,7.8
1,6400,8,xgboost,fine,0.5178961004598925,28.8,1.2,8.0,6.46576354679803
2,6400,16,xgboost,coarse,0.8938462321999712,5.0,0.0,16.0,15.6
2,6400,16,xgboost,fine,0.5164688671163851,28.8,1.2,16.0,12.081149425287355
2,6400,32,xgboost,coarse,0.8936000430753903,5.0,0.0,32.0,29.0
2,6400,32,xgboost,fine,0.5172531830284934,28.8,1.2,32.0,21.81062579821201
2,6400,8,xgboost,coarse,0.8812363083653902,5.0,0.0,8.0,7.720000000000001
2,6400,8,xgboost,fine,0.5178758143260306,28.8,1.2,8.0,6.340970625798212
3,6400,16,xgboost,coarse,0.8883755304612484,5.0,0.0,16.0,15.680000000000001
3,6400,16,xgboost,fine,0.5132666360287791,28.8,1.2,16.0,12.299014778325123
3,6400,32,xgboost,coarse,0.8892920646898321,5.0,0.0,32.0,29.159999999999997
3,6400,32,xgboost,fine,0.5122710430435824,28.8,1.2,32.0,22.18064039408867
3,6400,8,xgboost,coarse,0.8930985367749986,5.0,0.0,8.0,7.76
3,6400,8,xgboost,fine,0.5087762293212464,28.8,1.2,8.0,6.438226600985222
4,6400,16,xgboost,coarse,0.8929451865355784,5.0,0.0,16.0,15.719999999999999
4,6400,16,xgboost,fine,0.5143372691568118,29.2,0.8,16.0,12.040919540229885
4,6400,32,xgboost,coarse,0.8949162757573061,5.0,0.0,32.0,29.68
4,6400,32,xgboost,fine,0.5108738451613487,29.2,0.8,32.0,22.160755336617406
4,6400,8,xgboost,coarse,0.8985422041660154,5.0,0.0,8.0,7.92
4,6400,8,xgboost,fine,0.510790124053793,29.2,0.8,8.0,6.33344827586207
5,6400,16,xgboost,coarse,0.900266865682845,5.0,0.0,16.0,15.559999999999999
5,6400,16,xgboost,fine,0.5100636251685206,28.8,1.2,16.0,12.29975369458128
5,6400,32,xgboost,coarse,0.8980253672184272,5.0,0.0,32.0,29.68
5,6400,32,xgboost,fine,0.5082123634067733,28.8,1.2,32.0,22.344827586206897
5,6400,8,xgboost,coarse,0.8990857422274015,5.0,0.0,8.0,7.880000000000001
5,6400,8,xgboost,fine,0.512722801518147,28.8,1.2,8.0,6.513793103448276
6,6400,16,xgboost,coarse,0.8960368565384844,5.0,0.0,16.0,15.440000000000001
6,6400,16,xgboost,fine,0.5237199122081962,29.2,0.8,16.0,12.087093596059114
6,6400,32,xgboost,coarse,0.8909743661528854,5.0,0.0,32.0,29.0
6,6400,32,xgboost,fine,0.5220969561669918,29.2,0.8,32.0,21.830935960591134
6,6400,8,xgboost,coarse,0.8948858870584477,5.0,0.0,8.0,7.760000000000001
6,6400,8,xgboost,fine,0.5207397201214002,29.2,0.8,8.0,6.367619047619047
7,6400,16,xgboost,coarse,0.9054887846068338,5.0,0.0,16.0,15.6
7,6400,16,xgboost,fine,0.5282999031530873,29.0,1.0,16.0,11.995303776683087
7,6400,32,xgboost,coarse,0.9037611389811481,5.0,0.0,32.0,29.959999999999997
7,6400,32,xgboost,fine,0.5198616472222625,29.0,1.0,32.0,22.024384236453198
7,6400,8,xgboost,coarse,0.9047478836135655,5.0,0.0,8.0,7.840000000000001
7,6400,8,xgboost,fine,0.5287302000725558,29.0,1.0,8.0,6.3489983579638745
8,6400,16,xgboost,coarse,0.897071185976851,5.0,0.0,16.0,15.8
8,6400,16,xgboost,fine,0.5103727281917231,29.2,0.8,16.0,12.184827586206897
8,6400,32,xgboost,coarse,0.8975778291183575,5.0,0.0,32.0,29.8
8,6400,32,xgboost,fine,0.5091121569007641,29.2,0.8,32.0,22.207816091954022
8,6400,8,xgboost,coarse,0.9005070099383353,5.0,0.0,8.0,7.880000000000001
8,6400,8,xgboost,fine,0.5071312160690555,29.2,0.8,8.0,6.423678160919541
9,6400,16,xgboost,coarse,0.8851476769655637,5.0,0.0,16.0,15.64
9,6400,16,xgboost,fine,0.5111109128159502,28.6,1.4,16.0,12.038465608465609
9,6400,32,xgboost,coarse,0.8839463542733335,5.0,0.0,32.0,29.0
9,6400,32,xgboost,fine,0.5116781689082265,28.6,1.4,32.0,21.722857142857144
9,6400,8,xgboost,coarse,0.8875985160477112,5.0,0.0,8.0,7.840000000000001
9,6400,8,xgboost,fine,0.5031849288063988,28.6,1.4,8.0,6.337883597883598
