actual_contributing_patients,fit_seconds,fold,inference_seconds,mean_class_donor_coverage,min_class_donor_coverage,model,n_classes,n_test_cells,n_train_cells,observed_class_count,patient_budget,protocol_hash,seed,status,task,total,unseen_at_training_class_count,wall_seconds
16,3.235760897397995,0,0.6294558318331838,15.8,15,xgboost,5,228102,6400,5,16,efe902f7ff6c11bd,0,success,coarse,6400,0,5.010165390558541
16,15.262672701850533,0,4.368167106993496,12.413793103448276,1,xgboost,30,228102,6400,29,16,efe902f7ff6c11bd,0,success,fine,6400,1,20.733006949536502
32,2.6902968119829893,0,0.5948270307853818,30.2,23,xgboost,5,228102,6400,5,32,efe902f7ff6c11bd,0,success,coarse,6400,0,4.446803054772317
32,14.82048992998898,0,4.371465314179659,22.93103448275862,2,xgboost,30,228102,6400,29,32,efe902f7ff6c11bd,0,success,fine,6400,1,20.324500272981822
8,3.051372705027461,0,0.548542033880949,8.0,8,xgboost,5,228102,6400,5,8,efe902f7ff6c11bd,0,success,coarse,6400,0,4.79826426319778
8,13.245167365297675,0,80.85007912945002,6.620689655172414,1,xgboost,30,228102,6400,29,8,efe902f7ff6c11bd,0,success,fine,6400,1,95.20982927270234
16,2.5841770451515913,0,0.5728643452748656,15.4,13,xgboost,5,228102,6400,5,16,efe902f7ff6c11bd,1,success,coarse,6400,0,4.27868942823261
16,14.004471107386053,0,4.37445948459208,11.931034482758621,2,xgboost,30,228102,6400,29,16,efe902f7ff6c11bd,1,success,fine,6400,1,19.49620419833809
32,2.6529558543115854,0,0.5482279919087887,30.0,22,xgboost,5,228102,6400,5,32,efe902f7ff6c11bd,1,success,coarse,6400,0,4.327072172425687
32,13.946115746162832,0,3.984099017456174,21.413793103448278,2,xgboost,30,228102,6400,29,32,efe902f7ff6c11bd,1,success,fine,6400,1,19.079712266102433
8,2.245537151582539,0,0.5275895269587636,8.0,8,xgboost,5,228102,6400,5,8,efe902f7ff6c11bd,1,success,coarse,6400,0,3.8814705247059464
8,13.61730138398707,0,4.058346384204924,6.655172413793103,1,xgboost,30,228102,6400,29,8,efe902f7ff6c11bd,1,success,fine,6400,1,18.76494645420462
16,2.4247519075870514,0,0.548456072807312,15.4,13,xgboost,5,228102,6400,5,16,efe902f7ff6c11bd,2,success,coarse,6400,0,4.09876629896462
16,14.023025709204376,0,3.8699771389365196,11.96551724137931,1,xgboost,30,228102,6400,29,16,efe902f7ff6c11bd,2,success,fine,6400,1,19.003722544759512
32,2.7430857503786683,0,0.5649131676182151,29.0,17,xgboost,5,228102,6400,5,32,efe902f7ff6c11bd,2,success,coarse,6400,0,4.432956420816481
32,14.375219160690904,0,3.9348872248083353,21.655172413793103,1,xgboost,30,228102,6400,29,32,efe902f7ff6c11bd,2,success,fine,6400,1,19.42463635839522
8,2.7420732341706753,0,0.5583405019715428,7.4,5,xgboost,5,228102,6400,5,8,efe902f7ff6c11bd,2,success,coarse,6400,0,4.390609438531101
8,14.04274105001241,0,3.9435028973966837,6.275862068965517,1,xgboost,30,228102,6400,29,8,efe902f7ff6c11bd,2,success,fine,6400,1,19.255825676955283
16,2.843817357905209,0,0.5590691873803735,15.6,14,xgboost,5,228102,6400,5,16,efe902f7ff6c11bd,3,success,coarse,6400,0,4.5219945684075356
16,13.74792052526027,0,3.5568698355928063,12.535714285714286,1,xgboost,30,228102,6400,28,16,efe902f7ff6c11bd,3,success,fine,6400,2,18.443176853470504
32,2.3741319263353944,0,0.549365958198905,29.2,18,xgboost,5,228102,6400,5,32,efe902f7ff6c11bd,3,success,coarse,6400,0,4.038866297341883
32,13.917200798168778,0,3.580427737906575,22.75,2,xgboost,30,228102,6400,28,32,efe902f7ff6c11bd,3,success,fine,6400,2,18.594089513644576
8,2.6943988585844636,0,0.5383700709789991,7.8,7,xgboost,5,228102,6400,5,8,efe902f7ff6c11bd,3,success,coarse,6400,0,4.329255235381424
8,13.800857586786151,0,3.804028006270528,6.464285714285714,1,xgboost,30,228102,6400,28,8,efe902f7ff6c11bd,3,success,fine,6400,2,18.71811037696898
16,2.431193010881543,0,0.5683971857652068,16.0,16,xgboost,5,228102,6400,5,16,efe902f7ff6c11bd,4,success,coarse,6400,0,4.10494089871645
16,14.497587249614298,0,3.564646846614778,12.5,2,xgboost,30,228102,6400,28,16,efe902f7ff6c11bd,4,success,fine,6400,2,19.194012554362416
32,2.507374103181064,0,0.572825076058507,31.2,28,xgboost,5,228102,6400,5,32,efe902f7ff6c11bd,4,success,coarse,6400,0,4.206971224397421
32,13.110994907096028,0,3.798421872779727,22.642857142857142,2,xgboost,30,228102,6400,28,32,efe902f7ff6c11bd,4,success,fine,6400,2,18.03313890658319
8,2.60693721473217,0,0.6200433829799294,8.0,8,xgboost,5,228102,6400,5,8,efe902f7ff6c11bd,4,success,coarse,6400,0,4.34402643237263
8,13.502070669084787,0,3.6629315381869674,6.75,2,xgboost,30,228102,6400,28,8,efe902f7ff6c11bd,4,success,fine,6400,2,18.290881482884288
16,3.547262502834201,0,0.654218296520412,15.4,13,xgboost,5,228102,6400,5,16,efe902f7ff6c11bd,5,success,coarse,6400,0,5.336114637553692
16,13.297649769112468,0,1.8771003214642406,11.931034482758621,1,xgboost,30,228102,6400,29,16,efe902f7ff6c11bd,5,success,fine,6400,1,16.279582877643406
32,3.8759884042665362,0,0.29277820978313684,30.6,25,xgboost,5,228102,6400,5,32,efe902f7ff6c11bd,5,success,coarse,6400,0,5.374503499828279
32,12.476129933260381,0,1.856994061730802,21.551724137931036,1,xgboost,30,228102,6400,29,32,efe902f7ff6c11bd,5,success,fine,6400,1,15.462755025364459
8,2.4165723584592342,0,0.5525022549554706,7.8,7,xgboost,5,228102,6400,5,8,efe902f7ff6c11bd,5,success,coarse,6400,0,4.067746737971902
8,15.140359229408205,0,3.892992035485804,6.241379310344827,1,xgboost,30,228102,6400,29,8,efe902f7ff6c11bd,5,success,fine,6400,1,20.186332230456173
16,2.5248784217983484,0,0.2818098282441497,15.6,14,xgboost,5,228102,6400,5,16,efe902f7ff6c11bd,6,success,coarse,6400,0,3.908708960749209
16,11.864442551508546,0,1.824483067728579,12.448275862068966,1,xgboost,30,228102,6400,29,16,efe902f7ff6c11bd,6,success,fine,6400,1,14.79802578035742
32,2.5581041472032666,0,0.27723340690135956,29.2,18,xgboost,5,228102,6400,5,32,efe902f7ff6c11bd,6,success,coarse,6400,0,3.999656687490642
32,14.645936938934028,0,3.6654308289289474,21.896551724137932,1,xgboost,30,228102,6400,29,32,efe902f7ff6c11bd,6,success,fine,6400,1,19.519754302687943
8,2.8808148857206106,0,0.2933709640055895,8.0,8,xgboost,5,228102,6400,5,8,efe902f7ff6c11bd,6,success,coarse,6400,0,4.27210412081331
8,13.686084932647645,0,1.8281946619972587,6.551724137931035,1,xgboost,30,228102,6400,29,8,efe902f7ff6c11bd,6,success,fine,6400,1,16.63926597405225
16,2.8092017341405153,0,0.3912367019802332,16.0,16,xgboost,5,228102,6400,5,16,efe902f7ff6c11bd,7,success,coarse,6400,0,4.299693801440299
