dataset,seed,total,patient_budget,model,task,patient_balanced_macro_f1
combat_rna,0,3200,32,logistic_regression,coarse,0.9799928171300938
combat_rna,0,3200,32,logistic_regression,fine,0.5064613952471797
combat_rna,0,6400,32,logistic_regression,coarse,0.9849528772369828
combat_rna,0,6400,32,logistic_regression,fine,0.518748471083747
combat_rna,1,3200,32,logistic_regression,coarse,0.9817309154886977
combat_rna,1,3200,32,logistic_regression,fine,0.507300303606246
combat_rna,1,6400,32,logistic_regression,coarse,0.9823155421262075
combat_rna,1,6400,32,logistic_regression,fine,0.5156470700402225
combat_rna,2,3200,32,logistic_regression,coarse,0.9836297613665274
combat_rna,2,3200,32,logistic_regression,fine,0.5095177625087948
combat_rna,2,6400,32,logistic_regression,coarse,0.982820431902903
combat_rna,2,6400,32,logistic_regression,fine,0.520241379403272
combat_rna,3,3200,32,logistic_regression,coarse,0.9815521864400549
combat_rna,3,3200,32,logistic_regression,fine,0.5110669944993111
combat_rna,3,6400,32,logistic_regression,coarse,0.9831199891288686
combat_rna,3,6400,32,logistic_regression,fine,0.5178578075851963
combat_rna,4,3200,32,logistic_regression,coarse,0.9802908781448412
combat_rna,4,3200,32,logistic_regression,fine,0.5066693676811982
combat_rna,4,6400,32,logistic_regression,coarse,0.9808834644008474
combat_rna,4,6400,32,logistic_regression,fine,0.5147764293823108
combat_rna,5,3200,32,logistic_regression,coarse,0.9815875066353505
combat_rna,5,3200,32,logistic_regression,fine,0.5017288523135406
combat_rna,5,6400,32,logistic_regression,coarse,0.9815300417385563
combat_rna,5,6400,32,logistic_regression,fine,0.5205272851319064
combat_rna,6,3200,32,logistic_regression,coarse,0.9796274107707514
combat_rna,6,3200,32,logistic_regression,fine,0.5136129912960284
combat_rna,6,6400,32,logistic_regression,coarse,0.9809239335257782
combat_rna,6,6400,32,logistic_regression,fine,0.5207487839457702
combat_rna,7,3200,32,logistic_regression,coarse,0.9802635332873144
combat_rna,7,3200,32,logistic_regression,fine,0.509455363891961
combat_rna,7,6400,32,logistic_regression,coarse,0.981040388614139
combat_rna,7,6400,32,logistic_regression,fine,0.516764533149787
combat_rna,8,3200,32,logistic_regression,coarse,0.9785314026997224
combat_rna,8,3200,32,logistic_regression,fine,0.509698466126649
combat_rna,8,6400,32,logistic_regression,coarse,0.9802191582115987
combat_rna,8,6400,32,logistic_regression,fine,0.5194024341912437
combat_rna,9,3200,32,logistic_regression,coarse,0.978825875601468
combat_rna,9,3200,32,logistic_regression,fine,0.5078710615210759
combat_rna,9,6400,32,logistic_regression,coarse,0.9810486824373423
combat_rna,9,6400,32,logistic_regression,fine,0.5182894366832003
combat_rna,0,3200,64,logistic_regression,coarse,0.9799131362648072
combat_rna,0,3200,64,logistic_regression,fine,0.5075325695801147
combat_rna,0,6400,64,logistic_regression,coarse,0.9842264490103488
combat_rna,0,6400,64,logistic_regression,fine,0.5211183018584372
combat_rna,1,3200,64,logistic_regression,coarse,0.9809465318187998
combat_rna,1,3200,64,logistic_regression,fine,0.5078676000596162
combat_rna,1,6400,64,logistic_regression,coarse,0.981816420119741
combat_rna,1,6400,64,logistic_regression,fine,0.5153781201978889
combat_rna,2,3200,64,logistic_regression,coarse,0.9829188117109566
combat_rna,2,3200,64,logistic_regression,fine,0.5100816231237314
combat_rna,2,6400,64,logistic_regression,coarse,0.9826396323454446
combat_rna,2,6400,64,logistic_regression,fine,0.5156763778571278
combat_rna,3,3200,64,logistic_regression,coarse,0.9820765010823795
combat_rna,3,3200,64,logistic_regression,fine,0.5117725837326069
combat_rna,3,6400,64,logistic_regression,coarse,0.9835904912623302
combat_rna,3,6400,64,logistic_regression,fine,0.518571219966861
combat_rna,4,3200,64,logistic_regression,coarse,0.9785453092635453
combat_rna,4,3200,64,logistic_regression,fine,0.505862968945287
combat_rna,4,6400,64,logistic_regression,coarse,0.9810034941904704
combat_rna,4,6400,64,logistic_regression,fine,0.5108365109400954
combat_rna,5,3200,64,logistic_regression,coarse,0.9824475370977428
combat_rna,5,3200,64,logistic_regression,fine,0.502164291589525
combat_rna,5,6400,64,logistic_regression,coarse,0.9824329802355664
combat_rna,5,6400,64,logistic_regression,fine,0.5204541408868231
combat_rna,6,3200,64,logistic_regression,coarse,0.9799039344893975
combat_rna,6,3200,64,logistic_regression,fine,0.5120372236066195
combat_rna,6,6400,64,logistic_regression,coarse,0.9816392943644535
combat_rna,6,6400,64,logistic_regression,fine,0.5213538256851526
combat_rna,7,3200,64,logistic_regression,coarse,0.9807458872725856
combat_rna,7,3200,64,logistic_regression,fine,0.5094552582927339
combat_rna,7,6400,64,logistic_regression,coarse,0.9812676508035383
combat_rna,7,6400,64,logistic_regression,fine,0.518247950235223
combat_rna,8,3200,64,logistic_regression,coarse,0.9806842662176682
combat_rna,8,3200,64,logistic_regression,fine,0.5047594924633141
combat_rna,8,6400,64,logistic_regression,coarse,0.9805211181521644
combat_rna,8,6400,64,logistic_regression,fine,0.5189318597245386
combat_rna,9,3200,64,logistic_regression,coarse,0.9790057194162308
combat_rna,9,3200,64,logistic_regression,fine,0.5069234437164504
combat_rna,9,6400,64,logistic_regression,coarse,0.9815051598027882
combat_rna,9,6400,64,logistic_regression,fine,0.515958085780098
