dataset,total,from_patient_budget,to_patient_budget,model,task,n_seeds,delta_mean,seed_ci_low,seed_ci_high,joint_ci_low,joint_ci_high,joint_probability_positive
onek1k,3200,32,64,logistic_regression,coarse,10,-0.0005416004854435497,-0.009301953687446662,0.00408684812493382,-0.011125728374909683,0.0051696025517579056,0.553
onek1k,3200,64,128,logistic_regression,coarse,10,0.0012309524036663634,-0.0012368226457475985,0.005848968217442344,-0.002341328144409127,0.006784737529635182,0.642
onek1k,3200,32,128,logistic_regression,coarse,10,0.0006893519182228136,-0.008423198488908708,0.00462351086148913,-0.009648656529516603,0.005674486827234366,0.7385
onek1k,3200,32,64,logistic_regression,fine,10,-0.000513153017585366,-0.0043214120262812464,0.003793394598997799,-0.00603323631300422,0.005259915919031976,0.418
onek1k,3200,64,128,logistic_regression,fine,10,0.000418176456051822,-0.0024207451545582266,0.0034254681649524697,-0.0038922519882400087,0.00500874690201613,0.542
onek1k,3200,32,128,logistic_regression,fine,10,-9.497656153354406e-05,-0.002909995375819774,0.0052752798114767225,-0.004995702619376999,0.0069676778882097595,0.422
onek1k,6400,32,64,logistic_regression,coarse,10,0.0012347584782704478,-0.0037422418468721075,0.003551716449216572,-0.004597820029302538,0.004592027268076729,0.7665
onek1k,6400,64,128,logistic_regression,coarse,10,0.0006829386851857078,-0.0033096786988357162,0.0034286742987420433,-0.004180799082242448,0.0043205596664812355,0.6575
onek1k,6400,32,128,logistic_regression,coarse,10,0.0019176971634561556,-0.0015924050972344588,0.006667645625834718,-0.002621455517729937,0.00785632593079284,0.6835
onek1k,6400,32,64,logistic_regression,fine,10,0.0002194667894601321,-0.006850049109771267,0.004593791167922929,-0.009643799751866846,0.006273886131731764,0.5945
onek1k,6400,64,128,logistic_regression,fine,10,0.001176225120865093,-0.0043864053837364605,0.004974336479369057,-0.0065944793239664234,0.0068037110356291034,0.617
onek1k,6400,32,128,logistic_regression,fine,10,0.0013956919103252253,-0.004486537226723533,0.006459729111912338,-0.006688284091114674,0.007813737564730727,0.634
