dataset,total,patient_budget,model,task,n_seeds,mean,seed_ci_low,seed_ci_high
onek1k,3200,32,logistic_regression,coarse,10,0.9221475872840881,0.9146510584697702,0.9330367105644536
onek1k,3200,32,logistic_regression,fine,10,0.5339124715133476,0.5184747786339032,0.5451635565391294
onek1k,3200,64,logistic_regression,coarse,10,0.9216059867986444,0.9119839216642673,0.9268439657846299
onek1k,3200,64,logistic_regression,fine,10,0.5333993184957622,0.5184821222352531,0.5443999674657682
onek1k,3200,128,logistic_regression,coarse,10,0.9228369392023108,0.916860234961876,0.9259387400387743
onek1k,3200,128,logistic_regression,fine,10,0.533817494951814,0.5211110961124776,0.5451243590490744
onek1k,6400,32,logistic_regression,coarse,10,0.9343206403002459,0.9270990194402956,0.9409181285792102
onek1k,6400,32,logistic_regression,fine,10,0.5582764825185471,0.5485036290501829,0.571516197206465
onek1k,6400,64,logistic_regression,coarse,10,0.9355553987785162,0.9303379907673883,0.9402522626500225
onek1k,6400,64,logistic_regression,fine,10,0.5584959493080073,0.5486048237705836,0.569018228588751
onek1k,6400,128,logistic_regression,coarse,10,0.9362383374637021,0.930362074192786,0.9397645780609012
onek1k,6400,128,logistic_regression,fine,10,0.5596721744288724,0.5531405362922438,0.567294387722036
