dataset,seed,total,patient_budget,model,task,patient_balanced_macro_f1
onek1k,0,3200,32,logistic_regression,coarse,0.9252947795701912
onek1k,0,3200,32,logistic_regression,fine,0.5372503506906315
onek1k,0,6400,32,logistic_regression,coarse,0.9398212329180426
onek1k,0,6400,32,logistic_regression,fine,0.5640190670957381
onek1k,1,3200,32,logistic_regression,coarse,0.9202877726466522
onek1k,1,3200,32,logistic_regression,fine,0.536117982091177
onek1k,1,6400,32,logistic_regression,coarse,0.9343447558078702
onek1k,1,6400,32,logistic_regression,fine,0.5564919441746732
onek1k,2,3200,32,logistic_regression,coarse,0.9178453826584242
onek1k,2,3200,32,logistic_regression,fine,0.5175329719060761
onek1k,2,6400,32,logistic_regression,coarse,0.9319266027974928
onek1k,2,6400,32,logistic_regression,fine,0.5480241785502717
onek1k,3,3200,32,logistic_regression,coarse,0.9226181067916153
onek1k,3,3200,32,logistic_regression,fine,0.5316734851506306
onek1k,3,6400,32,logistic_regression,coarse,0.9304978424987127
onek1k,3,6400,32,logistic_regression,fine,0.5507435610828232
onek1k,4,3200,32,logistic_regression,coarse,0.918281609124955
onek1k,4,3200,32,logistic_regression,fine,0.5411315095418271
onek1k,4,6400,32,logistic_regression,coarse,0.9361744574417374
onek1k,4,6400,32,logistic_regression,fine,0.5660618915191676
onek1k,5,3200,32,logistic_regression,coarse,0.9137812418706227
onek1k,5,3200,32,logistic_regression,fine,0.5312445760374835
onek1k,5,6400,32,logistic_regression,coarse,0.9262175591053087
onek1k,5,6400,32,logistic_regression,fine,0.5501550696609881
onek1k,6,3200,32,logistic_regression,coarse,0.933149851597296
onek1k,6,3200,32,logistic_regression,fine,0.5463341508286688
onek1k,6,6400,32,logistic_regression,coarse,0.9374602607711804
onek1k,6,6400,32,logistic_regression,fine,0.5730997053092287
onek1k,7,3200,32,logistic_regression,coarse,0.9176470934223895
onek1k,7,3200,32,logistic_regression,fine,0.5365943413128537
onek1k,7,6400,32,logistic_regression,coarse,0.9353919489097156
onek1k,7,6400,32,logistic_regression,fine,0.559712086906781
onek1k,8,3200,32,logistic_regression,coarse,0.9326470025624408
onek1k,8,3200,32,logistic_regression,fine,0.5395265679888187
onek1k,8,6400,32,logistic_regression,coarse,0.9412365821582588
onek1k,8,6400,32,logistic_regression,fine,0.5615990793276654
onek1k,9,3200,32,logistic_regression,coarse,0.9199230325962935
onek1k,9,3200,32,logistic_regression,fine,0.521718779585308
onek1k,9,6400,32,logistic_regression,coarse,0.9301351605941395
onek1k,9,6400,32,logistic_regression,fine,0.5528582415581343
onek1k,0,3200,128,logistic_regression,coarse,0.9252558675774752
onek1k,0,3200,128,logistic_regression,fine,0.5361475281297976
onek1k,0,3200,64,logistic_regression,coarse,0.9237001593759653
onek1k,0,3200,64,logistic_regression,fine,0.5363896422197253
onek1k,0,6400,128,logistic_regression,coarse,0.9381811719539103
onek1k,0,6400,128,logistic_regression,fine,0.5633745940904079
onek1k,0,6400,64,logistic_regression,coarse,0.9373653622786403
onek1k,0,6400,64,logistic_regression,fine,0.5641346094897928
onek1k,1,3200,128,logistic_regression,coarse,0.9250235356790328
onek1k,1,3200,128,logistic_regression,fine,0.5342754696161369
onek1k,1,3200,64,logistic_regression,coarse,0.9204128163154426
onek1k,1,3200,64,logistic_regression,fine,0.5354574046066086
onek1k,1,6400,128,logistic_regression,coarse,0.9367589352911274
onek1k,1,6400,128,logistic_regression,fine,0.5570141453605209
onek1k,1,6400,64,logistic_regression,coarse,0.9350835234441398
onek1k,1,6400,64,logistic_regression,fine,0.5589906455658479
onek1k,2,3200,128,logistic_regression,coarse,0.9212364510328086
onek1k,2,3200,128,logistic_regression,fine,0.5208336353553681
onek1k,2,3200,64,logistic_regression,coarse,0.9213025395291037
onek1k,2,3200,64,logistic_regression,fine,0.5191901567968408
onek1k,2,6400,128,logistic_regression,coarse,0.9345660093850006
onek1k,2,6400,128,logistic_regression,fine,0.5525943614843406
onek1k,2,6400,64,logistic_regression,coarse,0.934692994043728
onek1k,2,6400,64,logistic_regression,fine,0.5476655623060621
onek1k,3,3200,128,logistic_regression,coarse,0.9248375155125672
onek1k,3,3200,128,logistic_regression,fine,0.5292658872970197
onek1k,3,3200,64,logistic_regression,coarse,0.9244403912692144
onek1k,3,3200,64,logistic_regression,fine,0.5270968225986693
onek1k,3,6400,128,logistic_regression,coarse,0.9294609761356389
onek1k,3,6400,128,logistic_regression,fine,0.556828853517018
onek1k,3,6400,64,logistic_regression,coarse,0.933236173534242
onek1k,3,6400,64,logistic_regression,fine,0.553689906534354
onek1k,4,3200,128,logistic_regression,coarse,0.9207006249242161
onek1k,4,3200,128,logistic_regression,fine,0.540519622550678
onek1k,4,3200,64,logistic_regression,coarse,0.9208164784139994
onek1k,4,3200,64,logistic_regression,fine,0.5395745504706929
onek1k,4,6400,128,logistic_regression,coarse,0.9396138939976509
onek1k,4,6400,128,logistic_regression,fine,0.5630387432642013
onek1k,4,6400,64,logistic_regression,coarse,0.9393324938054188
onek1k,4,6400,64,logistic_regression,fine,0.558051186278064
onek1k,5,3200,128,logistic_regression,coarse,0.9157452830373256
onek1k,5,3200,128,logistic_regression,fine,0.5318917854170413
onek1k,5,3200,64,logistic_regression,coarse,0.909536823217152
onek1k,5,3200,64,logistic_regression,fine,0.5334256585311655
onek1k,5,6400,128,logistic_regression,coarse,0.9334658563896259
