job_id,outer_fold,seed,patient_budget,cell_cap,model,task,start_time,end_time,exit_status,log_path,output_path,error
fold0_seed00_P8_C100_logistic_regression_coarse,0,0,8,100,logistic_regression,coarse,2026-09-08T20:33:43.433055+00:00,2026-09-08T20:33:45.658543+00:00,success,outputs/combat_citeseq_scaling/logs/fold0_seed00_P8_C100_logistic_regression.log,outputs/combat_citeseq_scaling/runs/fold0_seed00_P8_C100_logistic_regression.npz,
fold0_seed00_P8_C100_logistic_regression_fine,0,0,8,100,logistic_regression,fine,2026-09-08T20:33:43.433055+00:00,2026-09-08T20:33:45.658543+00:00,success,outputs/combat_citeseq_scaling/logs/fold0_seed00_P8_C100_logistic_regression.log,outputs/combat_citeseq_scaling/runs/fold0_seed00_P8_C100_logistic_regression.npz,
fold0_seed00_P8_C100_xgboost_coarse,0,0,8,100,xgboost,coarse,2026-09-08T21:00:29.109031+00:00,2026-09-08T21:01:16.192352+00:00,success,outputs/combat_citeseq_scaling/logs/fold0_seed00_P8_C100_xgboost.log,outputs/combat_citeseq_scaling/runs/fold0_seed00_P8_C100_xgboost.npz,
fold0_seed00_P8_C100_xgboost_fine,0,0,8,100,xgboost,fine,2026-09-08T21:00:29.109031+00:00,2026-09-08T21:01:16.192352+00:00,success,outputs/combat_citeseq_scaling/logs/fold0_seed00_P8_C100_xgboost.log,outputs/combat_citeseq_scaling/runs/fold0_seed00_P8_C100_xgboost.npz,
fold0_seed01_P8_C100_logistic_regression_coarse,0,1,8,100,logistic_regression,coarse,2026-09-08T20:34:23.700848+00:00,2026-09-08T20:35:04.943330+00:00,success,outputs/combat_citeseq_scaling/logs/fold0_seed01_P8_C100_logistic_regression.log,outputs/combat_citeseq_scaling/runs/fold0_seed01_P8_C100_logistic_regression.npz,
fold0_seed01_P8_C100_logistic_regression_fine,0,1,8,100,logistic_regression,fine,2026-09-08T20:34:23.700848+00:00,2026-09-08T20:35:04.943330+00:00,success,outputs/combat_citeseq_scaling/logs/fold0_seed01_P8_C100_logistic_regression.log,outputs/combat_citeseq_scaling/runs/fold0_seed01_P8_C100_logistic_regression.npz,
fold0_seed01_P8_C100_xgboost_coarse,0,1,8,100,xgboost,coarse,2026-09-08T20:34:23.787372+00:00,2026-09-08T20:35:32.178575+00:00,success,outputs/combat_citeseq_scaling/logs/fold0_seed01_P8_C100_xgboost.log,outputs/combat_citeseq_scaling/runs/fold0_seed01_P8_C100_xgboost.npz,
fold0_seed01_P8_C100_xgboost_fine,0,1,8,100,xgboost,fine,2026-09-08T20:34:23.787372+00:00,2026-09-08T20:35:32.178575+00:00,success,outputs/combat_citeseq_scaling/logs/fold0_seed01_P8_C100_xgboost.log,outputs/combat_citeseq_scaling/runs/fold0_seed01_P8_C100_xgboost.npz,
fold0_seed02_P8_C100_logistic_regression_coarse,0,2,8,100,logistic_regression,coarse,2026-09-08T20:34:23.767811+00:00,2026-09-08T20:35:05.025544+00:00,success,outputs/combat_citeseq_scaling/logs/fold0_seed02_P8_C100_logistic_regression.log,outputs/combat_citeseq_scaling/runs/fold0_seed02_P8_C100_logistic_regression.npz,
fold0_seed02_P8_C100_logistic_regression_fine,0,2,8,100,logistic_regression,fine,2026-09-08T20:34:23.767811+00:00,2026-09-08T20:35:05.025544+00:00,success,outputs/combat_citeseq_scaling/logs/fold0_seed02_P8_C100_logistic_regression.log,outputs/combat_citeseq_scaling/runs/fold0_seed02_P8_C100_logistic_regression.npz,
