seed,patient_budget,cell_cap,model,task,accuracy,macro_f1,balanced_accuracy,patient_balanced_accuracy,patient_balanced_macro_f1,patient_balanced_balanced_accuracy,mean_patient_macro_f1,exact_path_accuracy,root_excluded_hierarchical_f1,subtype_tree_distance,mean_observed_training_classes_across_folds,min_observed_training_classes_across_folds,n_outer_folds,n_test_patients,n_test_cells
0,8,100,logistic_regression,coarse,0.9881590852654323,0.9485787232685912,0.9348724550418259,0.988306866248047,0.9504260567186735,0.9370615748997914,0.9279620252041507,0.7226540089566809,0.8566624233273299,0.5898793502553139,5.0,5,5,105,700706
0,8,100,logistic_regression,fine,0.7251657613892274,0.4357309284646138,0.418548474831034,0.7234056352772635,0.43444501668948693,0.4181125260017529,0.3784037723689075,0.7226540089566809,0.8566624233273299,0.5898793502553139,34.8,33,5,105,700706
0,8,100,xgboost,coarse,0.9868147268611943,0.9134698118606458,0.8821776024655448,0.9866496543991954,0.9137982914218291,0.8831240906447236,0.8970888684131965,0.7307144508538531,0.8609552365756823,0.5772178345839767,5.0,5,5,105,700706
0,8,100,xgboost,fine,0.7350957462901702,0.37786734898049334,0.3524564529493017,0.7329680485287203,0.38046642515958223,0.3546242372744074,0.3343140070958752,0.7307144508538531,0.8609552365756823,0.5772178345839767,34.8,33,5,105,700706
1,8,100,logistic_regression,coarse,0.9888697970332778,0.965950136417186,0.9547084744509127,0.9888869987432751,0.9664815013674014,0.9564408161473231,0.9581765512506354,0.7192759873613185,0.8553159242249959,0.5956249839447643,5.0,5,5,105,700706
1,8,100,logistic_regression,fine,0.721762051416714,0.4199712328132645,0.3978527450108781,0.7206969104548909,0.421267544243939,0.3994262795804556,0.37215049978095954,0.7192759873613185,0.8553159242249959,0.5956249839447643,34.8,34,5,105,700706
1,8,100,xgboost,coarse,0.985774347586577,0.899515703652555,0.866130808497568,0.9856741462826433,0.8997222582849733,0.8675703553187549,0.8885246391215716,0.7264887128125063,0.8580281887125271,0.5855808284787057,5.0,5,5,105,700706
1,8,100,xgboost,fine,0.7302820298384772,0.36592035924401645,0.33739619312028535,0.7256771986528562,0.3610394295739586,0.33310634925052185,0.3165650380695844,0.7264887128125063,0.8580281887125271,0.5855808284787057,34.8,34,5,105,700706
2,8,100,logistic_regression,coarse,0.9887113853741798,0.9467219556879256,0.9432404674449636,0.9888787667488635,0.9523064769839475,0.9484664340941065,0.929078246492458,0.7306488027789115,0.8607375989359304,0.5728365391476596,5.0,5,5,105,700706
2,8,100,logistic_regression,fine,0.7327638124976809,0.4301163902981972,0.41858829828903876,0.731098628210906,0.4302471702409893,0.41968135162848413,0.37759158654057967,0.7306488027789115,0.8607375989359304,0.5728365391476596,35.2,34,5,105,700706
2,8,100,xgboost,coarse,0.9864607981093354,0.9184472051735257,0.8953051233462135,0.9860862223055455,0.9238132684489295,0.9006845098552045,0.9002426129966654,0.7346676066709861,0.8626592322600348,0.5665200526326305,5.0,5,5,105,700706
2,8,100,xgboost,fine,0.7388576664107344,0.3810437958212043,0.3540187623535354,0.7368787556864993,0.3829739870159403,0.3576480794656928,0.33228012472682716,0.7346676066709861,0.8626592322600348,0.5665200526326305,35.2,34,5,105,700706
3,8,100,logistic_regression,coarse,0.9901427988343185,0.9612330744913834,0.9573539703877122,0.9899699186916071,0.9605977512683355,0.95355724457685,0.9434407553657077,0.7275034037099725,0.8599319828858323,0.5778257928432181,5.0,5,5,105,700706
3,8,100,logistic_regression,fine,0.729721166937346,0.4278576037035303,0.4126037116569189,0.7282286025450762,0.4280484828756988,0.4108485914634735,0.3772815767973586,0.7275034037099725,0.8599319828858323,0.5778257928432181,34.8,34,5,105,700706
3,8,100,xgboost,coarse,0.9851920777044866,0.892517375991828,0.8662670331660376,0.9842035910225763,0.8861845918611815,0.8581706707060397,0.8774137953367037,0.7336871669430546,0.8616916367206788,0.5710326442188307,5.0,5,5,105,700706
3,8,100,xgboost,fine,0.7381911957368711,0.3676091074003147,0.34324613111213303,0.7344758588435572,0.3627390051025098,0.3384423823490201,0.32101868382319526,0.7336871669430546,0.8616916367206788,0.5710326442188307,34.8,34,5,105,700706
4,8,100,logistic_regression,coarse,0.9878094379097653,0.9423178036494354,0.9217494317351973,0.9878782177253562,0.9455930625164719,0.9270365229652568,0.9230061867158711,0.7220103723958408,0.85628280619832,0.5924053740085,5.0,5,5,105,700706
4,8,100,logistic_regression,fine,0.7247561744868747,0.4236113842172688,0.4045379962109691,0.7236873691084211,0.42485389732393297,0.40463064597562626,0.36814253289954585,0.7220103723958408,0.85628280619832,0.5924053740085,35.2,34,5,105,700706
4,8,100,xgboost,coarse,0.9839461914126609,0.9014664038222984,0.8679151525969161,0.9838761585904183,0.9068861634046537,0.8743311736581532,0.8862245038032063,0.7328365962329422,0.8607354582378344,0.5755737784463099,5.0,5,5,105,700706
4,8,100,xgboost,fine,0.7375247250630079,0.3728444243838758,0.3460675029441662,0.7344463370650044,0.3714381932179471,0.344905550320883,0.3258731121633318,0.7328365962329422,0.8607354582378344,0.5755737784463099,35.2,34,5,105,700706
5,8,100,logistic_regression,coarse,0.9896061971782745,0.971369922037586,0.9695431512509558,0.9896410628552652,0.9721451227543756,0.9689989042566488,0.961297701009295,0.7240112115494943,0.8581487813719306,0.5835685722685405,5.0,5,5,105,700706
5,8,100,logistic_regression,fine,0.7266913655655867,0.4365251726822831,0.4223313471505087,0.7253736401973236,0.43593703474932294,0.42048333953807127,0.3924452928539943,0.7240112115494943,0.8581487813719306,0.5835685722685405,35.0,34,5,105,700706
5,8,100,xgboost,coarse,0.9878579603999394,0.9293248501447746,0.902814820580501,0.9876784025346927,0.9284536982983145,0.9014142034364273,0.9139589950090942,0.7315949913373083,0.8617865410029313,0.5722143095677787,5.0,5,5,105,700706
5,8,100,xgboost,fine,0.7357151216059231,0.3912935448331855,0.36575677130678796,0.7341983172867,0.3884562725085046,0.362030547115461,0.34101257851543454,0.7315949913373083,0.8617865410029313,0.5722143095677787,35.0,34,5,105,700706
6,8,100,logistic_regression,coarse,0.9896090514424024,0.9468108464990855,0.9262951042551102,0.9890308508531613,0.9443273603187035,0.9242395620451183,0.9295387038284679,0.7272251129575028,0.8595823355301653,0.5778457726921133,5.0,5,5,105,700706
6,8,100,logistic_regression,fine,0.7295556196179283,0.4350478227638405,0.41622355069314054,0.7290205260020443,0.43565127451204144,0.4175310395959585,0.3829256366531991,0.7272251129575028,0.8595823355301653,0.5778457726921133,35.4,35,5,105,700706
6,8,100,xgboost,coarse,0.9866291996928812,0.8944002987012579,0.8635185404342793,0.9856706546456963,0.8921007190613391,0.8617137765141673,0.88153770160083,0.7349830028571184,0.8626192725622444,0.5718689436083036,5.0,5,5,105,700706
6,8,100,xgboost,fine,0.7386093454316075,0.3642952874381948,0.340355364238032,0.7353095081069123,0.3616012898514762,0.33873368051072117,0.31516383408258075,0.7349830028571184,0.8626192725622444,0.5718689436083036,35.4,35,5,105,700706
7,8,100,logistic_regression,coarse,0.9888127117507199,0.9399766628684045,0.9195126203535345,0.9881258054795831,0.9350268617964165,0.9137177392576536,0.9137016784082264,0.7219190359437482,0.8566916795346408,0.5876558784996846,5.0,5,5,105,700706
7,8,100,logistic_regression,fine,0.7245706473185616,0.4220790899856101,0.4041140367239594,0.7236159098191514,0.42506861100093163,0.40655541028055114,0.3724179094651824,0.7219190359437482,0.8566916795346408,0.5876558784996846,35.4,34,5,105,700706
7,8,100,xgboost,coarse,0.9870416408593619,0.909006553743002,0.8785324596673346,0.9864359454233825,0.9053980009094594,0.8749631256580894,0.8935338943214555,0.7325797124614317,0.8618050937197627,0.567099468250593,5.0,5,5,105,700706
7,8,100,xgboost,fine,0.7365685465801635,0.38926822970308406,0.3592966109796692,0.735105309804001,0.39244251703377303,0.3621295415252178,0.33741091165573556,0.7325797124614317,0.8618050937197627,0.567099468250593,35.4,34,5,105,700706
8,8,100,logistic_regression,coarse,0.9897489103846692,0.9507842467651839,0.9348010090993139,0.9895588192671001,0.9507655612960374,0.934530642371812,0.9233229245017178,0.7263303011534081,0.8591456331185975,0.5826323736345914,5.0,5,5,105,700706
8,8,100,logistic_regression,fine,0.7285423558525259,0.4231044169381924,0.4049554057214609,0.726701648712152,0.4199980843524031,0.4014227808524484,0.37474295790822876,0.7263303011534081,0.8591456331185975,0.5826323736345914,34.6,33,5,105,700706
8,8,100,xgboost,coarse,0.9876339006658998,0.906141283729659,0.8765520529257165,0.9871364504885095,0.9024631340128282,0.8730553754756134,0.8787257365895621,0.7304775469312379,0.8608831664064529,0.5777829788812997,5.0,5,5,105,700706
8,8,100,xgboost,fine,0.734132432147006,0.3805362886240231,0.35951142048438384,0.7326785983718013,0.37640062178921563,0.3558444368944786,0.3314974057745887,0.7304775469312379,0.8608831664064529,0.5777829788812997,34.6,33,5,105,700706
9,8,100,logistic_regression,coarse,0.9892008916721136,0.9524322108601331,0.9343793116217975,0.988894807264375,0.9510413379103966,0.9329803778703795,0.9372273891391542,0.7253798311988194,0.8584934337653738,0.5814364369650039,5.0,5,5,105,700706
9,8,100,logistic_regression,fine,0.727785975858634,0.4239565256622112,0.40745719952816406,0.7265103642137128,0.4244619847885515,0.4091085665100609,0.3768053597646285,0.7253798311988194,0.8584934337653738,0.5814364369650039,34.6,34,5,105,700706
9,8,100,xgboost,coarse,0.9867804756916596,0.9126471648790162,0.8795372833926166,0.9863114766248102,0.9110735581026137,0.8785096979018492,0.8933070881907906,0.735154258704792,0.8635725967809609,0.5625098115329397,5.0,5,5,105,700706
9,8,100,xgboost,fine,0.7403647178702623,0.38287996733676716,0.3616648457552191,0.7385741172140003,0.38331285900294537,0.3619245418684818,0.34120337601712064,0.735154258704792,0.8635725967809609,0.5625098115329397,34.6,34,5,105,700706
10,8,100,logistic_regression,coarse,0.9886029233373198,0.9357614900162069,0.9140798318257832,0.9886148040043614,0.9389447250145103,0.9185543059359805,0.9152602964406397,0.7174920722813848,0.8542698364221228,0.6008197446575311,4.8,4,5,105,700706
10,8,100,logistic_regression,fine,0.7199367495069259,0.4122855827219598,0.3920446680328965,0.7207056279086429,0.4195200287724563,0.39936080639082644,0.35952410516690797,0.7174920722813848,0.8542698364221228,0.6008197446575311,35.2,33,5,105,700706
10,8,100,xgboost,coarse,0.9853205195902418,0.8889363528279824,0.8586103620008728,0.9850288545609528,0.8921848600204078,0.8624925490354587,0.8702097245936907,0.7236943882312982,0.8569335784194798,0.5887176647552611,4.8,4,5,105,700706
10,8,100,xgboost,fine,0.7285466372487177,0.35745018728329736,0.3342199634357056,0.7272751203428371,0.359217054248563,0.33542346386241706,0.3178372175789721,0.7236943882312982,0.8569335784194798,0.5887176647552611,35.2,33,5,105,700706
11,8,100,logistic_regression,coarse,0.988383144999472,0.9560491263869657,0.9405741346923593,0.9883260701748608,0.9562944510537911,0.9416526067853888,0.9410840271009729,0.7106932151287416,0.8507983376765719,0.6177312596153023,5.0,5,5,105,700706
11,8,100,logistic_regression,fine,0.7132135303536719,0.4020740049574806,0.38160769264044714,0.7142024426825905,0.4048025847951227,0.384488352334251,0.35566087885155884,0.7106932151287416,0.8507983376765719,0.6177312596153023,33.8,32,5,105,700706
11,8,100,xgboost,coarse,0.9838134681307139,0.887109013930921,0.8529354523060837,0.9837165249243756,0.8916725128196312,0.858707068996115,0.8826602569232788,0.7234346501956598,0.8561821933878118,0.5908640713794373,5.0,5,5,105,700706
11,8,100,xgboost,fine,0.7285509186449096,0.35289809387495985,0.33059844746825456,0.7275100894749527,0.3540739536164678,0.3317692292083981,0.30984989459137696,0.7234346501956598,0.8561821933878118,0.5908640713794373,33.8,32,5,105,700706
12,8,100,logistic_regression,coarse,0.9889868218625215,0.9541843238972098,0.9376696599220169,0.9890106479766495,0.9601746891944998,0.9475647829806079,0.9416134833504051,0.7233761377810379,0.8576321595647818,0.5843278065265604,5.0,5,5,105,700706
12,8,100,logistic_regression,fine,0.726277497267042,0.4318335965454953,0.41361659387241784,0.7256269616654776,0.43665550486541516,0.4193275758969601,0.38230889280468233,0.7233761377810379,0.8576321595647818,0.5843278065265604,34.8,34,5,105,700706
12,8,100,xgboost,coarse,0.9854104289102705,0.9012246740147868,0.8688656492274193,0.9849650018022874,0.9089406779108578,0.877245526522721,0.8894420221559738,0.7333189668705563,0.8619392441337737,0.5661004758058301,5.0,5,5,105,700706
12,8,100,xgboost,fine,0.7384680593572768,0.3811352713482824,0.357014905204072,0.7364417587824366,0.3835312728197827,0.3598635544088086,0.33533705476737036,0.7333189668705563,0.8619392441337737,0.5661004758058301,34.8,34,5,105,700706
13,8,100,logistic_regression,coarse,0.987923608474881,0.9426797192666875,0.929511087726595,0.9878276869713983,0.9466609880929273,0.9352599968774215,0.92609192607021,0.7217777498694175,0.8561422336900212,0.5965640368428413,5.0,5,5,105,700706
13,8,100,logistic_regression,fine,0.7243608589051613,0.41958495508051286,0.39730245022495425,0.724531765020044,0.4237252629560709,0.401209864695688,0.36913793337585826,0.7217777498694175,0.8561422336900212,0.5965640368428413,35.0,34,5,105,700706
13,8,100,xgboost,coarse,0.985694428190996,0.9174541515874285,0.8928415829972483,0.9854681903335104,0.9192635346207348,0.8942890121532537,0.9041838738676024,0.7308386113434165,0.8605228155603063,0.5772035632633372,5.0,5,5,105,700706
13,8,100,xgboost,fine,0.7353512029296168,0.3804297929123153,0.3531370944182755,0.7344905356478956,0.3840624779985772,0.35583124901417457,0.3291423218244116,0.7308386113434165,0.8605228155603063,0.5772035632633372,35.0,34,5,105,700706
14,8,100,logistic_regression,coarse,0.9864593709772715,0.9346870456022943,0.9153170048728289,0.9857867396017725,0.933982617352974,0.913915851369523,0.897415756432513,0.7212211683644781,0.8551025679814359,0.5983793488281819,4.8,4,5,105,700706
14,8,100,logistic_regression,fine,0.7237457649856003,0.4224630744252831,0.39936237715921824,0.7231786399800293,0.4214961262077489,0.3986362467666476,0.3662594420934079,0.7212211683644781,0.8551025679814359,0.5983793488281819,34.8,32,5,105,700706
14,8,100,xgboost,coarse,0.9817698150151418,0.9024387961114085,0.8663898346378138,0.9805953671252288,0.8998223805989376,0.8638384801970217,0.8726512467117228,0.7239469906066167,0.855500024261245,0.5958847219804027,4.8,4,5,105,700706
14,8,100,xgboost,fine,0.7292302335073483,0.3659005005607251,0.3414540122647888,0.7267289495099641,0.36337622120856106,0.3394142779466945,0.3165392796243682,0.7239469906066167,0.855500024261245,0.5958847219804027,34.8,32,5,105,700706
15,8,100,logistic_regression,coarse,0.9876681518354345,0.944805639671958,0.9299523320215514,0.9878291331496958,0.9491159877754857,0.9360768672928191,0.9311074626500855,0.7153271129403773,0.8528113074527691,0.6063712883862847,5.0,5,5,105,700706
15,8,100,logistic_regression,fine,0.7179544630701036,0.41462621178662235,0.3914723440815703,0.7180523451768062,0.4194200977827629,0.3960270355768253,0.3673513986413432,0.7153271129403773,0.8528113074527691,0.6063712883862847,35.0,33,5,105,700706
15,8,100,xgboost,coarse,0.9852505901191084,0.8943359411406234,0.866593902293739,0.9850077638768784,0.8942433296073597,0.8669343709281753,0.8865979629100926,0.7244136627915274,0.8566724132517775,0.5916404312222244,5.0,5,5,105,700706
15,8,100,xgboost,fine,0.7280942363844466,0.3595938235688224,0.333103794796692,0.7267891340908745,0.36231469221808027,0.3356342735910618,0.316436495847619,0.7244136627915274,0.8566724132517775,0.5916404312222244,35.0,33,5,105,700706
16,8,100,logistic_regression,coarse,0.9889397265044113,0.9579704860491984,0.9483644885250868,0.9888554459323563,0.9597635141994327,0.9496741488503895,0.9413293350116003,0.7211412489688971,0.8562521228589451,0.5906100418720548,5.0,5,5,105,700706
16,8,100,logistic_regression,fine,0.723564519213479,0.4206502060104847,0.40411247356291924,0.7232417149033762,0.4230671399116024,0.4046951234713359,0.36345242465257743,0.7211412489688971,0.8562521228589451,0.5906100418720548,36.0,34,5,105,700706
16,8,100,xgboost,coarse,0.9858371413973906,0.9198421191323065,0.8910605042748132,0.985335180763337,0.9218818477938973,0.8935302614210434,0.9086640722773752,0.723349022271823,0.8565546748565018,0.5885549716999712,5.0,5,5,105,700706
16,8,100,xgboost,fine,0.7272722083156131,0.363681367882656,0.33747169405731464,0.724962172460468,0.3626506806184771,0.33574350994596597,0.3120590269323843,0.723349022271823,0.8565546748565018,0.5885549716999712,36.0,34,5,105,700706
17,8,100,logistic_regression,coarse,0.9874740618747377,0.9581587179329725,0.9459145755926283,0.9873992859760418,0.9572449936793509,0.9454277398455788,0.9429045287592264,0.7203877232391331,0.8554172506015362,0.5960046010737742,5.0,5,5,105,700706
17,8,100,logistic_regression,fine,0.7233604393283346,0.4217785863767792,0.4002690426848138,0.722412377883571,0.42080224502053,0.3999677535410988,0.37721885564312635,0.7203877232391331,0.8554172506015362,0.5960046010737742,34.8,34,5,105,700706
17,8,100,xgboost,coarse,0.9852320374022772,0.9055206192033187,0.8768388178956116,0.9844233722971257,0.9026023271597271,0.8740722371234477,0.8832933533671206,0.726253236021955,0.8580817061649251,0.5866340519418985,5.0,5,5,105,700706
17,8,100,xgboost,fine,0.7309313749275731,0.3737780431675627,0.3445343726061777,0.7284785626027159,0.3713543544932802,0.34222401574976674,0.33147342414734343,0.726253236021955,0.8580817061649251,0.5866340519418985,34.8,34,5,105,700706
18,8,100,logistic_regression,coarse,0.9891295350689162,0.9330829102195839,0.9176561587081297,0.9889188487069418,0.9374618387361808,0.9221994394918094,0.9175681457685505,0.7247276318455957,0.8579796662223529,0.5836970141542958,5.0,5,5,105,700706
18,8,100,logistic_regression,fine,0.7268297973757896,0.40540049654812504,0.3843740895667175,0.7256524210087304,0.40408263346065865,0.38410698747031113,0.3579799811387694,0.7247276318455957,0.8579796662223529,0.5836970141542958,34.8,34,5,105,700706
18,8,100,xgboost,coarse,0.9862923965257897,0.9030510477316509,0.8744405299412223,0.9858946999036626,0.9049461318989586,0.876404872334257,0.8905162386012953,0.727196570316224,0.8589429803655171,0.5834915071370874,5.0,5,5,105,700706
18,8,100,xgboost,fine,0.7315935642052445,0.360708286579161,0.33592921880708576,0.729077036174555,0.35971873102303664,0.33583228941558046,0.31501102782279977,0.727196570316224,0.8589429803655171,0.5834915071370874,34.8,34,5,105,700706
19,8,100,logistic_regression,coarse,0.9876738603636903,0.9366064765833555,0.9201350545976081,0.9877754785143281,0.9433332782449699,0.9280246487940328,0.9139389322506872,0.7108287926748166,0.8508104682991154,0.6120284398877703,5.0,5,5,105,700706
19,8,100,logistic_regression,fine,0.7139470762345406,0.41235739101744273,0.39488427068039644,0.713062898466237,0.41474925632186244,0.3979623826345294,0.35391658067337445,0.7108287926748166,0.8508104682991154,0.6120284398877703,34.8,33,5,105,700706
19,8,100,xgboost,coarse,0.9839390557523412,0.8710733631660721,0.8462454172968392,0.983044272015683,0.8721796851754157,0.8459161739811437,0.8474803753133435,0.7129438023935859,0.850233193379249,0.6168835431693178,5.0,5,5,105,700706
19,8,100,xgboost,fine,0.7165273310061566,0.33568375796768607,0.3099911936042777,0.7145413133544954,0.3333175786224546,0.3092965491452402,0.29047947056304124,0.7129438023935859,0.850233193379249,0.6168835431693178,34.8,33,5,105,700706
0,8,200,logistic_regression,coarse,0.990776445470711,0.9760383613968188,0.9746670824807182,0.9910635501278408,0.9770393547881087,0.9751529225922593,0.9681687518518896,0.74010355270256,0.8664775240971249,0.549859712918114,5.0,5,5,105,700706
0,8,200,logistic_regression,fine,0.7421786027235389,0.4836893716875572,0.4712606286398288,0.7404635888314954,0.48190450388730693,0.4698777870369222,0.4294392563833228,0.74010355270256,0.8664775240971249,0.549859712918114,36.0,35,5,105,700706
0,8,200,xgboost,coarse,0.9895862173293792,0.9436961220560901,0.9183959574275613,0.9895856909212296,0.9446299687392503,0.9201095723207009,0.9306055934883337,0.7641778434892809,0.878686638904191,0.4973812126626574,5.0,5,5,105,700706
0,8,200,xgboost,fine,0.7677870604790026,0.45963212687270216,0.4282416344560884,0.7656704535113869,0.45931149898366486,0.4275219468863881,0.40443878271117123,0.7641778434892809,0.878686638904191,0.4973812126626574,36.0,35,5,105,700706
1,8,200,logistic_regression,coarse,0.991124665694314,0.9706385715137926,0.9600770327017301,0.9912058645085605,0.9706640778194083,0.9606012766389391,0.9642863742917356,0.735074339309211,0.8640521131544471,0.561156890336318,5.0,5,5,105,700706
1,8,200,logistic_regression,fine,0.7369795606145801,0.46473370536739933,0.44803650336537504,0.7354168799792004,0.4648507237854261,0.4494668882029585,0.417148300579712,0.735074339309211,0.8640521131544471,0.561156890336318,35.6,34,5,105,700706
1,8,200,xgboost,coarse,0.9887827419773771,0.9295772724524982,0.8980299910295779,0.9887565993367962,0.9288093156898876,0.8981852811022606,0.9198986305639469,0.7605329481979604,0.8764339109412507,0.5045511241519268,5.0,5,5,105,700706
