model,task,metric,effect_type,fixed_axis,fixed_value,n_paired_seeds,mean,std,median,q025,q975,min,max,fraction_positive
logistic_regression,coarse,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,100,20,0.031139890318841186,0.01087715587187503,0.03163870682239711,0.010071152049425786,0.04661262288348237,0.009482362775070086,0.04749748008218657,1.0
logistic_regression,coarse,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,200,20,0.01114505240640563,0.005866074852205689,0.010961032114870706,0.004552557854582531,0.023463693062670807,0.004505266847141698,0.023861416518685785,1.0
logistic_regression,coarse,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,400,20,0.0047637366954388916,0.004517807383757594,0.0039012814432273224,0.0001760335409039471,0.015522645179643317,-0.0003351524502761549,0.022312296105511886,0.95
logistic_regression,coarse,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,800,20,0.004471799078141781,0.0017889284853806683,0.004560339365015098,0.0017615202539241954,0.008084123826900791,0.0016789594614076142,0.009619969191010824,1.0
logistic_regression,coarse,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,1600,20,0.005414340021904279,0.0016621096917668805,0.0047180323214752184,0.0036705481747263623,0.009186763297340394,0.0031839926670048646,0.010342283311968403,1.0
logistic_regression,coarse,macro_f1,mean_patient_gain_across_cell_caps,cell_cap,mean,20,0.011386963704146354,0.003543164333766127,0.011176926439982004,0.005835773816904712,0.018216739023796964,0.005405188050438392,0.020201624498445713,1.0
logistic_regression,coarse,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,100,20,0.03146884550172781,0.010536764364999998,0.030891120660537286,0.011437579031899996,0.04720058479354439,0.011432052625854117,0.048178744891781755,1.0
logistic_regression,coarse,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,200,20,0.01126484798451145,0.0055646910346341,0.011446105692533015,0.004422800922607379,0.02112539104411662,0.00430850052335463,0.021467148431162708,1.0
logistic_regression,coarse,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,400,20,0.004439397062384676,0.004006620412036345,0.004069085827462404,0.0007676839148687748,0.014284638871903614,-0.00022863588575050553,0.019693287820097383,0.95
logistic_regression,coarse,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,800,20,0.004201486692657158,0.001739291331142855,0.004040582985662067,0.0016711908492719001,0.007566885476861802,0.0016041620456354044,0.008978590827727007,1.0
logistic_regression,coarse,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,1600,20,0.0052249975837957595,0.0017430791825574783,0.004517495814232608,0.0033059178529875333,0.009354521243382397,0.003093543221026951,0.010342290604418936,1.0
logistic_regression,coarse,patient_balanced_macro_f1,mean_patient_gain_across_cell_caps,cell_cap,mean,20,0.011319914965015372,0.003129188495768832,0.011307298038300129,0.006231222964945446,0.016717256749508927,0.005588088211622888,0.018399331638591532,1.0
logistic_regression,fine,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,100,20,0.09748871241137838,0.009662090197484206,0.09379761894415872,0.08660148372204228,0.11801489297401356,0.0856404048641412,0.11948186469586908,1.0
logistic_regression,fine,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,200,20,0.06317875236479856,0.007875583820758997,0.06260169522895034,0.05041752621876416,0.07658146270672726,0.04711398762027724,0.07795340305412835,1.0
logistic_regression,fine,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,400,20,0.029985579532907085,0.010748859118184172,0.02964785634578443,0.015309988648861447,0.051071286923988705,0.014421029488107862,0.05806203619668848,1.0
logistic_regression,fine,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,800,20,0.01770159845016913,0.008205028246812969,0.01626832641960735,0.007507997552026474,0.03504988864289746,0.006947981955016003,0.03961164276672047,1.0
logistic_regression,fine,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,1600,20,0.03903753613827837,0.006822170816030938,0.03866574641627818,0.028531893990065844,0.04953066660874473,0.02680690675711639,0.04969074004804508,1.0
logistic_regression,fine,macro_f1,mean_patient_gain_across_cell_caps,cell_cap,mean,20,0.049478435779506294,0.007114770012231449,0.0475584013990844,0.04106601938397972,0.06412499707124396,0.04088094943028555,0.06624220752031049,1.0
logistic_regression,fine,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,100,20,0.09899093933110689,0.009856964531190317,0.09784894878205566,0.08535421140687213,0.12064776560022415,0.0821385795319628,0.12507852914997053,1.0
logistic_regression,fine,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,200,20,0.06409224285875334,0.007981625746810347,0.0631517482404578,0.049212853477584494,0.07828242980107553,0.04343025571020792,0.0792487909918923,1.0
logistic_regression,fine,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,400,20,0.03037251528813088,0.010885605432696389,0.03086033178137504,0.014908611625465567,0.05085587829493946,0.013890020866990649,0.05862777096483046,1.0
logistic_regression,fine,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,800,20,0.018372432549918834,0.008035460096996348,0.017683236900703225,0.007849441768956425,0.03461473158459605,0.006979985031209668,0.03874188886764596,1.0
logistic_regression,fine,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,1600,20,0.04061881526221433,0.006527716892095316,0.03918702188016954,0.030492714125934982,0.05106068372682746,0.02945547475097532,0.05125359401300156,1.0
