outer_fold,seed,patient_budget,cell_cap,task,class_index,class_name,training_patient_count,training_cell_count,observed_in_training
0,0,8,100,coarse,0,B,8,62,True
0,0,8,100,coarse,1,Myeloid,8,223,True
0,0,8,100,coarse,2,NK,8,51,True
0,0,8,100,coarse,3,Other,2,6,True
0,0,8,100,coarse,4,T,8,458,True
0,0,8,100,fine,0,B.INT,5,7,True
0,0,8,100,fine,1,B.MEM,7,12,True
0,0,8,100,fine,2,B.NAIVE,6,32,True
0,0,8,100,fine,3,CD4.NAIVE,8,154,True
0,0,8,100,fine,4,CD4.TCM,8,114,True
0,0,8,100,fine,5,CD4.TEFF,6,8,True
0,0,8,100,fine,6,CD4.TEFF.prolif,5,9,True
0,0,8,100,fine,7,CD4.TEM/TEMRA,3,4,True
0,0,8,100,fine,8,CD4.TREG,7,17,True
0,0,8,100,fine,9,CD8.NAIVE,6,27,True
0,0,8,100,fine,10,CD8.TCM,6,12,True
0,0,8,100,fine,11,CD8.TCM.CCL5,4,7,True
0,0,8,100,fine,12,CD8.TEFF,2,4,True
0,0,8,100,fine,13,CD8.TEFF.prolif,3,6,True
0,0,8,100,fine,14,CD8.TEM,7,23,True
0,0,8,100,fine,15,CD8.TEMRA,7,39,True
0,0,8,100,fine,16,CD8.TREG,0,0,False
0,0,8,100,fine,17,CD8.mitohi,5,14,True
0,0,8,100,fine,18,DN,3,4,True
0,0,8,100,fine,19,DP,3,4,True
0,0,8,100,fine,20,GDT.VD2,3,4,True
0,0,8,100,fine,21,GDT.VD2neg,1,1,True
0,0,8,100,fine,22,HSC,2,4,True
0,0,8,100,fine,23,MAIT,4,7,True
0,0,8,100,fine,24,Mast,0,0,False
0,0,8,100,fine,25,NK.CD16hi,6,34,True
0,0,8,100,fine,26,NK.CD16int,3,3,True
0,0,8,100,fine,27,NK.CD56hi.CD16int.XCL1/2,4,7,True
0,0,8,100,fine,28,NK.cyc,3,4,True
0,0,8,100,fine,29,NK.mitohi,3,3,True
0,0,8,100,fine,30,PB,6,11,True
0,0,8,100,fine,31,PLT,1,1,True
0,0,8,100,fine,32,RET,1,1,True
0,0,8,100,fine,33,cDC,4,7,True
0,0,8,100,fine,34,cMono,8,167,True
0,0,8,100,fine,35,cMono.cyc,4,11,True
0,0,8,100,fine,36,iNKT,0,0,False
0,0,8,100,fine,37,ncMono,7,36,True
0,0,8,100,fine,38,pDC,2,2,True
0,1,8,100,coarse,0,B,8,50,True
0,1,8,100,coarse,1,Myeloid,8,250,True
0,1,8,100,coarse,2,NK,8,76,True
0,1,8,100,coarse,3,Other,1,3,True
0,1,8,100,coarse,4,T,8,421,True
0,1,8,100,fine,0,B.INT,4,10,True
0,1,8,100,fine,1,B.MEM,6,12,True
0,1,8,100,fine,2,B.NAIVE,6,12,True
0,1,8,100,fine,3,CD4.NAIVE,8,123,True
0,1,8,100,fine,4,CD4.TCM,8,96,True
0,1,8,100,fine,5,CD4.TEFF,2,2,True
0,1,8,100,fine,6,CD4.TEFF.prolif,1,2,True
0,1,8,100,fine,7,CD4.TEM/TEMRA,5,15,True
0,1,8,100,fine,8,CD4.TREG,5,11,True
0,1,8,100,fine,9,CD8.NAIVE,5,29,True
0,1,8,100,fine,10,CD8.TCM,4,5,True
0,1,8,100,fine,11,CD8.TCM.CCL5,2,3,True
0,1,8,100,fine,12,CD8.TEFF,3,3,True
0,1,8,100,fine,13,CD8.TEFF.prolif,3,8,True
0,1,8,100,fine,14,CD8.TEM,8,19,True
0,1,8,100,fine,15,CD8.TEMRA,7,63,True
0,1,8,100,fine,16,CD8.TREG,0,0,False
0,1,8,100,fine,17,CD8.mitohi,7,16,True
0,1,8,100,fine,18,DN,3,4,True
0,1,8,100,fine,19,DP,5,5,True
0,1,8,100,fine,20,GDT.VD2,2,2,True
0,1,8,100,fine,21,GDT.VD2neg,2,4,True
0,1,8,100,fine,22,HSC,1,2,True
0,1,8,100,fine,23,MAIT,5,10,True
0,1,8,100,fine,24,Mast,0,0,False
0,1,8,100,fine,25,NK.CD16hi,7,49,True
0,1,8,100,fine,26,NK.CD16int,2,9,True
0,1,8,100,fine,27,NK.CD56hi.CD16int.XCL1/2,6,10,True
0,1,8,100,fine,28,NK.cyc,2,3,True
0,1,8,100,fine,29,NK.mitohi,3,5,True
0,1,8,100,fine,30,PB,5,16,True
0,1,8,100,fine,31,PLT,1,1,True
0,1,8,100,fine,32,RET,0,0,False
0,1,8,100,fine,33,cDC,2,3,True
0,1,8,100,fine,34,cMono,8,195,True
0,1,8,100,fine,35,cMono.cyc,4,25,True
0,1,8,100,fine,36,iNKT,1,1,True
0,1,8,100,fine,37,ncMono,7,26,True
0,1,8,100,fine,38,pDC,1,1,True
0,2,8,100,coarse,0,B,8,49,True
0,2,8,100,coarse,1,Myeloid,8,313,True
0,2,8,100,coarse,2,NK,8,104,True
0,2,8,100,coarse,3,Other,1,1,True
0,2,8,100,coarse,4,T,8,333,True
0,2,8,100,fine,0,B.INT,5,7,True
0,2,8,100,fine,1,B.MEM,4,10,True
0,2,8,100,fine,2,B.NAIVE,8,29,True
0,2,8,100,fine,3,CD4.NAIVE,8,86,True
0,2,8,100,fine,4,CD4.TCM,8,96,True
0,2,8,100,fine,5,CD4.TEFF,5,8,True
0,2,8,100,fine,6,CD4.TEFF.prolif,3,5,True
0,2,8,100,fine,7,CD4.TEM/TEMRA,3,12,True
0,2,8,100,fine,8,CD4.TREG,6,16,True
0,2,8,100,fine,9,CD8.NAIVE,5,18,True
0,2,8,100,fine,10,CD8.TCM,4,5,True
