model,task,metric,design,fixed_axis,fixed_value,low_patient_budget,low_cells_per_patient,high_patient_budget,high_cells_per_patient,n_subset_seeds,mean,std,q025,q975,fraction_positive,patient_clustered_bootstrap_q025,patient_clustered_bootstrap_q975
logistic_regression,coarse,macro_f1,fixed_total_patient_doubling,total_training_cells,3200,8,400,16,200,20,0.0037874958847447958,0.007684864132846507,-0.009182957280952747,0.018931424236099885,0.75,0.002737932761530218,0.005006218952353627
logistic_regression,coarse,patient_balanced_macro_f1,fixed_total_patient_doubling,total_training_cells,3200,8,400,16,200,20,0.002979007898789532,0.006711109948098105,-0.010018513298133889,0.014505125427279464,0.8,0.001727942927114426,0.0045710875220681705
logistic_regression,coarse,mean_patient_macro_f1,fixed_total_patient_doubling,total_training_cells,3200,8,400,16,200,20,0.00403022955674166,0.007889928152410151,-0.006723272584790651,0.020424529667568005,0.7,0.0033335208318449245,0.00550406647228974
logistic_regression,coarse,macro_f1,fixed_total_patient_doubling,total_training_cells,3200,16,200,32,100,20,0.003293144737982151,0.004516479520182739,-0.005442569050545687,0.009862124255187753,0.8,0.002404086203543379,0.004203633204040121
logistic_regression,coarse,patient_balanced_macro_f1,fixed_total_patient_doubling,total_training_cells,3200,16,200,32,100,20,0.002810629719232266,0.004560455163793559,-0.005370978193290396,0.01015390723063047,0.8,0.0020535273678088635,0.0036374643879936376
logistic_regression,coarse,mean_patient_macro_f1,fixed_total_patient_doubling,total_training_cells,3200,16,200,32,100,20,0.002979928305738372,0.004124486075387474,-0.0055021101427901896,0.009092869427291459,0.85,0.0022397896515705283,0.0037137466114165237
logistic_regression,coarse,macro_f1,fixed_total_patient_8_to_32,total_training_cells,3200,8,400,32,100,20,0.007080640622726947,0.0073360576580086935,-0.0019039318771966296,0.021729826313623708,0.85,0.0054769188783478275,0.00874660988887476
logistic_regression,coarse,patient_balanced_macro_f1,fixed_total_patient_8_to_32,total_training_cells,3200,8,400,32,100,20,0.005789637618021798,0.006416961758511151,-0.0020670679022653875,0.017393106063932896,0.8,0.004102992897003324,0.007939781691296069
logistic_regression,coarse,mean_patient_macro_f1,fixed_total_patient_8_to_32,total_training_cells,3200,8,400,32,100,20,0.007010157862480032,0.007388280324572379,-0.002452394478307751,0.022884792350610104,0.9,0.0059585859075133975,0.008744602556072362
logistic_regression,coarse,macro_f1,fixed_total_patient_doubling,total_training_cells,6400,8,800,16,400,20,0.006471233058391446,0.006355810138614394,-0.0018071717668861785,0.01954047457307588,0.9,0.004573821984518553,0.009120653732035338
logistic_regression,coarse,patient_balanced_macro_f1,fixed_total_patient_doubling,total_training_cells,6400,8,800,16,400,20,0.005610573234693344,0.00620925454621729,-0.00252015836491572,0.0189152710461121,0.85,0.0038517858239742716,0.008009871174006108
logistic_regression,coarse,mean_patient_macro_f1,fixed_total_patient_doubling,total_training_cells,6400,8,800,16,400,20,0.005604382182805951,0.004756961639239158,-0.0018299590918917225,0.013304588429224443,0.85,0.005161335453120716,0.008432296990393096
logistic_regression,coarse,macro_f1,fixed_total_patient_doubling,total_training_cells,6400,16,400,32,200,20,0.003439453224901923,0.003128786896559779,-0.0011460181738431636,0.008810563869704503,0.85,0.002443458635003498,0.004449595831193928
logistic_regression,coarse,patient_balanced_macro_f1,fixed_total_patient_doubling,total_training_cells,6400,16,400,32,200,20,0.002944580463030283,0.002945036353295877,-0.0011858910226550169,0.008124281572327936,0.8,0.0019579423236028267,0.004160849103168848
logistic_regression,coarse,mean_patient_macro_f1,fixed_total_patient_doubling,total_training_cells,6400,16,400,32,200,20,0.0031173088096835555,0.0032870268362009338,-0.0008312447063910961,0.009064024173967272,0.75,0.002319320407432879,0.0041806910768887534
