seed,patient_budget,cell_cap,model,task,accuracy,macro_f1,balanced_accuracy,patient_balanced_accuracy,patient_balanced_macro_f1,patient_balanced_balanced_accuracy,mean_patient_macro_f1,exact_path_accuracy,root_excluded_hierarchical_f1,subtype_tree_distance,mean_observed_training_classes_across_folds,min_observed_training_classes_across_folds,n_outer_folds,n_test_patients,n_test_cells
0,8,100,logistic_regression,coarse,0.9864750694299749,0.9466994937755772,0.9341569217525183,0.9865726575704574,0.9502998601422213,0.937255830585174,0.9332335752378372,0.7465556167636641,0.86811373100844,0.5380544764851449,5.0,5,5,105,700706
0,8,100,logistic_regression,fine,0.7497523925869052,0.4796145845356314,0.4616412145268171,0.7438133438519758,0.47921113660663595,0.4624990257406303,0.4201036911136329,0.7465556167636641,0.86811373100844,0.5380544764851449,34.8,33,5,105,700706
1,8,100,logistic_regression,coarse,0.9892536955584796,0.9658578274028662,0.9555013257564704,0.9892254787752978,0.9671132879678124,0.9558043779056196,0.9585163934184233,0.7461146329559045,0.8690392261519096,0.5334419856544685,5.0,5,5,105,700706
1,8,100,logistic_regression,fine,0.7488247567453397,0.4834966356064893,0.46292089828526756,0.7459839198457161,0.4847740591962438,0.4646271531632986,0.43593712243748334,0.7461146329559045,0.8690392261519096,0.5334419856544685,34.8,34,5,105,700706
2,8,100,logistic_regression,coarse,0.9877766138722945,0.9502096212737074,0.9380840711981302,0.9878393385682023,0.9544909756125934,0.9421992101539505,0.9279398270124999,0.7577571763335835,0.8741526403370316,0.5119151256018929,5.0,5,5,105,700706
2,8,100,logistic_regression,fine,0.7605286668017684,0.5075830762068289,0.48507086817982525,0.7593267699191811,0.5135397734718682,0.49003821113581064,0.43641802159165777,0.7577571763335835,0.8741526403370316,0.5119151256018929,35.2,34,5,105,700706
3,8,100,logistic_regression,coarse,0.9885786620922327,0.9552969526199521,0.939414895315055,0.9881120250531832,0.953482181313308,0.935305827263381,0.9393321380381215,0.7505815563160584,0.8709737036645897,0.5277905426812386,5.0,5,5,105,700706
3,8,100,logistic_regression,fine,0.7533687452369467,0.48452759530617384,0.45670376648265315,0.7516034727242,0.4821741794539071,0.454738720369012,0.42535572529878646,0.7505815563160584,0.8709737036645897,0.5277905426812386,34.8,34,5,105,700706
4,8,100,logistic_regression,coarse,0.988059186020956,0.9560538661118638,0.9546054513417135,0.9882089060044789,0.9620229675154228,0.9591859701503036,0.9342415122282791,0.7537455081018287,0.8724800415580857,0.5220392004635325,5.0,5,5,105,700706
4,8,100,logistic_regression,fine,0.7569008970952154,0.49816448846862177,0.47885397067206253,0.7538285835577541,0.5008976241489789,0.48091484931493866,0.4298365815155008,0.7537455081018287,0.8724800415580857,0.5220392004635325,35.2,34,5,105,700706
5,8,100,logistic_regression,coarse,0.9877537797592714,0.9636212937672605,0.9596855462750182,0.9878726164390284,0.9635475149100952,0.9571521562684072,0.9525841715119778,0.7553638758623445,0.8734897374933281,0.511860894583463,5.0,5,5,105,700706
