job_id,outer_fold,seed,patient_budget,cell_cap,model,task,start_time,end_time,exit_status,log_path,output_path,error
fold0_seed00_P8_C100_logistic_regression_coarse,0,0,8,100,logistic_regression,coarse,2026-09-08T22:21:22.144450+00:00,2026-09-08T22:21:25.302616+00:00,success,outputs/combat_citeseq_scaling_adt/logs/fold0_seed00_P8_C100_logistic_regression.log,outputs/combat_citeseq_scaling_adt/runs/fold0_seed00_P8_C100_logistic_regression.npz,
fold0_seed00_P8_C100_logistic_regression_fine,0,0,8,100,logistic_regression,fine,2026-09-08T22:21:22.144450+00:00,2026-09-08T22:21:25.302616+00:00,success,outputs/combat_citeseq_scaling_adt/logs/fold0_seed00_P8_C100_logistic_regression.log,outputs/combat_citeseq_scaling_adt/runs/fold0_seed00_P8_C100_logistic_regression.npz,
fold0_seed01_P8_C100_logistic_regression_coarse,0,1,8,100,logistic_regression,coarse,2026-09-08T22:21:22.396752+00:00,2026-09-08T22:21:27.666236+00:00,success,outputs/combat_citeseq_scaling_adt/logs/fold0_seed01_P8_C100_logistic_regression.log,outputs/combat_citeseq_scaling_adt/runs/fold0_seed01_P8_C100_logistic_regression.npz,
fold0_seed01_P8_C100_logistic_regression_fine,0,1,8,100,logistic_regression,fine,2026-09-08T22:21:22.396752+00:00,2026-09-08T22:21:27.666236+00:00,success,outputs/combat_citeseq_scaling_adt/logs/fold0_seed01_P8_C100_logistic_regression.log,outputs/combat_citeseq_scaling_adt/runs/fold0_seed01_P8_C100_logistic_regression.npz,
fold0_seed02_P8_C100_logistic_regression_coarse,0,2,8,100,logistic_regression,coarse,2026-09-08T22:21:22.335648+00:00,2026-09-08T22:21:25.981899+00:00,success,outputs/combat_citeseq_scaling_adt/logs/fold0_seed02_P8_C100_logistic_regression.log,outputs/combat_citeseq_scaling_adt/runs/fold0_seed02_P8_C100_logistic_regression.npz,
fold0_seed02_P8_C100_logistic_regression_fine,0,2,8,100,logistic_regression,fine,2026-09-08T22:21:22.335648+00:00,2026-09-08T22:21:25.981899+00:00,success,outputs/combat_citeseq_scaling_adt/logs/fold0_seed02_P8_C100_logistic_regression.log,outputs/combat_citeseq_scaling_adt/runs/fold0_seed02_P8_C100_logistic_regression.npz,
fold0_seed03_P8_C100_logistic_regression_coarse,0,3,8,100,logistic_regression,coarse,2026-09-08T22:21:22.132507+00:00,2026-09-08T22:21:25.211521+00:00,success,outputs/combat_citeseq_scaling_adt/logs/fold0_seed03_P8_C100_logistic_regression.log,outputs/combat_citeseq_scaling_adt/runs/fold0_seed03_P8_C100_logistic_regression.npz,
fold0_seed03_P8_C100_logistic_regression_fine,0,3,8,100,logistic_regression,fine,2026-09-08T22:21:22.132507+00:00,2026-09-08T22:21:25.211521+00:00,success,outputs/combat_citeseq_scaling_adt/logs/fold0_seed03_P8_C100_logistic_regression.log,outputs/combat_citeseq_scaling_adt/runs/fold0_seed03_P8_C100_logistic_regression.npz,
fold0_seed04_P8_C100_logistic_regression_coarse,0,4,8,100,logistic_regression,coarse,2026-09-08T22:21:22.290679+00:00,2026-09-08T22:21:25.537906+00:00,success,outputs/combat_citeseq_scaling_adt/logs/fold0_seed04_P8_C100_logistic_regression.log,outputs/combat_citeseq_scaling_adt/runs/fold0_seed04_P8_C100_logistic_regression.npz,
fold0_seed04_P8_C100_logistic_regression_fine,0,4,8,100,logistic_regression,fine,2026-09-08T22:21:22.290679+00:00,2026-09-08T22:21:25.537906+00:00,success,outputs/combat_citeseq_scaling_adt/logs/fold0_seed04_P8_C100_logistic_regression.log,outputs/combat_citeseq_scaling_adt/runs/fold0_seed04_P8_C100_logistic_regression.npz,
