dataset_key,dataset,modality,model,task,metric,design,fixed_axis,total_training_cells,low_patient_budget,low_cells_per_patient,high_patient_budget,high_cells_per_patient,n_subset_seeds,mean,std,q025,q975,fraction_positive,patient_clustered_bootstrap_q025,patient_clustered_bootstrap_q975,model_label,task_label
apt,APT,Aptamer,logistic_regression,coarse,patient_balanced_macro_f1,fixed_total_patient_8_to_32,total_training_cells,3200,8,400,32,100,20,0.0123759233335361,0.0059752757375627,0.0023682425094315,0.0230399712497481,1.0,0.0049238994963755,0.0208739825123264,LR,Coarse
apt,APT,Aptamer,logistic_regression,coarse,patient_balanced_macro_f1,fixed_total_patient_8_to_32,total_training_cells,6400,8,800,32,200,20,0.0152789134965346,0.0060570946815387,0.0028813064130652,0.0264114076192519,1.0,0.0070877459076882,0.024108561801694,LR,Coarse
apt,APT,Aptamer,logistic_regression,coarse,patient_balanced_macro_f1,fixed_total_patient_8_to_32,total_training_cells,12800,8,1600,32,400,20,0.0169830596781249,0.0061356260126468,0.0051890861659395,0.027980871599869,1.0,0.0087068184615152,0.0257890781355166,LR,Coarse
apt,APT,Aptamer,logistic_regression,fine,patient_balanced_macro_f1,fixed_total_patient_8_to_32,total_training_cells,3200,8,400,32,100,20,0.0076899020831183,0.0032068236718468,0.0017176053764791,0.01328825209111,1.0,0.0041344082293818,0.0106464429088254,LR,Fine
apt,APT,Aptamer,logistic_regression,fine,patient_balanced_macro_f1,fixed_total_patient_8_to_32,total_training_cells,6400,8,800,32,200,20,0.0086753115575634,0.0033660697196634,0.0021633269293284,0.0132080735633127,1.0,0.0046763749326751,0.0117802173077116,LR,Fine
apt,APT,Aptamer,logistic_regression,fine,patient_balanced_macro_f1,fixed_total_patient_8_to_32,total_training_cells,12800,8,1600,32,400,20,0.0100913564621813,0.0039056156202006,0.0033524971088476,0.0161039914726775,1.0,0.0053117871514753,0.0134917633352395,LR,Fine
apt,APT,Aptamer,xgboost,coarse,patient_balanced_macro_f1,fixed_total_patient_8_to_32,total_training_cells,3200,8,400,32,100,20,0.0171532024829424,0.008051759807444,0.0024504386588318,0.0297711299532081,1.0,0.0075106327517843,0.0274063880755317,XGBoost,Coarse
apt,APT,Aptamer,xgboost,coarse,patient_balanced_macro_f1,fixed_total_patient_8_to_32,total_training_cells,6400,8,800,32,200,20,0.0183239178879563,0.0085878722094489,0.001475012591734,0.032146496822732,0.95,0.0070222980814794,0.0302242248115098,XGBoost,Coarse
apt,APT,Aptamer,xgboost,coarse,patient_balanced_macro_f1,fixed_total_patient_8_to_32,total_training_cells,12800,8,1600,32,400,20,0.0215975347201271,0.0078196772901493,0.0070341664371654,0.0320849633616945,1.0,0.0090486282335204,0.035109194918001,XGBoost,Coarse
apt,APT,Aptamer,xgboost,fine,patient_balanced_macro_f1,fixed_total_patient_8_to_32,total_training_cells,3200,8,400,32,100,20,0.0069906922757772,0.002983873989012,0.001753058024723,0.0118659828238649,1.0,0.0018933986372977,0.011129558586958,XGBoost,Fine
