method,seed,patient_index,composition_mse,shift_increment_mse
correction,1701,0,0.00014993785589467734,0.28062015771865845
correction,1701,1,1.7455273336963728e-05,0.27760452032089233
correction,1701,2,0.0007844424690119922,0.28724434971809387
correction,1701,3,8.390803850488737e-05,0.28720399737358093
correction,1701,4,0.00017020825180225074,0.2577917277812958
correction,1701,5,0.016074281185865402,0.26726633310317993
correction,1701,6,6.35556280030869e-05,0.2781507968902588
correction,1701,7,0.00019356526900082827,0.29948264360427856
correction,1702,0,0.00021343951812013984,0.2804141640663147
correction,1702,1,2.484191645635292e-05,0.2793199121952057
correction,1702,2,0.0012954439735040069,0.28950536251068115
correction,1702,3,9.562533523421735e-05,0.28706738352775574
correction,1702,4,6.976837903494015e-05,0.262820303440094
correction,1702,5,0.012414222583174706,0.2738645374774933
correction,1702,6,0.00014356843894347548,0.27542614936828613
correction,1702,7,0.00023909873561933637,0.2943416237831116
correction,1703,0,0.0002710956905502826,0.2819206416606903
correction,1703,1,3.440184082137421e-05,0.2807788550853729
correction,1703,2,0.0009842797880992293,0.29675161838531494
correction,1703,3,7.627049490110949e-05,0.28641611337661743
correction,1703,4,3.4323013096582144e-05,0.2594965696334839
correction,1703,5,0.01214179303497076,0.2727866470813751
correction,1703,6,0.0001313542597927153,0.2717796564102173
correction,1703,7,0.0004107296990696341,0.2978349030017853
composition,1701,0,0.00010715387907112017,0.2797476649284363
composition,1701,1,1.5673031157348305e-05,0.27805188298225403
composition,1701,2,0.0007442228961735964,0.2849182188510895
composition,1701,3,8.723467180971056e-05,0.2826157510280609
composition,1701,4,9.982570918509737e-05,0.2579764425754547
composition,1701,5,0.006626664195209742,0.2697167992591858
composition,1701,6,6.836876855231822e-05,0.27703505754470825
composition,1701,7,8.406670531257987e-05,0.2976423501968384
composition,1702,0,0.00016507810505572706,0.28072112798690796
composition,1702,1,2.231017788290046e-05,0.2795605957508087
composition,1702,2,0.0008465215796604753,0.29006242752075195
composition,1702,3,0.0001292974775424227,0.2860614061355591
composition,1702,4,7.429747347487137e-05,0.26472705602645874
composition,1702,5,0.004455057438462973,0.2733582854270935
composition,1702,6,0.00010965029650833458,0.2745629549026489
composition,1702,7,0.0001417909807059914,0.2931186258792877
composition,1703,0,0.00021317548817023635,0.2814192771911621
composition,1703,1,3.71348942280747e-05,0.28075748682022095
composition,1703,2,0.0008666360517963767,0.29459312558174133
composition,1703,3,8.413231262238696e-05,0.2850365936756134
composition,1703,4,2.3131235138862394e-05,0.25978562235832214
composition,1703,5,0.0032468114513903856,0.2714744806289673
composition,1703,6,0.00013603414117824286,0.27196043729782104
composition,1703,7,0.00016749197675380856,0.2955508232116699
equivariance,1701,0,0.00014306696539279073,0.2796401381492615
equivariance,1701,1,2.115695497195702e-05,0.2773970663547516
equivariance,1701,2,0.0007869446417316794,0.2845477759838104
equivariance,1701,3,8.125021849991754e-05,0.2823602259159088
equivariance,1701,4,0.00016985779802780598,0.2555973529815674
equivariance,1701,5,0.017909660935401917,0.26836106181144714
equivariance,1701,6,5.0126018322771415e-05,0.2777943015098572
equivariance,1701,7,0.00010068105621030554,0.2968834936618805
equivariance,1702,0,0.00017391762230545282,0.28082409501075745
equivariance,1702,1,1.4308297977549955e-05,0.2777992784976959
equivariance,1702,2,0.0008571991929784417,0.2862734794616699
equivariance,1702,3,8.882963447831571e-05,0.28184056282043457
equivariance,1702,4,0.00010269852646160871,0.25893262028694153
equivariance,1702,5,0.014467623084783554,0.27210602164268494
equivariance,1702,6,0.0001225917658302933,0.2694390118122101
equivariance,1702,7,0.0001894443848868832,0.29636314511299133
equivariance,1703,0,0.0003321225813124329,0.2799499034881592
equivariance,1703,1,5.077934838482179e-05,0.27925923466682434
equivariance,1703,2,0.0011958539253100753,0.28950536251068115
equivariance,1703,3,0.00010182789264945313,0.28327393531799316
equivariance,1703,4,2.5375478799105622e-05,0.25648006796836853
equivariance,1703,5,0.013219264335930347,0.27126652002334595
equivariance,1703,6,8.466337021673098e-05,0.2703793942928314
equivariance,1703,7,0.00035578408278524876,0.29460519552230835
dual,1701,0,0.00010519742500036955,0.2782386839389801
dual,1701,1,2.1785612261737697e-05,0.27753302454948425
dual,1701,2,0.0007224208093248308,0.2832147181034088
dual,1701,3,9.997113374993205e-05,0.2801450490951538
dual,1701,4,0.00013631858746521175,0.2563958466053009
dual,1701,5,0.005965217482298613,0.2689615488052368
dual,1701,6,5.994168532197364e-05,0.275084912776947
dual,1701,7,0.00010015285079134628,0.29593268036842346
dual,1702,0,0.00010111807205248624,0.2804012894630432
dual,1702,1,1.9756298570428044e-05,0.27870407700538635
dual,1702,2,0.0007340199663303792,0.28679659962654114
dual,1702,3,0.00010415040742373094,0.2827981114387512
dual,1702,4,6.945869972696528e-05,0.2600409686565399
dual,1702,5,0.006429749540984631,0.27197539806365967
dual,1702,6,0.00014777430624235421,0.27029359340667725
dual,1702,7,0.0001711175573291257,0.295187771320343
dual,1703,0,0.00022972362057771534,0.2802615165710449
dual,1703,1,3.842938531306572e-05,0.2794799208641052
dual,1703,2,0.0009569517569616437,0.2887657880783081
dual,1703,3,8.470875764032826e-05,0.2818094789981842
dual,1703,4,1.2452404007490259e-05,0.2576276957988739
dual,1703,5,0.0030170134268701077,0.2708269953727722
dual,1703,6,9.376668458571658e-05,0.2706897258758545
dual,1703,7,0.0001374990097247064,0.29227063059806824
