method,seed,condition,task,score
raw,1701,natural,fine,0.09449259786959444
raw,1702,natural,fine,0.08222046490935586
raw,1703,natural,fine,0.0917763339889153
raw,1701,natural,coarse,0.32347219827215307
raw,1702,natural,coarse,0.29927977387614285
raw,1703,natural,coarse,0.3242097558671486
raw,1701,composition,fine,0.09449259786959444
raw,1702,composition,fine,0.08222046490935586
raw,1703,composition,fine,0.0917763339889153
raw,1701,composition,coarse,0.32347219827215307
raw,1702,composition,coarse,0.29927977387614285
raw,1703,composition,coarse,0.3242097558671486
raw,1701,shift,fine,0.09577528085155011
raw,1702,shift,fine,0.08199877713912353
raw,1703,shift,fine,0.08943368789689574
raw,1701,shift,coarse,0.32087247347379233
raw,1702,shift,coarse,0.30370531740003287
raw,1703,shift,coarse,0.3151103493370398
raw,1701,both,fine,0.09577528085155011
raw,1702,both,fine,0.08199877713912353
raw,1703,both,fine,0.08943368789689574
raw,1701,both,coarse,0.32087247347379233
raw,1702,both,coarse,0.30370531740003287
raw,1703,both,coarse,0.3151103493370398
context,1701,natural,fine,0.10287867605277598
context,1702,natural,fine,0.07981650399563558
context,1703,natural,fine,0.09158298579431064
context,1701,natural,coarse,0.3343733890306052
context,1702,natural,coarse,0.31725790060120995
context,1703,natural,coarse,0.33554375623125854
context,1701,composition,fine,0.10235770714537641
context,1702,composition,fine,0.07903710234596789
context,1703,composition,fine,0.09077840983788849
context,1701,composition,coarse,0.3374205848059928
context,1702,composition,coarse,0.31841794627714787
context,1703,composition,coarse,0.3344196812732225
context,1701,shift,fine,0.09750892754500036
context,1702,shift,fine,0.07608695042380609
context,1703,shift,fine,0.09104150971375412
context,1701,shift,coarse,0.3260558255182538
context,1702,shift,coarse,0.3053673754747549
context,1703,shift,coarse,0.3188866093868432
context,1701,both,fine,0.09419741480755943
context,1702,both,fine,0.0756324433441086
context,1703,both,fine,0.09039510356577746
context,1701,both,coarse,0.32854133845160405
context,1702,both,coarse,0.307021314222155
context,1703,both,coarse,0.32025740699747707
correction,1701,natural,fine,0.10549074555760894
correction,1702,natural,fine,0.08355061786651537
correction,1703,natural,fine,0.09850109175914498
correction,1701,natural,coarse,0.3278482071754406
correction,1702,natural,coarse,0.3288182235203994
correction,1703,natural,coarse,0.3214182486303312
correction,1701,composition,fine,0.10492388763109507
correction,1702,composition,fine,0.08256686635194231
correction,1703,composition,fine,0.09769780458894274
correction,1701,composition,coarse,0.32815964014822185
correction,1702,composition,coarse,0.32947892939763135
correction,1703,composition,coarse,0.32440784994416616
correction,1701,shift,fine,0.10355107816799135
correction,1702,shift,fine,0.08164972765156894
correction,1703,shift,fine,0.09767840248194642
correction,1701,shift,coarse,0.33124003493631904
correction,1702,shift,coarse,0.33063446767631804
correction,1703,shift,coarse,0.3046674930772439
correction,1701,both,fine,0.09980030312638653
correction,1702,both,fine,0.08139904234413962
correction,1703,both,fine,0.09882464228375946
correction,1701,both,coarse,0.33142032592723397
correction,1702,both,coarse,0.3288388519248606
correction,1703,both,coarse,0.31029767010241077
composition,1701,natural,fine,0.10600360309218626
composition,1702,natural,fine,0.08357449121054548
composition,1703,natural,fine,0.09996190523025117
composition,1701,natural,coarse,0.33137803390506837
composition,1702,natural,coarse,0.3261334463423239
composition,1703,natural,coarse,0.3220369364987136
composition,1701,composition,fine,0.10460058373356186
composition,1702,composition,fine,0.08305103336195291
composition,1703,composition,fine,0.10025907972635008
composition,1701,composition,coarse,0.3305871103300561
composition,1702,composition,coarse,0.32705540481365747
composition,1703,composition,coarse,0.3251845487712508
composition,1701,shift,fine,0.10134104190060908
composition,1702,shift,fine,0.0841955298087666
composition,1703,shift,fine,0.09794129037415569
composition,1701,shift,coarse,0.33489016698250207
composition,1702,shift,coarse,0.3317870171409517
composition,1703,shift,coarse,0.3051320451485235
composition,1701,both,fine,0.09774983737327946
composition,1702,both,fine,0.08449033301194873
composition,1703,both,fine,0.09895352652336152
composition,1701,both,coarse,0.3341283190359016
composition,1702,both,coarse,0.32998260253651723
composition,1703,both,coarse,0.3110193381107851
equivariance,1701,natural,fine,0.10538848613018369
equivariance,1702,natural,fine,0.08526524918559801
equivariance,1703,natural,fine,0.10355122434042503
equivariance,1701,natural,coarse,0.32915192411073463
equivariance,1702,natural,coarse,0.3314953508899906
equivariance,1703,natural,coarse,0.3220729015202153
equivariance,1701,composition,fine,0.10302814596638848
equivariance,1702,composition,fine,0.08502206398815458
equivariance,1703,composition,fine,0.10269213409845444
equivariance,1701,composition,coarse,0.32918333957969964
equivariance,1702,composition,coarse,0.331943798202288
equivariance,1703,composition,coarse,0.32470127964844864
equivariance,1701,shift,fine,0.10128560461901984
equivariance,1702,shift,fine,0.08323543672755743
equivariance,1703,shift,fine,0.10015225013469634
equivariance,1701,shift,coarse,0.3307076983261087
equivariance,1702,shift,coarse,0.3271769125163274
equivariance,1703,shift,coarse,0.30622071798732714
equivariance,1701,both,fine,0.0968339404275722
equivariance,1702,both,fine,0.08365410281716869
equivariance,1703,both,fine,0.10015033711024067
equivariance,1701,both,coarse,0.3304255401538041
equivariance,1702,both,coarse,0.32635455551875037
equivariance,1703,both,coarse,0.3105690648520699
dual,1701,natural,fine,0.10821467163095973
dual,1702,natural,fine,0.08527574609569649
dual,1703,natural,fine,0.10226249042777465
dual,1701,natural,coarse,0.33215898774005226
dual,1702,natural,coarse,0.3255817351887639
dual,1703,natural,coarse,0.32180925369838853
dual,1701,composition,fine,0.10663276875291974
dual,1702,composition,fine,0.08482737988171432
dual,1703,composition,fine,0.10316895545412175
dual,1701,composition,coarse,0.33200425221085855
dual,1702,composition,coarse,0.32660782862024107
dual,1703,composition,coarse,0.32478269072494526
dual,1701,shift,fine,0.10301603062730716
dual,1702,shift,fine,0.08342703232483005
dual,1703,shift,fine,0.09838339879194749
dual,1701,shift,coarse,0.3331291206939245
dual,1702,shift,coarse,0.3266258517282269
dual,1703,shift,coarse,0.3068937981275901
dual,1701,both,fine,0.0991179747448693
dual,1702,both,fine,0.08377878815921198
dual,1703,both,fine,0.09945627305510543
dual,1701,both,coarse,0.33372336208699105
dual,1702,both,coarse,0.3262036528529591
dual,1703,both,coarse,0.31204255345749815
