method,condition,task,comparison,estimate,low,high
raw,natural,fine,score,0.08949646558928853,0.05871625323308972,0.09832542193941131
raw,natural,coarse,score,0.31565390933848153,0.27715071700326915,0.34666303254124536
raw,composition,fine,score,0.08949646558928853,0.05871625323308972,0.09832542193941131
raw,composition,coarse,score,0.31565390933848153,0.27715071700326915,0.34666303254124536
raw,shift,fine,score,0.08906924862918979,0.05881044950322547,0.09681571485808127
raw,shift,coarse,score,0.31322938007028833,0.2666181045922755,0.3493020881173571
raw,both,fine,score,0.08906924862918979,0.05881044950322547,0.09681571485808127
raw,both,coarse,score,0.31322938007028833,0.2666181045922755,0.3493020881173571
context,natural,fine,score,0.0914260552809074,0.06334378868555433,0.10141966590635153
context,natural,coarse,score,0.32905834862102457,0.2884303349738548,0.3641317384103981
context,composition,fine,score,0.0907244064430776,0.06274065999565666,0.10129407763480923
context,composition,coarse,score,0.33008607078545443,0.2875883757035129,0.36410834001227577
context,shift,fine,score,0.08821246256085352,0.05977927007174297,0.09733897432497501
context,shift,coarse,score,0.31676993679328397,0.2637662053560988,0.3604701603943853
context,both,fine,score,0.08674165390581516,0.05977482369003018,0.0951153552821704
context,both,coarse,score,0.3186066865570787,0.2660399294155695,0.3610897711953678
correction,natural,fine,score,0.09584748506108975,0.06574415722672722,0.10687559160346898
correction,natural,coarse,score,0.3260282264420571,0.28856548071239124,0.3639746813504662
correction,composition,fine,score,0.0950628528573267,0.06567228626113204,0.1062509479599858
correction,composition,coarse,score,0.32734880649667314,0.289980004231676,0.3632798617595847
correction,shift,fine,score,0.09429306943383557,0.06471954399758789,0.10456779750842428
correction,shift,coarse,score,0.32218066522996036,0.2719832607449846,0.37253354203163225
correction,both,fine,score,0.09334132925142853,0.06524690326723936,0.10267823081547263
correction,both,coarse,score,0.32351894931816844,0.2736594326847321,0.37147617775421726
composition,natural,fine,score,0.09651333317766098,0.06546939329757596,0.10783216390420096
composition,natural,coarse,score,0.3265161389153686,0.28688185151110696,0.3661646814970396
composition,composition,fine,score,0.09597023227395494,0.06543694408662949,0.10697101160908067
composition,composition,coarse,score,0.3276090213049881,0.28798806692900686,0.36610319087706017
composition,shift,fine,score,0.09449262069451046,0.06577223261520494,0.10359703101421243
composition,shift,coarse,score,0.3239364097573258,0.2711974804465442,0.3743176651955749
composition,both,fine,score,0.09373123230286323,0.06619957840454847,0.10196468840307121
composition,both,coarse,score,0.3250434198944013,0.2730256089221401,0.37400425997981646
equivariance,natural,fine,score,0.09806831988540225,0.06687993900597337,0.10867323509762236
equivariance,natural,coarse,score,0.32757339217364684,0.2913160013319016,0.36522209344488704
equivariance,composition,fine,score,0.09691411468433252,0.0673260011975467,0.10702063275601585
equivariance,composition,coarse,score,0.3286094724768121,0.29223008153710295,0.36459544639552827
equivariance,shift,fine,score,0.09489109716042454,0.06622302482244703,0.10404013252496544
equivariance,shift,coarse,score,0.3213684429432544,0.2710625445940696,0.37153985258391087
equivariance,both,fine,score,0.09354612678499385,0.0668464031064036,0.10181434494570678
